N	3gram	Trubetskoy_1	formyVre
1	то же время	10	9
2	в то же	10	6
3	и того же	1	5
4	одного и того	1	5
5	в связи с	1	5
6	для того чтобы	6	5
7	и в других	1	4
8	в том числе	1	4
9	по отношению к	1	3
10	до сих пор	5	3
11	в этом отношении	1	3
12	прежде всего необходимо	1	3
13	не может быть	4	3
14	но все же	1	2
15	само собой разумеется	1	2
16	то есть не	1	2
17	дело в том	1	2
18	с точки зрения	9	2
19	и не только	1	2
20	том числе и	1	2
21	с самим собой	2	2
22	но по существу	1	2
23	вместе с тем	3	2
24	жизни и в	1	2
25	и в частности	1	2
26	так же как	1	2
27	друг к другу	1	2
28	в его целом	1	2
29	собой разумеется что	1	2
30	с самого начала	1	2
31	в данной стране	1	2
32	и прежде всего	1	2
33	той или иной	3	2
34	в нем все	1	2
35	в том что	7	2
36	к тому же	1	2
37	поэтому для них	1	1
38	в другом месте	1	1
39	а следовательно и	2	1
40	или хотя бы	1	1
41	воплощает в себе	1	1
42	ему что он	1	1
43	прежде всего на	1	1
44	прежде всего в	1	1
45	и во всяком	2	1
46	в самом деле	1	1
47	во всем мире	1	1
48	в том же	1	1
49	которых мы говорили	1	1
50	мы говорили в	2	1
51	все же особенно	1	1
52	принципиально отличается от	1	1
53	в себе и	2	1
54	совершенно ясно что	1	1
55	основе его лежит	1	1
56	здесь же мы	1	1
57	в значительной мере	2	1
58	по самому своему	2	1
59	роль в истории	1	1
60	до известной степени	1	1
61	в значительной степени	1	1
62	в данном случае	3	1
63	в основе его	1	1
64	и т.д эта	1	1
65	но в то	1	1
66	тот факт что	2	1
67	жизни но и	1	1
68	смысле этого слова	1	1
69	но она не	2	1
70	что в этих	1	1
71	еще не было	1	1
72	и в этом	1	1
73	своей жизни в	1	1
74	и как бы	1	1
75	самому своему существу	1	1
76	самим собой это	2	1
77	во всяком случае	6	1
78	в этом и	1	1
79	что касается до	1	1
80	и в том	2	1
81	во всех этих	1	1
82	и все же	1	1
83	и тот факт	1	1
84	тогда когда они	2	1
85	есть по существу	1	1
86	в свою очередь	1	1
87	в этом случае	3	1
88	о том что	2	1
89	себя только в	1	1
90	и ту же	1	1
91	о которых мы	1	1
92	неразрывно связаны с	1	1
93	сама по себе	2	1
94	друг с другом	14	1
95	мы уже знаем	1	1
96	одну и ту	1	1
