N	3gram	Potebnia_M_3	TeoriaLi
1	по отношению к	5	8
2	в том что	16	6
3	то же время	5	6
4	в то же	5	6
5	в данном случае	1	5
6	более или менее	3	4
7	с другой стороны	4	3
8	тем не менее	3	3
9	можно сказать что	2	3
10	в свою очередь	3	3
11	в противном случае	1	2
12	значении этого слова	1	2
13	с одной стороны	3	2
14	и то же	5	2
15	так или иначе	1	2
16	одно и то	5	2
17	и тем самым	1	2
18	не только не	2	2
19	сама по себе	2	2
20	не может быть	3	2
21	как и в	2	2
22	точки зрения и	1	1
23	таким образом что	1	1
24	а между тем	2	1
25	то же художественное	1	1
26	себя и что	1	1
27	это было бы	1	1
28	подобно тому как	2	1
29	в их отношении	1	1
30	со всех сторон	1	1
31	может быть назван	1	1
32	в таком случае	2	1
33	в таких случаях	1	1
34	что он не	3	1
35	только то что	1	1
36	из того что	1	1
37	состоит не в	1	1
38	в его сознание	1	1
39	по крайней мере	5	1
40	в том случае	1	1
41	к субъекту и	1	1
42	и не дает	1	1
43	в первом случае	2	1
44	в художественном произведении	1	1
45	по себе еще	1	1
46	таким образом и	1	1
47	к вопросу о	1	1
48	легко может быть	1	1
49	отношения к миру	1	1
50	в произведении искусства	3	1
51	не могут быть	2	1
52	их отношении к	1	1
53	в то время	4	1
54	а в том	5	1
55	что даже в	1	1
56	имея в виду	1	1
57	не принадлежат к	1	1
58	на свое место	1	1
59	о том что	1	1
60	в себе самом	1	1
61	между тем в	1	1
62	а и е	1	1
63	и в слове	2	1
64	именно потому что	1	1
65	искусства может быть	1	1
66	для того чтобы	3	1
67	том что он	2	1
68	к нему как	2	1
69	к тому же	1	1
70	по себе а	4	1
71	себе еще не	1	1
