N	2gram	Tiupa_Teor_1	StatiiOP
1	и в	18	44
2	в том	16	36
3	что в	9	30
4	том что	9	29
5	в этом	8	21
6	вовсе не	3	19
7	не только	16	18
8	то что	3	18
9	было бы	1	17
10	о том	1	17
11	а в	13	17
12	а не	9	16
13	и не	13	16
14	может быть	17	15
15	в области	4	14
16	в данном	8	14
17	как в	5	13
18	можно было	1	13
19	не в	7	12
20	в тексте	14	12
21	в первой	5	12
22	в этой	3	11
23	того чтобы	1	11
24	у нас	2	11
25	я думаю	1	11
26	точки зрения	9	11
27	но в	9	10
28	для того	1	10
29	что он	1	10
30	только в	6	10
31	но и	9	10
32	также и	1	9
33	как и	4	9
34	в отношении	3	9
35	в то	6	9
36	так и	10	9
37	во второй	7	9
38	если бы	3	9
39	того что	4	9
40	в его	6	9
41	с другой	7	9
42	например в	1	8
43	во всех	1	8
44	это не	2	8
45	из них	1	8
46	с точки	3	8
47	и его	8	8
48	не может	4	8
49	я не	2	7
50	что они	1	7
51	в самом	4	7
52	в статье	1	7
53	таким образом	3	7
54	другой стороны	5	7
55	прежде всего	2	7
56	сказать что	3	7
57	по поводу	1	7
58	со стороны	2	6
59	из этих	3	6
60	в своей	6	6
61	потому что	3	6
62	данном случае	5	6
63	что и	2	6
64	так что	1	6
65	для него	2	6
66	именно в	3	6
67	дело в	2	6
68	в той	2	6
69	и то	2	5
70	то же	7	5
71	той же	1	5
72	в целом	3	5
73	все эти	2	5
74	в нем	4	5
75	данном отношении	1	5
76	и по	2	5
77	в слове	3	5
78	не менее	4	5
79	никогда не	4	5
80	могут быть	4	5
81	думаю что	1	5
82	так как	1	5
83	тем что	1	5
84	и даже	2	5
85	текста в	3	5
86	все это	2	5
87	была бы	3	5
88	совершенно не	1	5
89	так же	2	5
90	как это	8	4
91	в которой	2	4
92	вопрос о	1	4
93	столь же	2	4
94	что это	1	4
95	на то	1	4
96	что она	2	4
97	является не	1	4
98	но я	1	4
99	случае в	1	4
100	дело не	2	4
101	же время	5	4
102	как будто	2	4
103	в ее	5	4
104	на вопрос	1	4
105	и что	3	4
106	заключается в	2	4
107	во втором	3	4
108	в качестве	24	4
109	никто не	2	4
110	как раз	2	4
111	не было	1	4
112	к которому	3	4
113	в частности	16	4
114	как бы	5	4
115	тем более	1	4
116	или иного	3	4
117	того или	3	4
118	же как	1	3
119	того же	3	3
120	и без	1	3
121	тем же	1	3
122	еще не	4	3
123	в чем	1	3
124	своего рода	7	3
125	но не	9	3
126	не все	3	3
127	по отношению	4	3
128	или иное	1	3
129	и я	1	3
130	как к	2	3
131	говорит что	2	3
132	то в	2	3
133	в словаре	2	3
134	во многих	1	3
135	в каждом	1	3
136	в другом	3	3
137	лишь в	6	3
138	и тем	3	3
139	даже в	3	3
140	ни в	2	3
141	что не	1	3
142	тому что	2	3
143	в конце	2	3
144	а на	3	3
145	не по	1	3
146	в основе	3	3
147	этих двух	2	3
148	в каком	1	3
149	очень часто	1	3
150	должен быть	1	3
151	для себя	1	3
152	то или	1	3
153	об этом	2	3
154	тем или	1	3
155	между тем	5	3
156	и только	1	3
157	но с	1	3
158	в двух	1	3
159	в какой	2	3
160	по этому	1	3
161	с одной	2	3
162	а именно	2	3
163	а с	3	3
164	что для	1	3
165	говорит о	1	3
166	не является	4	3
167	и для	2	3
168	не существует	1	3
169	в результате	1	3
170	или иным	3	3
171	отношению к	4	3
172	отношения к	2	2
173	мере в	1	2
174	в первом	2	2
175	которыми он	1	2
176	мы имеем	7	2
177	не была	1	2
178	в сущности	1	2
179	совпадает с	3	2
180	из того	1	2
181	подчеркнуть что	1	2
182	как правило	4	2
183	иных случаях	1	2
184	совсем не	1	2
185	в сторону	1	2
186	русского языка	1	2
187	отношение к	5	2
188	за пределы	2	2
189	писателя в	1	2
190	идет о	1	2
191	более чем	1	2
192	в своем	4	2
193	есть в	2	2
194	целый ряд	1	2
195	к числу	1	2
196	в литературном	1	2
197	так или	4	2
198	раз в	1	2
199	в себе	9	2
200	но он	3	2
201	и те	1	2
202	но на	1	2
203	не могла	1	2
204	в случае	1	2
205	в наших	1	2
206	при этом	12	2
207	но именно	1	2
208	он не	3	2
209	свою собственную	1	2
210	он должен	2	2
211	и более	1	2
212	ни были	1	2
213	что все	1	2
214	его в	2	2
215	должен был	1	2
216	согласен с	1	2
217	перед собой	1	2
218	места в	1	2
219	в такой	1	2
220	всякий раз	2	2
221	которые в	1	2
222	их в	3	2
223	произведения в	1	2
224	тем самым	4	2
225	она не	1	2
226	говорить о	3	2
227	случае не	2	2
228	вытекает из	1	2
229	имеем дело	2	2
230	стола и	1	2
231	тем не	3	2
232	пушкина что	2	2
233	числе и	1	2
234	и такие	1	2
235	и это	2	2
236	то время	1	2
237	и иные	1	2
238	и сам	1	2
239	каждого из	1	2
