N	2gram	Propp_Isto_5	BTomashe
1	и не	11	2
2	все это	4	2
3	в ней	5	2
4	не то	1	2
5	остановиться на	1	1
6	также что	3	1
7	об этом	2	1
8	и в	25	1
9	не вполне	1	1
10	и о	1	1
11	со всем	1	1
12	к ней	1	1
13	что все	4	1
14	по отдельным	1	1
15	свое название	1	1
16	с другой	9	1
17	в своей	2	1
18	на самом	1	1
19	на которой	2	1
20	как будто	1	1
21	было бы	1	1
22	все же	10	1
23	всяком случае	1	1
24	никак не	1	1
25	еще не	8	1
26	и на	8	1
27	в пределах	4	1
28	стоит на	1	1
29	одной из	1	1
30	должна быть	1	1
31	нет но	1	1
32	прежде всего	6	1
33	в данном	3	1
34	о них	1	1
35	не было	1	1
36	в книге	3	1
37	его не	3	1
38	из своей	1	1
39	совершенно не	2	1
40	можно в	1	1
41	а не	2	1
42	что в	8	1
43	другой стороны	8	1
44	также не	2	1
45	и ее	1	1
46	отнюдь не	1	1
47	таким образом	9	1
48	вопрос о	2	1
49	и более	1	1
50	и потому	2	1
51	не только	13	1
52	во всяком	1	1
