N	3gram	Tiupa_Hudo_1	Stilisti
1	в то же	5	9
2	то же время	5	7
3	для того чтобы	2	7
4	того или иного	3	5
5	с точки зрения	3	5
6	то же самое	1	4
7	и то же	3	4
8	той или иной	4	4
9	прежде всего в	1	4
10	ту или иную	1	4
11	в свою очередь	2	4
12	одно и то	3	4
13	и тем самым	1	3
14	во внутренней речи	1	3
15	заключает в себе	1	3
16	в этом случае	1	3
17	то или иное	1	3
18	внутренней и внешней	2	3
19	о том что	1	2
20	и в то	1	2
21	что иное как	1	2
22	можно сказать что	3	2
23	тех или иных	2	2
24	больше и больше	1	2
25	к тому что	2	2
26	между внутренней и	1	2
27	тот или иной	2	2
28	на первый взгляд	1	2
29	как бы в	1	2
30	и на его	1	2
31	все то что	1	2
32	в значительной степени	1	2
33	к чему не	1	2
34	не что иное	1	2
35	в связи с	1	2
36	есть не что	1	2
37	ни к чему	1	2
38	не может быть	3	2
39	своей жизни как	1	1
40	по большей части	2	1
41	здесь как бы	1	1
42	до того времени	1	1
43	себе в этом	1	1
44	человека с человеком	1	1
45	в одном и	1	1
46	значений но и	1	1
47	содержит в себе	1	1
48	именно потому что	1	1
49	в своей жизни	1	1
50	в хх веке	1	1
51	с другой стороны	5	1
52	форма внутренней речи	1	1
53	иметь в виду	1	1
54	того времени когда	1	1
55	при этом не	1	1
56	и того же	2	1
57	является как бы	1	1
58	в том что	7	1
59	и процесс их	1	1
60	одном и том	1	1
61	как это ни	1	1
62	к языку в	1	1
63	по отношению к	9	1
64	вследствие того что	1	1
65	более или менее	5	1
66	одного и того	2	1
67	и здесь остается	1	1
68	в русской литературе	2	1
69	в виду что	1	1
70	и в жизни	1	1
71	мы имеем в	3	1
72	в конечном счете	5	1
73	и том же	1	1
74	сознания при этом	1	1
75	не является ни	1	1
76	та или иная	1	1
77	по ту сторону	1	1
78	он не будет	1	1
79	не в самом	2	1
80	тем не менее	3	1
81	как и в	1	1
82	точки зрения и	1	1
83	заключать в себе	1	1
84	перед нами не	1	1
85	по крайней мере	1	1
