1	в том что	11	21
2	с точки зрения	4	18
3	для того чтобы	1	10
4	с одной стороны	2	7
5	заключается в том	2	7
6	что мы знаем	1	6
7	не может быть	5	6
8	на то что	3	6
9	в связи с	3	6
10	во всяком случае	4	6
11	можно было бы	1	5
12	а с другой	2	4
13	все что мы	1	4
14	в том чтобы	2	4
15	мы знаем об	1	4
16	в предисловии к	2	4
17	в самом деле	1	4
18	о том что	4	4
19	по этому поводу	2	3
20	состоит в том	3	3
21	в собственном смысле	1	3
22	вместе с ним	1	3
23	в эту пору	1	3
24	в этом отношении	4	3
25	то же самое	1	2
26	то что он	1	2
27	не потому что	1	2
28	на вопрос о	1	2
29	в этом смысле	4	2
30	потому что он	2	2
31	только тогда когда	2	2
32	более или менее	1	2
33	как раз в	1	2
34	на самом деле	1	2
35	речь идет о	1	2
36	того что в	1	2
37	вопрос о том	1	2
38	и в самом	1	2
39	в первые годы	1	2
40	на протяжении всего	1	2
41	в том же	1	2
42	и в частности	1	1
43	дети как и	1	1
44	до сих пор	2	1
45	в той или	1	1
46	его мышления как	1	1
47	все более и	2	1
48	с самого начала	2	1
49	но так как	1	1
50	том что такое	1	1
51	он не может	1	1
52	он забывает о	1	1
53	в течение лет	1	1
54	в применении к	1	1
55	и мн др	1	1
56	не может не	1	1
57	стороны а с	1	1
58	тот или иной	1	1
59	том что он	1	1
60	или иной мере	1	1
61	что это есть	2	1
62	точку зрения на	1	1
63	то что в	1	1
64	что в них	1	1
65	то обстоятельство что	5	1
66	в такой же	1	1
67	приводит к тому	1	1
68	не только не	1	1
69	нельзя не признать	1	1
70	в свое время	1	1
71	сказать что это	1	1
72	он наблюдал в	1	1
73	мы имеем в	2	1
74	по существу это	1	1
75	можно сравнить с	1	1
76	каждая из этих	1	1
77	он говорит что	1	1
78	благодаря тому что	1	1
79	не в том	3	1
80	в том смысле	2	1
81	этой точки зрения	1	1
82	том смысле что	1	1
83	по этому пути	1	1
84	в известном смысле	1	1
85	той или иной	1	1
86	из этих двух	1	1
87	связи с этим	1	1
88	с которым мы	1	1
89	можно сказать что	1	1
90	но на самом	1	1
91	и в качестве	1	1
92	и в некоторых	1	1
93	более и более	2	1
94	как и вообще	1	1
95	дело не в	1	1
96	иметь в виду	1	1
97	свою точку зрения	1	1
98	с ним и	1	1
99	одной стороны а	1	1
100	сам по себе	1	1
101	с тем что	3	1
102	доказательств того что	1	1
103	с другой стороны	4	1
104	как мы видели	1	1
105	гораздо раньше чем	1	1
106	во внимание значение	1	1
