N	3gram	Medvedev_F_2	Istorich
1	и т д	5	24
2	мы знаем что	1	7
3	до сих пор	1	5
4	с другой стороны	3	4
5	не может быть	10	4
6	но все же	2	4
7	что иное как	1	3
8	в этом случае	1	3
9	т е в	1	3
10	в данном случае	1	3
11	не что иное	1	3
12	как мы видели	4	3
13	мы имеем в	1	2
14	тем что он	1	2
15	при помощи которой	1	2
16	на задний план	1	2
17	смысле этого слова	1	2
18	то что он	1	2
19	так и в	3	2
20	в связи с	10	2
21	тем не менее	1	2
22	на этот вопрос	1	2
23	и связанные с	1	1
24	и не может	3	1
25	должен был получиться	1	1
26	в зависимости от	3	1
27	что он не	1	1
28	но и в	3	1
29	как мы увидим	1	1
30	с помощью своего	1	1
31	а в связи	2	1
32	ничего не говорят	1	1
33	и с помощью	1	1
34	и в этих	1	1
35	и в других	1	1
36	может быть и	3	1
37	они были не	1	1
38	в том как	1	1
39	главным образом на	1	1
40	здесь не может	1	1
41	не могут быть	4	1
42	во всех этих	1	1
43	не в том	3	1
44	сам он становится	1	1
45	он уже не	1	1
46	нет есть только	1	1
47	и в особенности	1	1
48	не в своей	1	1
49	т е как	2	1
50	вместе с тем	4	1
51	что же это	1	1
52	в этом рассказе	1	1
53	в широком смысле	1	1
54	есть не что	1	1
55	в общих чертах	1	1
56	мы не можем	1	1
57	таким образом мы	1	1
58	это и есть	1	1
59	но он не	1	1
60	связанные с ними	1	1
61	ничего общего с	1	1
62	и тем самым	1	1
63	в других случаях	1	1
64	же это за	1	1
65	необходимо отличать от	1	1
66	в большинстве случаев	3	1
67	к тому что	2	1
68	в узком смысле	1	1
69	то что они	1	1
70	как и в	1	1
71	что и в	1	1
