N	2gram	Potebnia_M_4	Freidism
1	таким образом	24	24
2	и не	18	23
3	не может	11	20
4	точки зрения	4	19
5	прежде всего	1	18
6	в этом	23	15
7	в его	5	15
8	в душе	1	13
9	мы можем	10	13
10	может быть	26	13
11	и его	2	12
12	все эти	3	11
13	как и	14	11
14	с точки	3	11
15	как бы	5	11
16	то что	29	11
17	самом деле	3	10
18	но в	8	10
19	его в	4	10
20	с ним	5	10
21	как мы	2	10
22	так и	6	10
23	и потому	10	10
24	во всех	1	9
25	по отношению	10	9
26	и в	23	9
27	в сознание	2	9
28	то же	14	8
29	не только	10	8
30	он не	2	8
31	в своей	1	8
32	еще не	3	8
33	оно и	1	8
34	что он	4	8
35	только в	15	8
36	так как	14	8
37	все это	5	8
38	и все	4	8
39	отношению к	8	8
40	все что	2	8
41	в самом	3	7
42	мы уже	3	7
43	отношение к	2	7
44	чувств и	1	7
45	мы видели	1	7
46	те же	3	7
47	к нему	5	7
48	один из	2	7
49	тот же	2	7
50	всяком случае	3	7
51	что же	5	7
52	сказать что	8	7
53	во всяком	5	7
54	в ней	2	6
55	за пределы	1	6
56	так сказать	5	6
57	и с	4	6
58	того что	14	6
59	для него	5	6
60	вовсе не	7	6
61	никогда не	3	6
62	хотя бы	4	6
63	на самом	3	5
64	и на	3	5
65	он сам	1	5
66	в чем	1	5
67	и к	6	5
68	в этой	1	5
69	что такое	7	5
70	не в	11	5
71	мы должны	2	5
72	в то	4	5
73	в каком	4	5
74	могут быть	7	5
75	в себя	1	5
76	но мы	2	5
77	можно сказать	4	5
78	для того	6	5
79	по мнению	1	5
80	в большинстве	2	5
81	большинстве случаев	2	5
82	и прежде	2	5
83	а в	5	5
84	но и	11	5
85	связь с	1	5
86	с этим	7	5
87	в свою	2	5
88	что в	17	5
89	и за	1	4
90	той же	3	4
91	мы не	8	4
92	в которой	6	4
93	говорить о	5	4
94	я не	2	4
95	зависимости от	1	4
96	но не	1	4
97	в собственном	1	4
98	все же	1	4
99	не было	12	4
100	из этих	2	4
101	в пределах	1	4
102	в нем	7	4
103	на этом	1	4
104	при этом	15	4
105	об этом	2	4
106	с другими	4	4
107	на основании	4	4
108	во время	2	4
109	не менее	5	4
110	же время	3	4
111	таким путем	1	4
112	потому что	33	4
113	и для	2	4
114	к тому	3	4
115	если мы	2	4
116	того чтобы	4	4
117	данном случае	2	4
118	с самого	1	4
119	это только	1	4
120	другими словами	8	4
121	с ними	3	4
122	не имеющие	1	4
123	конечно не	2	4
124	уже не	3	4
125	в котором	4	4
126	от того	4	4
127	и др	2	4
128	в данном	4	4
129	и о	4	4
130	в более	2	4
131	в следующей	1	4
132	сознания и	1	4
133	в этих	3	4
134	этот вопрос	3	4
135	между ними	4	4
136	в последнем	1	4
137	в таком	4	4
138	таком случае	2	3
139	человека и	3	3
140	и есть	3	3
141	такие же	5	3
142	один и	5	3
143	как в	7	3
144	и той	1	3
145	и как	2	3
146	жизни к	2	3
147	сказать о	1	3
148	и тот	3	3
149	в себе	14	3
150	и те	1	3
151	этот процесс	1	3
152	главным образом	1	3
153	одной и	1	3
154	и по	3	3
155	что все	4	3
156	и может	4	3
157	может стать	1	3
158	было бы	8	3
159	мы имеем	4	3
160	мысли и	7	3
161	тому чтобы	1	3
162	можем сказать	2	3
163	тому что	2	3
164	самого начала	2	3
165	представления и	3	3
166	в сознании	4	3
167	не могут	2	3
168	бы он	1	3
169	она не	2	3
170	ничего общего	1	3
171	свою очередь	1	3
172	о бессознательном	1	3
173	что может	2	3
174	если бы	13	3
175	и что	7	3
176	которого оно	1	3
177	во втором	1	3
178	на другие	1	3
179	человека с	1	3
180	из которого	1	3
181	у него	1	3
182	в них	3	3
183	со стороны	3	3
184	на этот	2	3
185	этого сна	1	3
186	вместе с	6	3
187	по своему	2	3
188	слова и	5	3
189	но это	3	3
190	в голову	2	3
191	не знает	1	3
192	от всех	1	3
193	жизни и	1	3
194	ее в	1	3
195	в искусстве	3	3
196	по поводу	4	3
197	и выражение	1	2
198	ли мы	1	2
199	в такой	1	2
200	и то	5	2
201	тем же	1	2
202	в первом	3	2
203	когда человек	4	2
204	и до	3	2
205	ее целом	1	2
206	для своего	1	2
207	что между	3	2
208	в первый	2	2
209	большую роль	1	2
210	нам в	1	2
211	как не	1	2
212	того же	1	2
213	не без	1	2
214	сказать и	1	2
215	в ее	2	2
216	видели что	1	2
217	но как	1	2
218	отличие от	1	2
219	значение для	1	2
220	относится к	1	2
221	же с	2	2
222	дает нам	1	2
223	что как	4	2
224	в своем	8	2
225	что это	7	2
226	в нашем	2	2
227	сил в	1	2
228	человек не	2	2
229	что она	2	2
230	из этой	1	2
231	их в	3	2
232	его таким	1	2
233	но все	1	2
234	на всю	1	2
235	же касается	1	2
236	них не	1	2
237	при помощи	3	2
238	это было	2	2
239	это не	7	2
240	только о	2	2
241	этом мы	2	2
242	жизни то	1	2
243	всю жизнь	1	2
244	том что	12	2
245	в эту	1	2
246	что значит	2	2
247	но если	1	2
248	во второй	1	2
249	и при	2	2
250	не подозревает	1	2
251	в их	1	2
252	представлений и	2	2
253	приводится в	1	2
254	сих пор	4	2
255	страх и	1	2
256	теми же	2	2
257	возможно только	3	2
258	как это	1	2
259	в отношении	1	2
260	в таких	2	2
261	что с	1	2
262	но для	1	2
263	дело не	2	2
264	в науке	3	2
265	и притом	2	2
266	к этим	1	2
267	в процессе	3	2
268	в самых	1	2
269	в нас	3	2
270	только не	3	2
271	тем не	4	2
272	и мысли	2	2
273	только с	1	2
274	этом отношении	1	2
275	в области	2	2
276	все то	1	2
277	когда мы	6	2
278	же что	2	2
279	для развития	1	2
280	должны быть	3	2
281	они и	1	2
282	оно не	2	2
283	и самое	1	2
284	образы и	3	2
285	в виду	3	2
286	на основе	1	2
287	можно сделать	1	2
288	роль в	1	2
289	в глаза	1	2
290	и вообще	2	2
291	о нем	1	2
292	в другом	1	2
293	и поэтому	1	2
294	до сих	4	2
295	необходим для	1	2
296	этих двух	1	2
297	что и	7	2
298	что бы	1	2
299	и об	1	2
300	быть и	2	2
301	на которой	1	2
302	себя с	1	2
303	мы видим	2	2
304	для нее	1	2
305	с одной	1	2
306	на всем	1	2
307	не можем	5	2
308	и у	2	2
309	уже в	5	2
310	только на	4	2
311	и они	2	2
312	в нашей	1	2
313	из них	1	2
314	человека на	1	2
315	а потому	1	2
316	в систему	1	2
317	заметить что	6	2
318	рядом с	1	2
319	и даже	2	2
320	с объективной	1	2
321	влияние на	2	2
322	с другой	2	2
323	человека в	2	2
324	здесь в	1	2
325	а с	1	2
326	одной стороны	1	2
327	а не	12	2
328	для сознания	1	2
329	что мы	10	2
330	душевной жизни	3	2
331	так же	4	2
332	чувства и	1	2
333	для понимания	2	2
334	в развитии	1	2
335	только для	2	2
336	и таким	3	2
337	же самое	4	2
338	к другим	2	2
339	похоже на	2	2
340	не существует	2	2
341	для нас	14	2
342	да и	4	2
343	из тех	2	2
344	к его	2	2
345	есть и	2	2
346	в своих	2	2
347	во сне	2	2
348	как на	1	2
349	ту же	3	1
350	можно говорить	1	1
351	и т	7	1
352	одним из	1	1
353	относится и	1	1
354	и через	1	1
355	не видим	1	1
356	объективной стороны	1	1
357	а из	1	1
358	дальнейшему развитию	1	1
359	науки о	1	1
360	но тем	2	1
361	бы для	1	1
362	показать что	1	1
363	не признает	1	1
364	нам кажется	2	1
365	человеческой души	1	1
366	в мыслях	1	1
367	часть его	1	1
368	в несколько	1	1
369	а как	2	1
370	полагает что	1	1
371	со всех	1	1
372	всего того	1	1
373	этой картины	1	1
374	или наоборот	1	1
375	совершается процесс	1	1
376	нуждаются в	1	1
377	я как	1	1
378	которую мы	1	1
379	вопрос о	2	1
380	ответить на	3	1
