N	3gram	Vygotskiy__7	KFilosof
1	по отношению к	5	21
2	не может быть	4	11
3	с точки зрения	21	10
4	по отношению ко	1	4
5	и в своей	1	3
6	на самом деле	2	3
7	в этом смысле	1	3
8	отношению ко всему	1	3
9	и в этом	1	3
10	дело здесь не	1	2
11	в соответствии с	1	2
12	только по отношению	1	2
13	в смысле общих	1	2
14	во всех этих	1	2
15	в моем сознании	1	2
16	в целом и	1	2
17	той или иной	1	2
18	в то же	1	2
19	тем не менее	3	2
20	во всем его	1	2
21	в том что	13	2
22	ни о каких	1	1
23	на то что	4	1
24	оба эти момента	2	1
25	а следовательно и	1	1
26	нет и не	2	1
27	потому что в	1	1
28	но только не	1	1
29	своего развития оно	1	1
30	в том же	1	1
31	только в том	1	1
32	и во всех	1	1
33	в лучшем случае	2	1
34	в зависимости от	1	1
35	мы не имеем	1	1
36	него и для	1	1
37	по своей структуре	2	1
38	вследствие того что	1	1
39	не может жить	1	1
40	то что этот	1	1
41	здесь не в	1	1
42	слово может быть	1	1
43	несмотря на то	1	1
44	вместе с тем	4	1
45	и то что	3	1
46	слова и его	4	1
47	во всех остальных	1	1
48	между ним и	1	1
49	не совпадает с	3	1
50	можно сказать только	1	1
51	говорить ни о	1	1
52	в первом случае	3	1
53	при таком положении	1	1
54	смысле этого слова	3	1
55	не содержит в	1	1
56	в известном смысле	2	1
57	не имеет места	1	1
58	для него и	1	1
59	в одном случае	1	1
60	к той же	1	1
61	во всяком случае	1	1
62	к которой мы	1	1
63	заключать в себе	1	1
64	в основе единства	1	1
65	на этом пути	1	1
66	для того чтобы	18	1
67	вместо того чтобы	1	1
68	не может возникнуть	1	1
69	и всякий другой	1	1
70	но для того	1	1
71	мы не можем	3	1
72	же самое что	2	1
73	никогда не может	1	1
74	в свою очередь	2	1
75	само по себе	1	1
76	и тем самым	4	1
77	в конечном счете	2	1
78	включает в себя	1	1
79	это отнюдь не	1	1
80	в процессе ее	1	1
81	и вследствие этого	1	1
82	данный момент в	1	1
83	в большинстве случаев	2	1
84	имеют в виду	1	1
85	к тому что	6	1
86	в этом ее	1	1
87	в себе в	2	1
88	и только по	1	1
89	что и в	1	1
90	только тогда когда	1	1
91	то же самое	5	1
92	и вопрос о	1	1
93	можно ли отсюда	1	1
