N	2gram	Losev_Vesc_1	UchenyiS
1	и в	21	14
2	а не	19	10
3	не только	36	10
4	прежде всего	9	8
5	и не	29	8
6	не может	17	7
7	вот почему	3	7
8	в этом	4	7
9	то что	27	7
10	может быть	16	6
11	то же	6	5
12	и только	3	5
13	все это	5	5
14	хотя бы	6	5
15	перестает быть	3	5
16	с другой	6	4
17	но и	18	4
18	что такое	12	4
19	в россии	2	4
20	в этой	3	4
21	конечно не	1	4
22	то ни	4	3
23	и то	10	3
24	это не	5	3
25	было бы	14	3
26	как и	8	3
27	для этого	4	3
28	в частности	1	3
29	в своей	5	3
30	бы то	4	3
31	очевидно что	1	3
32	и формы	2	3
33	в то	3	3
34	все же	4	3
35	но в	5	3
36	только к	2	3
37	у нас	7	3
38	другой стороны	2	3
39	для него	4	3
40	ни было	4	3
41	не о	1	3
42	что все	2	2
43	крайней мере	4	2
44	же не	1	2
45	и с	8	2
46	а его	1	2
47	до сих	1	2
48	это было	1	2
49	самом деле	4	2
50	форму и	1	2
51	должна быть	4	2
52	превращается в	1	2
53	мы не	6	2
54	о чем	1	2
55	является в	2	2
56	если бы	5	2
57	что мы	14	2
58	ничего не	3	2
59	не столько	1	2
60	если не	3	2
61	том что	8	2
62	сводится к	2	2
63	но даже	3	2
64	мы и	1	2
65	ни от	5	2
66	нас в	3	2
67	с его	1	2
68	но не	5	2
69	не все	1	2
70	в его	2	2
71	по крайней	4	2
72	по существу	2	2
73	что и	3	2
74	по себе	13	2
75	конце концов	2	2
76	сих пор	1	2
77	но это	10	2
78	могли бы	1	2
79	в том	8	2
80	тех или	5	2
81	это уже	1	2
82	и для	9	2
83	что он	1	2
84	в себе	14	2
85	формы и	1	2
86	в самом	9	2
87	и у	3	2
88	только в	14	2
89	мы получаем	1	2
90	не в	5	2
91	для всех	1	2
92	вопроса о	1	2
93	не есть	49	2
94	этом отношении	1	2
95	еще ничего	1	2
96	или иных	1	2
97	конечно нет	2	2
98	его и	2	2
99	бы и	5	2
100	всех этих	1	2
101	могут быть	1	2
102	в конце	2	2
103	же самое	1	2
104	не случайно	2	2
105	как раз	9	2
106	тем что	2	2
107	что она	15	2
108	таким образом	8	2
109	даже и	4	2
110	для себя	5	1
111	и это	14	1
112	области в	1	1
113	в последние	2	1
114	об этом	3	1
115	есть конечно	2	1
116	же как	1	1
117	человека и	1	1
118	даже не	7	1
119	в виду	2	1
120	сам по	3	1
121	данном случае	2	1
122	или иначе	4	1
123	только при	1	1
124	перестают быть	1	1
125	с самим	4	1
126	существует в	1	1
127	и прежде	1	1
128	понятие не	3	1
129	и быть	1	1
130	было и	2	1
131	из самых	2	1
132	степени и	2	1
133	в пределах	1	1
134	никогда не	2	1
135	так и	3	1
136	одной стороны	3	1
137	той же	2	1
138	в сфере	4	1
139	относится к	5	1
140	отлична от	1	1
141	самое наличие	1	1
142	не предмет	1	1
143	часто бывает	1	1
144	с тем	5	1
145	мы имеем	7	1
146	своем месте	1	1
147	такое понимание	1	1
148	со своими	1	1
149	и вне	2	1
150	именно этот	1	1
151	он становится	1	1
152	именно к	1	1
153	очень легко	1	1
154	и даже	6	1
155	должно быть	6	1
156	можно сказать	6	1
157	восприятия и	1	1
158	смысле и	1	1
159	не вполне	2	1
160	пройти мимо	1	1
161	или менее	1	1
162	стороны в	1	1
163	о нем	1	1
164	искусства и	1	1
165	тех кто	2	1
166	метод и	1	1
167	приводит к	1	1
168	о том	6	1
169	в ней	12	1
170	и потому	5	1
171	относятся к	1	1
172	почти не	1	1
173	в котором	3	1
174	и что	15	1
175	и этого	2	1
176	вещи это	7	1
177	напр в	1	1
178	в различных	1	1
179	быть в	1	1
180	из которых	1	1
181	чем то	2	1
182	как науки	1	1
183	этой основной	1	1
184	признать что	1	1
185	как таковая	2	1
186	строго говоря	1	1
187	в течение	1	1
188	в той	3	1
189	принцип есть	1	1
190	ее к	2	1
191	в данном	5	1
192	что же	8	1
193	не то	4	1
194	бы в	5	1
195	того что	8	1
196	отдельности и	2	1
197	их в	3	1
198	друг с	1	1
199	ней не	1	1
200	форма в	1	1
201	это значит	24	1
202	само же	1	1
203	ничуть не	1	1
204	нет и	1	1
205	к проблеме	1	1
206	на то	4	1
207	быть не	4	1
208	него не	1	1
209	и вся	1	1
210	еще один	1	1
211	его как	1	1
212	отнюдь не	5	1
213	она не	4	1
214	о принципах	1	1
215	и существенным	1	1
216	для тех	3	1
217	независимо от	5	1
218	его на	1	1
219	но тут	2	1
220	в своем	6	1
221	может обойтись	1	1
222	случайной и	1	1
223	как нам	1	1
224	но для	2	1
225	имеет свою	1	1
226	и все	5	1
227	что только	3	1
228	по меньшей	1	1
229	она должна	2	1
230	у кого	1	1
231	тот же	3	1
232	в поэтическом	1	1
233	более или	1	1
234	объекта и	1	1
235	есть ли	6	1
236	впрочем для	1	1
237	в которой	1	1
238	о котором	1	1
239	меньшей мере	1	1
240	бы ни	2	1
241	от самых	1	1
242	как отвлеченный	1	1
243	не было	1	1
244	так или	4	1
245	находятся в	1	1
246	тогда когда	5	1
247	с одной	3	1
248	в качестве	1	1
249	но именно	2	1
250	без этого	2	1
251	вообще в	1	1
252	бы только	1	1
253	точно и	1	1
254	уже не	9	1
255	на одно	1	1
256	далеко не	1	1
257	тут мы	4	1
258	ее как	2	1
259	то и	4	1
260	и необходимо	2	1
261	же в	1	1
262	они находятся	1	1
263	в виде	1	1
264	специфической природе	1	1
265	теории и	1	1
266	в нем	2	1
267	с другом	1	1
268	но если	8	1
269	не самые	1	1
270	о которой	2	1
271	сказать что	17	1
272	только как	1	1
273	не связанных	1	1
274	состоит из	1	1
275	и истории	1	1
276	одно из	1	1
277	не значит	7	1
278	равно как	2	1
279	исходить из	1	1
280	и так	1	1
281	он и	1	1
282	что еще	1	1
283	в чистое	1	1
284	в отдельности	4	1
285	в понятии	4	1
286	последние годы	2	1
287	содержание и	1	1
288	в свое	2	1
289	но он	2	1
290	но что	2	1
291	у него	2	1
292	такое что	1	1
293	само по	1	1
294	бы те	1	1
295	мы можем	4	1
296	так то	3	1
297	ее в	1	1
298	и делает	2	1
299	и эта	3	1
300	это в	1	1
301	а это	4	1
302	невозможна без	1	1
303	индивидуальности но	1	1
304	к этому	1	1
305	что в	9	1
306	от слова	1	1
307	все что	1	1
308	бы это	1	1
309	этот путь	1	1
