N	3gram	Propp_Isto_3	Analitik
1	о том что	2	6
2	в том что	5	6
3	в данном случае	3	5
4	состоит в том	2	4
5	по отношению к	2	4
6	с одной стороны	2	4
7	в этом случае	5	4
8	к тому же	2	4
9	мы имеем дело	1	3
10	подобно тому как	1	3
11	тем не менее	5	3
12	как и в	2	3
13	в соответствии с	1	2
14	с точки зрения	1	2
15	в таком случае	1	2
16	можно было бы	1	2
17	и то что	2	2
18	мужских и женских	1	2
19	не только в	1	2
20	с другой стороны	7	2
21	не только не	2	2
22	на то что	1	2
23	что иное как	3	1
24	во второй раз	1	1
25	можно сказать что	1	1
26	в тех случаях	1	1
27	а не с	1	1
28	между прочим и	1	1
29	и даже не	1	1
30	прямо говорит о	1	1
31	сами по себе	1	1
32	но и в	1	1
33	нам уже известно	2	1
34	на этот вопрос	1	1
35	этом случае в	1	1
36	с этой точки	1	1
37	и тем что	1	1
38	только частный случай	1	1
39	себе ничего не	1	1
40	имеем дело с	1	1
41	так или иначе	1	1
42	по себе ничего	1	1
43	в свою очередь	1	1
44	в связи с	3	1
45	но если бы	1	1
46	этой точки зрения	1	1
47	только то что	1	1
48	есть не что	1	1
49	не может быть	1	1
50	заключается в том	1	1
51	другой стороны и	3	1
52	не только на	1	1
53	не что иное	3	1
54	но и не	1	1
55	он ничего не	2	1
56	в этих случаях	7	1
57	тех случаях когда	1	1
58	в том смысле	1	1
59	друг с другом	1	1
60	точно так же	2	1
