N	3gram	Propp_Isto_7	FransuaR
1	в большинстве случаев	1	5
2	как мы уже	1	5
3	более или менее	1	3
4	но и в	2	3
5	таким образом и	1	3
6	с другой стороны	8	3
7	один и тот	1	2
8	с точки зрения	1	2
9	во франции в	1	2
10	образом и здесь	1	2
11	и в других	2	2
12	с одной стороны	4	2
13	и тот же	1	2
14	до наших дней	1	2
15	не только в	5	2
16	в то время	2	2
17	о том что	5	2
18	мы видели как	1	2
19	как мы видели	1	2
20	и в конце	1	1
21	таким образом что	1	1
22	уже знаем что	2	1
23	здесь перед нами	1	1
24	что это не	2	1
25	между прочим и	2	1
26	то же самое	1	1
27	при всем их	1	1
28	в одной из	2	1
29	но все это	1	1
30	до сих пор	2	1
31	в различных формах	1	1
32	и все в	1	1
33	есть и в	1	1
34	дает право на	1	1
35	видели какую роль	1	1
36	всем их разнообразии	1	1
37	он не мог	1	1
38	ко всякого рода	1	1
39	в этом же	1	1
40	здесь мы видим	1	1
41	мы увидим дальше	1	1
42	то время как	2	1
43	в самом начале	1	1
44	в данном случае	3	1
45	в первый раз	1	1
46	с тех пор	1	1
47	у того же	1	1
48	на первый взгляд	4	1
49	это один и	1	1
50	в мифе о	1	1
51	обряд во время	1	1
52	все же не	1	1
53	в связи с	1	1
54	и все они	1	1
55	приводят к тому	1	1
56	как мы увидим	1	1
57	и др все	1	1
58	так и в	2	1
59	не может быть	3	1
60	данном случае в	1	1
61	это не единственная	1	1
62	мы уже знаем	3	1
63	мы видели какую	1	1
64	после чего наступает	1	1
65	непосредственной связи с	1	1
66	его принадлежности к	1	1
67	с того что	3	1
68	богатую и разнообразную	1	1
69	в других странах	1	1
70	увидим дальше что	1	1
71	но это не	2	1
72	мы видим что	3	1
73	по этому знаку	1	1
74	но мы уже	1	1
75	в том что	4	1
76	все это не	1	1
77	что и в	2	1
78	один из самых	1	1
79	мы видели что	1	1
