N	2gram	Medvedev_S_1	Istorich
1	что он	1	24
2	не только	3	18
3	может быть	2	17
4	и в	3	15
5	никогда не	1	15
6	но и	2	14
7	что в	2	12
8	то что	2	12
9	а в	1	12
10	в этом	5	11
11	в этих	1	11
12	и не	1	11
13	то же	2	10
14	его в	1	10
15	еще не	2	9
16	все же	1	9
17	связи с	1	8
18	один из	1	8
19	таким образом	2	7
20	том что	2	7
21	не в	3	7
22	ничего не	1	7
23	что это	1	6
24	и что	2	6
25	в его	3	6
26	как бы	2	6
27	в том	5	6
28	только в	2	6
29	и есть	1	5
30	и наконец	1	5
31	что она	1	5
32	было бы	2	5
33	в котором	1	5
34	так и	1	5
35	прежде всего	1	5
36	к которому	2	5
37	в связи	1	5
38	не может	1	5
39	что эти	1	4
40	все эти	1	4
41	в этой	1	4
42	дело не	2	4
43	для нас	3	4
44	с одной	1	4
45	у него	1	4
46	тем что	1	4
47	в область	1	4
48	мы должны	1	4
49	они не	1	4
50	мы не	1	3
51	право на	1	3
52	как живой	1	3
53	и его	1	3
54	как будто	2	3
55	о том	1	3
56	должно было	1	3
57	по отношению	2	3
58	одной стороны	1	3
59	все это	7	3
60	отношению к	2	3
61	в сущности	1	2
62	хотя бы	1	2
63	для наших	1	2
64	но не	1	2
65	дает нам	1	2
66	перед нами	1	2
67	главным образом	2	2
68	в силу	1	2
69	и по	1	2
70	это не	1	2
71	как и	1	2
72	и более	1	2
73	в таких	1	2
74	тогда и	1	2
75	когда мы	1	2
76	с другой	1	2
77	в него	1	2
78	и только	3	2
79	не было	1	2
80	именно в	1	2
81	а с	1	2
82	зависит от	1	2
83	где же	1	2
84	по существу	2	2
85	и понимает	1	1
86	это и	2	1
87	говорит за	1	1
88	и о	1	1
89	этом не	1	1
90	но она	1	1
91	а тем	1	1
92	но как	1	1
93	может она	1	1
94	в свои	1	1
95	отнюдь не	1	1
96	вопросом о	1	1
97	и как	1	1
98	как то	1	1
99	в целом	1	1
100	друг от	1	1
101	в них	1	1
102	далеко не	2	1
103	в своей	1	1
104	по себе	1	1
105	даже в	1	1
106	в то	1	1
107	в процессе	1	1
108	что на	1	1
109	как только	2	1
110	от друга	1	1
111	ни одно	1	1
112	том как	1	1
113	с ним	1	1
114	образом в	1	1
115	автор не	1	1
116	это происходит	1	1
117	время в	1	1
118	происходит не	1	1
119	связь между	1	1
120	в частности	2	1
121	собой не	1	1
122	именно на	1	1
123	него и	1	1
124	вовсе не	1	1
125	и им	1	1
126	нужно было	2	1
127	мы еще	1	1
128	их друг	1	1
129	далеко еще	1	1
130	и потому	1	1
131	он говорит	1	1
132	остается в	1	1
133	это значит	1	1
134	быть не	1	1
135	только для	1	1
136	в открытое	1	1
137	стоит только	1	1
138	в наше	1	1
139	кто не	1	1
140	в результате	2	1
141	это как	1	1
142	бы он	1	1
143	его утверждение	1	1
144	из тех	1	1
145	полагает что	1	1
146	ремесла но	1	1
147	у которых	1	1
148	на ней	1	1
