N	2gram	Savitsky_P_1	OGranits
1	и в	14	13
2	прежде всего	3	9
3	может быть	5	8
4	не может	4	8
5	и не	12	8
6	в его	2	7
7	и пр	5	7
8	точки зрения	3	7
9	только в	7	6
10	как бы	4	6
11	не только	17	6
12	то что	4	6
13	мы должны	4	6
14	все же	1	5
15	с точки	3	5
16	хотя бы	8	5
17	мы не	3	4
18	тех пор	1	4
19	на фоне	1	4
20	но в	9	4
21	до тех	1	4
22	мы можем	1	4
23	то же	9	4
24	было бы	6	4
25	все это	2	4
26	в выборе	2	4
27	в каждом	1	4
28	связана с	1	3
29	и то	1	3
30	в ее	2	3
31	в пределах	8	3
32	говорить о	2	3
33	пор пока	1	3
34	с этим	2	3
35	в которой	1	3
36	в себе	3	3
37	не как	1	3
38	одно и	1	3
39	но и	6	3
40	как и	1	3
41	и уже	1	3
42	не в	5	3
43	да и	2	3
44	есть прежде	1	3
45	но для	1	3
46	никогда не	1	3
47	не столько	2	3
48	что в	4	3
49	на две	1	2
50	те же	1	2
51	есть не	2	2
52	если бы	4	2
53	не сумеем	1	2
54	к предмету	1	2
55	в ней	6	2
56	а также	4	2
57	между тем	3	2
58	в общем	2	2
59	во всей	2	2
60	вслед за	3	2
61	к сожалению	1	2
62	в которую	2	2
63	в данном	1	2
64	в этом	10	2
65	в том	9	2
66	мы видим	1	2
67	тот же	3	2
68	с ними	3	2
69	во времени	1	2
70	и тем	2	2
71	с одной	3	2
72	думать что	2	2
73	уже в	1	2
74	в нем	3	2
75	связанные с	1	2
76	говорить об	1	2
77	в них	2	2
78	в области	11	2
79	с другой	5	2
80	в самом	1	2
81	одной стороны	3	2
82	а не	2	2
83	другой стороны	1	2
84	там где	1	2
85	том что	4	2
86	в г	1	2
87	и при	1	2
88	и ее	1	2
89	так же	1	2
90	в отношении	10	2
91	не менее	2	2
92	что эта	1	2
93	не имеет	1	2
94	пути к	1	2
95	а в	4	2
96	еще в	1	2
97	нет ничего	1	2
98	и к	4	2
99	могут быть	3	2
100	и это	2	1
101	можно говорить	1	1
102	также и	1	1
103	же как	1	1
104	и через	1	1
105	значительной мере	2	1
106	средств в	1	1
107	как известно	1	1
108	на основе	1	1
109	пусть эта	1	1
110	в собственном	1	1
111	и есть	2	1
112	в себя	1	1
113	или иная	1	1
114	собственном смысле	1	1
115	особенно в	1	1
116	в борьбе	1	1
117	осуществляется в	2	1
118	когда в	1	1
119	и о	5	1
120	вопрос о	1	1
121	быть может	6	1
122	для этого	1	1
123	по себе	4	1
124	на себя	1	1
125	с ее	1	1
126	и который	1	1
127	сводится к	3	1
128	в мире	2	1
129	как возможность	1	1
130	и что	1	1
131	еще не	1	1
132	в по	1	1
133	утверждается что	1	1
134	столь же	3	1
135	время в	2	1
136	в различных	1	1
137	живопись весь	1	1
138	но не	3	1
139	переходит в	1	1
140	может и	2	1
141	борьбе с	1	1
142	следуя примеру	1	1
143	и достоевский	1	1
144	на то	1	1
145	которая и	1	1
146	в истории	1	1
147	внимание к	1	1
148	явление и	1	1
149	эта проблема	1	1
150	в своем	4	1
151	у в	1	1
152	и как	3	1
153	нашей задачей	1	1
154	более или	1	1
155	в значительной	2	1
156	чуть ли	1	1
157	в этой	1	1
158	промежуток времени	1	1
159	сливаются в	1	1
160	только на	1	1
161	если он	1	1
162	положение что	1	1
163	и если	4	1
164	в статье	2	1
165	этого процесса	1	1
166	и других	2	1
167	одно из	1	1
168	не будут	1	1
169	считают себя	1	1
170	в виде	2	1
171	и должна	1	1
172	каждый из	1	1
173	отличие от	1	1
174	гоголь и	1	1
175	выборе и	1	1
176	для того	3	1
177	и здесь	1	1
178	его в	1	1
179	как к	1	1
180	и иных	1	1
181	заключается в	3	1
182	в природе	1	1
183	ранних и	1	1
184	в живом	1	1
185	что мы	3	1
186	только к	1	1
187	обратиться к	1	1
188	к более	1	1
189	для них	2	1
190	из нее	1	1
191	не было	2	1
192	соприкасается с	1	1
193	поскольку она	1	1
194	далеко не	1	1
195	как ни	1	1
196	отнюдь не	2	1
197	должно быть	2	1
198	и некоторых	1	1
199	хх века	2	1
200	или менее	1	1
201	которую мы	2	1
202	не дается	1	1
203	и особенно	1	1
204	всей полноте	1	1
205	в отличие	1	1
206	в которых	5	1
207	мысли и	1	1
208	бы что	1	1
209	бы мы	1	1
210	существует но	1	1
211	она есть	3	1
212	и вот	2	1
213	в эпоху	1	1
214	и более	1	1
215	в ряду	2	1
216	два направления	1	1
217	и наоборот	1	1
218	может идти	1	1
219	к следующему	1	1
220	времени эта	1	1
221	только то	1	1
222	душа и	1	1
223	нет никакого	1	1
224	в условиях	1	1
225	в начале	2	1
226	в то	7	1
227	к другим	1	1
228	одна из	2	1
229	она ни	2	1
230	случаях когда	1	1
231	мы все	1	1
232	того чтобы	1	1
233	само по	1	1
234	и чем	1	1
235	и обрести	1	1
236	находятся в	1	1
237	же время	7	1
238	вождя в	1	1
239	тем более	2	1
240	только что	1	1
241	потому что	3	1
242	не вполне	1	1
243	та или	1	1
244	и именно	1	1
245	ли не	1	1
246	рождается и	1	1
247	с его	1	1
248	часть того	1	1
249	вместе с	1	1
250	поэтики в	1	1
251	упреков в	1	1
252	например в	2	1
253	г о	4	1
254	разрыва между	1	1
255	что при	1	1
256	они не	1	1
