N	3gram	Nazirov_Tr_1	Analitik
1	в том что	2	7
2	о том что	2	5
3	как и в	1	4
4	в то же	5	3
5	то же время	5	3
6	не только не	1	3
7	в данном случае	2	3
8	в отличие от	2	2
9	в борьбе за	1	2
10	том что он	1	2
11	тем не менее	1	2
12	во всяком случае	1	2
13	не только к	1	2
14	между отцом и	1	1
15	и ненавистью к	1	1
16	сам по себе	1	1
17	так и в	3	1
18	в одном из	1	1
19	эта встреча не	1	1
20	случае как и	1	1
21	и даже отчасти	1	1
22	себя а за	1	1
23	свою жизнь и	1	1
24	не только по	1	1
25	хотя бы и	1	1
26	по природе своей	1	1
27	что он не	1	1
28	в этом случае	1	1
29	в этом мире	1	1
30	и как бы	2	1
31	отнюдь не является	1	1
32	к жизни на	1	1
33	мысль о том	1	1
34	не могут быть	1	1
35	одно из самых	1	1
36	своего отца и	1	1
37	не за себя	1	1
38	в связи с	1	1
39	в самом деле	1	1
40	за себя а	1	1
41	же слова были	1	1
42	и все же	1	1
43	в применении к	1	1
44	друг перед другом	1	1
45	а между тем	1	1
46	не может быть	1	1
