N	2gram	Nazirov_Vr_1	VerxiiNi
1	и в	8	26
2	таким образом	2	22
3	в этом	8	15
4	вместе с	2	15
5	точки зрения	2	13
6	как бы	4	12
7	в том	3	11
8	не только	9	10
9	и с	6	10
10	может быть	4	10
11	после смерти	2	10
12	связи с	3	9
13	но и	7	9
14	что в	7	9
15	но не	1	8
16	и у	3	8
17	с другой	1	8
18	и не	5	8
19	как на	1	8
20	но в	6	7
21	из них	2	7
22	том что	3	7
23	потому что	1	7
24	к нему	1	7
25	то что	7	7
26	а с	2	7
27	того же	1	6
28	представление о	1	6
29	все же	6	6
30	в себе	2	6
31	всяком случае	1	6
32	с точки	2	6
33	так и	1	6
34	и т.д	1	6
35	о том	4	6
36	в конце	3	6
37	несмотря на	4	6
38	все это	4	6
39	во всяком	1	6
40	отношение к	2	5
41	сих пор	1	5
42	тем чтобы	1	5
43	тому же	1	5
44	в силу	1	5
45	в мире	2	5
46	по крайней	1	5
47	не имеет	1	5
48	никогда не	2	5
49	в его	3	5
50	крайней мере	1	5
51	до сих	1	5
52	так же	4	5
53	сравняться с	1	5
54	в котором	6	4
55	то же	5	4
56	целый ряд	4	4
57	в самом	1	4
58	в этой	2	4
59	он не	3	4
60	далеко не	3	4
61	попадает в	1	4
62	в то	5	4
63	в нем	6	4
64	а в	2	4
65	и что	8	4
66	к своим	1	4
67	на этот	1	4
68	не может	2	4
69	из которых	1	4
70	и от	1	4
71	в этих	1	4
72	во время	2	4
73	что он	4	4
74	же как	2	3
75	из всех	1	3
76	если в	1	3
77	к сожалению	1	3
78	в своем	3	3
79	и как	3	3
80	что это	1	3
81	при этом	4	3
82	тем не	1	3
83	не менее	2	3
84	как о	1	3
85	русский народ	1	3
86	и о	3	3
87	на нее	1	3
88	ясно что	1	3
89	того что	1	3
90	но с	1	3
91	в качестве	1	3
92	из которого	1	3
93	уже не	2	3
94	для него	2	3
95	в одном	1	3
96	к ним	2	3
97	и даже	6	3
98	в связи	3	3
99	конце концов	1	3
100	к этому	3	3
101	в таком	1	3
102	точно так	1	3
103	одним из	3	2
104	в русских	2	2
105	и это	2	2
106	имя его	1	2
107	еще не	2	2
108	с его	3	2
109	во всех	1	2
110	и наконец	1	2
111	с тех	1	2
112	на то	3	2
113	не могла	1	2
114	из него	1	2
115	людей и	1	2
116	связан с	1	2
117	никто из	1	2
118	в глазах	2	2
119	в них	2	2
120	не всегда	1	2
121	что о	1	2
122	учиться у	1	2
123	в россии	5	2
124	вплоть до	1	2
125	тех пор	1	2
126	героев и	1	2
127	не могло	1	2
128	только не	1	2
129	же время	5	2
130	этом отношении	1	2
131	ему в	1	2
132	ли это	1	2
133	начиная с	2	2
134	в среде	2	2
135	похож на	1	2
136	отличается от	1	2
137	время он	2	2
138	ничего общего	1	2
139	но при	1	2
140	не с	1	2
141	так называемую	1	2
142	на востоке	1	2
143	в виду	4	2
144	а также	2	2
145	между тем	5	2
146	вслед за	1	2
147	быть и	1	2
148	по своей	1	2
149	один из	1	2
150	этот факт	1	2
151	от них	1	2
152	для всех	1	2
153	уже в	4	2
154	больше не	1	2
155	в начале	6	2
156	и из	1	2
157	именно в	1	2
158	к которому	1	2
159	прежде всего	1	2
160	не было	5	2
161	и все	7	2
162	среди них	1	2
163	уже давно	1	2
164	чем все	1	2
165	по своему	1	2
166	или по	1	2
167	этот период	1	2
168	о котором	1	2
169	и перед	1	2
170	в эту	2	2
171	только что	1	2
172	в свою	2	2
173	в процессе	1	2
174	из этого	1	2
175	жизни и	1	2
176	все что	1	2
177	себя как	1	1
178	как известно	1	1
179	от этой	1	1
180	к людям	1	1
181	вряд ли	1	1
182	можно говорить	1	1
183	за тем	1	1
184	этого в	1	1
185	речь идет	3	1
186	в этот	3	1
187	начинается с	1	1
188	а между	1	1
189	это и	1	1
190	и есть	1	1
191	и этот	1	1
192	той же	1	1
193	их и	1	1
194	далее в	1	1
195	что уже	1	1
196	именно к	1	1
197	он как	1	1
198	совпадает с	1	1
199	не совсем	1	1
200	в ней	4	1
201	а другие	1	1
202	на них	1	1
203	за это	1	1
204	в чем	3	1
205	а следовательно	1	1
206	своей души	1	1
207	в сторону	1	1
208	к своей	1	1
209	что они	1	1
210	себя в	1	1
211	даже некоторые	1	1
212	как по	1	1
213	идет о	1	1
214	как в	1	1
215	некоторое время	1	1
216	как к	1	1
217	предстоит еще	1	1
218	себе не	1	1
219	и отчасти	1	1
220	то в	1	1
221	не был	1	1
222	то время	1	1
223	что к	2	1
224	отцов и	4	1
225	время и	2	1
226	в нашей	2	1
227	всех этих	1	1
228	человека в	3	1
229	том же	2	1
230	в одну	2	1
231	говорить не	1	1
232	его в	3	1
233	это было	1	1
234	заключается в	1	1
235	было в	1	1
236	это не	4	1
237	было бы	1	1
238	и разрыв	1	1
239	в жизни	1	1
240	из первых	1	1
241	соответствии с	1	1
242	как и	6	1
243	во внимание	1	1
244	которой не	1	1
245	ни с	1	1
246	восходят к	1	1
247	не противоречат	1	1
248	и чувств	1	1
249	одного и	1	1
250	под руку	1	1
251	или вообще	1	1
252	эта была	1	1
253	в своей	2	1
254	никто не	1	1
255	в их	1	1
256	человеком и	1	1
257	место в	2	1
258	он тоже	2	1
259	одном из	1	1
260	по всем	1	1
261	их в	2	1
262	не могли	1	1
263	однако в	1	1
264	для россии	1	1
265	на первое	1	1
266	всех их	1	1
267	на три	1	1
268	но они	1	1
269	того как	1	1
270	над тем	1	1
271	в уме	1	1
272	следовательно и	1	1
273	ничего не	1	1
274	за исключением	1	1
275	другой стороны	1	1
276	это слово	1	1
277	видную роль	1	1
278	никуда не	1	1
279	эту сторону	1	1
280	в каком	1	1
281	и далее	2	1
282	и дал	1	1
283	могут быть	1	1
284	сама жизнь	1	1
285	этого и	1	1
286	не есть	1	1
287	на это	2	1
288	бесы в	2	1
289	с ее	1	1
290	и образ	1	1
291	свою очередь	1	1
292	в ее	1	1
293	роль в	1	1
294	пробел в	1	1
295	к смерти	1	1
296	котором он	1	1
297	живет в	1	1
298	нужно было	1	1
299	чем у	1	1
300	в оскорблении	1	1
301	том как	1	1
302	он сам	2	1
303	с ним	4	1
304	не стоит	1	1
305	и во	3	1
306	все в	1	1
307	между нами	1	1
308	и лишь	1	1
309	личные отношения	2	1
310	во всей	1	1
311	в ту	1	1
312	встречается лишь	1	1
313	живущее в	1	1
314	людей а	1	1
315	совсем не	1	1
316	которым он	1	1
317	друг друга	1	1
318	в разные	1	1
