N	3gram	Vygotskiy__1	Sotsiolo
1	в том что	9	2
2	дело не в	1	2
3	в конце концов	3	2
4	не в том	5	2
5	заключаться только в	1	1
6	этих вопросов в	1	1
7	это и есть	1	1
8	в настоящее время	2	1
9	в том и	2	1
10	и в этом	1	1
11	не может не	1	1
12	только то что	1	1
13	это зависит от	1	1
14	то что в	1	1
15	то же самое	2	1
16	сама по себе	2	1
17	в конечном счете	3	1
18	благодаря тому что	2	1
19	не было бы	2	1
20	по самому существу	3	1
21	в этой области	1	1
22	выходит за пределы	1	1
23	но как и	1	1
24	в результате его	2	1
25	в связи с	1	1
26	а в том	2	1
27	зависит от окружающих	1	1
28	с одной стороны	5	1
29	во всяком случае	6	1
