N	2gram	Tiupa_Vved_1	IolandNe
1	и с	2	3
2	должен быть	1	2
3	и не	12	2
4	в этом	21	2
5	он не	3	2
6	что в	3	2
7	себя в	1	1
8	все это	1	1
9	автора и	1	1
10	и др	1	1
11	и тот	1	1
12	и в	13	1
13	только что	1	1
14	и о	1	1
15	из мертвого	1	1
16	то и	2	1
17	них не	1	1
18	то она	1	1
19	бы в	3	1
20	стало быть	7	1
21	того же	1	1
22	с другой	5	1
23	и та	1	1
24	а в	6	1
25	вплоть до	1	1
26	того что	6	1
27	в художественном	1	1
28	о жизни	2	1
29	своего исследования	1	1
30	все тех	1	1
31	как о	2	1
32	на котором	1	1
33	а с	2	1
34	другой стороны	2	1
35	оказывается для	1	1
36	и еще	1	1
37	не так	1	1
38	для него	3	1
39	а также	8	1
40	нам в	1	1
41	в основе	3	1
42	что для	1	1
43	в значительной	1	1
44	говорить о	2	1
45	могло бы	3	1
46	и сам	1	1
47	есть только	1	1
48	отношению к	7	1
49	так и	8	1
50	того чтобы	1	1
51	никогда не	4	1
52	о ней	4	1
53	жизни и	7	1
54	тех же	1	1
55	тем что	2	1
56	в целом	3	1
57	по поводу	2	1
58	по отношению	7	1
59	введение в	1	1
60	в них	2	1
61	все эти	1	1
62	если бы	7	1
63	не слишком	1	1
