N	3gram	Losev_Dial_3	Sovremen
1	мы не можем	2	6
2	с точки зрения	14	5
3	в зависимости от	2	4
4	не может быть	6	4
5	тем не менее	10	2
6	во всяком случае	2	2
7	то же самое	1	2
8	такой же мере	1	1
9	что иное как	6	1
10	и в этом	2	1
11	и есть то	1	1
12	одной стороны и	1	1
13	по крайней мере	5	1
14	не могут быть	2	1
15	в такой же	1	1
16	не в том	1	1
17	в связи с	1	1
18	но только не	1	1
19	ровно ничего не	3	1
20	одна и та	1	1
21	на самом деле	1	1
22	и той же	1	1
23	когда мы говорим	1	1
24	так же как	2	1
25	у нас есть	1	1
26	и ни в	1	1
27	до сих пор	1	1
28	и во всех	1	1
29	то же время	1	1
30	тот или иной	2	1
31	и в то	1	1
32	живое от неживого	1	1
33	только одна из	1	1
34	сами по себе	3	1
35	со всеми ее	1	1
36	есть не что	3	1
37	ли оно вообще	1	1
38	друг на друга	1	1
39	что в ней	1	1
40	бы то ни	1	1
41	и та же	1	1
42	и по его	1	1
43	но они не	2	1
44	это значит что	21	1
45	может находиться в	1	1
46	в конечном счете	1	1
47	значит что она	1	1
48	в науке и	1	1
49	но все эти	1	1
50	и не может	1	1
51	в самом деле	5	1
52	той или иной	2	1
53	и прежде всего	3	1
54	не более как	1	1
55	может быть только	1	1
56	и что она	2	1
57	в то же	1	1
58	из этих двух	1	1
59	одной и той	1	1
60	не что иное	6	1
61	в том что	3	1
62	в данном случае	1	1
63	ничто не может	1	1
64	то ни было	1	1
65	с одной стороны	3	1
66	тот факт что	1	1
