N	3gram	Potebnia_M_3	SlovoVZh
1	по отношению к	5	11
2	не может быть	3	7
3	можно сказать что	2	5
4	в том что	16	4
5	тем не менее	3	3
6	до сих пор	3	3
7	в художественном произведении	1	3
8	и то же	5	2
9	зависит от того	2	2
10	на самом деле	1	2
11	с другой стороны	4	2
12	то же самое	1	2
13	одной стороны и	1	2
14	художественного произведения и	1	2
15	но тем не	2	2
16	с этой стороны	2	2
17	одно и то	5	2
18	в данном случае	1	2
19	формы и содержания	1	2
20	с одной стороны	3	2
21	того о ком	1	1
22	не нуждаются в	1	1
23	и в поэзии	1	1
24	один и тот	1	1
25	а между тем	2	1
26	если бы даже	1	1
27	в чем не	1	1
28	слово есть выражение	1	1
29	к содержанию как	1	1
30	бы оно ни	1	1
31	то время как	1	1
32	одним и тем	3	1
33	более или менее	3	1
34	мы уже сказали	1	1
35	одна и та	1	1
36	в самом деле	1	1
37	то что оно	1	1
38	нам кажется что	1	1
39	самом деле в	1	1
40	по себе не	1	1
41	одной точки зрения	1	1
42	и таким образом	1	1
43	в то время	4	1
44	к нему как	2	1
45	так относится к	1	1
46	искусства может быть	1	1
47	если бы слово	1	1
48	равно как и	1	1
49	сам по себе	5	1
50	и проч и	1	1
51	сами по себе	1	1
52	то что мы	2	1
53	как на нечто	1	1
54	в свою очередь	3	1
55	но и в	4	1
56	и та же	1	1
57	о том что	1	1
58	но все это	1	1
59	только то что	1	1
60	ничего общего с	1	1
61	в этом отношении	2	1
62	что не только	1	1
63	тогда когда он	1	1
64	же нам не	1	1
65	то что я	2	1
66	может находиться в	1	1
67	связь слова с	1	1
68	в поэтическом произведении	1	1
69	то же время	5	1
70	подобно тому как	2	1
71	как мы уже	1	1
72	не может стать	1	1
73	даже тогда когда	1	1
74	в противном случае	1	1
75	мы видели в	1	1
76	со всех сторон	1	1
77	может быть только	3	1
78	по крайней мере	5	1
79	в то же	5	1
80	точек зрения и	1	1
81	словах и в	1	1
82	слова и его	1	1
83	сама по себе	2	1
84	связи с ним	1	1
85	с такою же	1	1
86	для нас не	1	1
87	как и в	2	1
88	далеко не всегда	1	1
89	и тем же	3	1
90	к тому же	1	1
91	к вопросу о	1	1
92	в том же	2	1
93	если бы эта	1	1
94	и тот же	1	1
