N	2gram	Voloshinov_1	FransuaR
1	и в	12	56
2	то есть	1	24
3	в его	2	18
4	таким образом	12	17
5	все эти	3	15
6	в этом	4	14
7	так и	4	13
8	в том	6	13
9	и его	13	12
10	в то	2	12
11	как бы	13	11
12	и т.п	1	11
13	то же	5	11
14	в этих	2	11
15	в них	3	11
16	до конца	2	11
17	еще не	3	10
18	же время	1	10
19	мы уже	1	10
20	в самом	4	9
21	но и	3	9
22	и не	10	9
23	только в	6	9
24	и с	3	8
25	и их	1	8
26	сих пор	3	8
27	в нем	6	8
28	до сих	3	8
29	не только	4	8
30	и др	5	8
31	во всех	1	8
32	все это	3	8
33	том что	5	8
34	в большинстве	1	7
35	у него	1	7
36	и на	4	7
37	в частности	1	7
38	как мы	1	7
39	прежде всего	8	6
40	связи с	1	6
41	вовсе не	1	6
42	и все	2	6
43	точки зрения	14	6
44	в ее	1	6
45	но в	5	6
46	все они	2	6
47	как и	5	5
48	но не	2	5
49	не было	1	5
50	в условиях	2	5
51	и другие	2	5
52	что в	2	5
53	мы видели	1	5
54	никогда не	5	5
55	такой же	2	5
56	они не	1	5
57	с ее	1	5
58	в отношении	2	5
59	в творчестве	3	5
60	в процессе	6	5
61	в результате	1	5
62	он не	2	5
63	с его	2	5
64	в области	1	5
65	в пределах	3	5
66	в себе	3	4
67	и явлениями	1	4
68	при этом	6	4
69	и ее	3	4
70	и которые	1	4
71	что это	1	4
72	того чтобы	1	4
73	с одной	2	4
74	по своей	1	4
75	например в	1	4
76	в качестве	1	4
77	вещи и	2	4
78	и потому	2	4
79	в основе	1	4
80	что все	1	4
81	в особенности	2	4
82	за пределы	4	4
83	и к	4	4
84	о том	3	4
85	в ней	6	4
86	конечно не	3	4
87	ту же	1	4
88	так как	9	4
89	и более	3	4
90	и здесь	2	3
91	в форме	2	3
92	в другом	1	3
93	в литературе	4	3
94	и самый	1	3
95	как например	1	3
96	кроме того	2	3
97	рядом с	1	3
98	связь с	2	3
99	на эту	1	3
100	настоящее время	2	3
101	не в	4	3
102	с помощью	6	3
103	к которому	1	3
104	там где	2	3
105	как форма	2	3
106	в некоторых	3	3
107	более того	2	3
108	его к	2	3
109	здесь мы	1	3
110	между тем	3	3
111	что для	1	3
112	то что	5	3
113	и наконец	3	3
114	к его	2	3
115	не на	1	3
116	слов и	1	3
117	и о	1	3
118	сливаются в	1	3
119	характер и	1	3
120	на них	1	3
121	уже не	4	3
122	явлениями и	1	3
123	в настоящее	2	3
124	его творчество	1	3
125	что и	2	3
126	слова и	6	3
127	и почти	1	3
128	вещами и	1	3
129	может быть	14	3
130	сказать что	7	3
131	перед нами	1	3
132	в своем	2	3
133	точек зрения	3	2
134	момент в	1	2
135	и совершенно	2	2
136	нем и	1	2
137	весь этот	1	2
138	в значительной	1	2
139	второй план	1	2
140	и явления	1	2
141	данном случае	2	2
142	от всех	2	2
143	можно сказать	5	2
144	знания и	1	2
145	бы то	3	2
146	что они	1	2
147	значение и	1	2
148	не может	16	2
149	так же	3	2
150	то время	1	2
151	и для	3	2
152	из нее	1	2
153	ни было	4	2
154	в виде	1	2
155	к нему	4	2
156	и во	1	2
157	мы не	3	2
158	в своей	3	2
159	и те	2	2
160	только на	3	2
161	в нашем	11	2
162	его в	4	2
163	себя на	1	2
164	его как	2	2
165	все же	4	2
166	вместе с	2	2
167	с ним	3	2
168	было бы	1	2
169	зрения на	1	2
170	с этой	2	2
171	и некоторые	1	2
172	для него	3	2
173	между ними	2	2
174	конечно в	2	2
175	культуры в	1	2
176	на самом	4	2
177	это не	2	2
178	хотя и	1	2
179	с точки	2	2
180	между людьми	1	2
181	то ни	3	2
182	дело в	4	2
183	говорит о	1	2
184	отражение в	1	2
185	ни в	3	2
186	к ним	2	2
187	в слове	1	2
188	как к	3	2
189	и стиль	1	2
190	или менее	1	2
191	себе и	1	2
192	если бы	9	2
193	одной стороны	2	2
194	другой стороны	2	2
195	в котором	3	2
196	по преимуществу	1	2
197	события и	1	2
198	в одном	1	2
199	языка в	1	2
200	подчеркнем еще	1	2
201	далеко не	1	2
202	с такою	1	2
203	все остальные	1	2
204	не как	1	2
205	несмотря на	1	2
206	с другой	4	2
207	отметить что	1	2
208	в каком	3	2
209	нашей работы	1	2
210	самом деле	3	2
211	а не	5	2
212	них и	1	2
213	к этому	2	2
214	что она	1	2
215	и то	2	2
216	точка зрения	3	2
217	уже в	2	2
218	этих форм	1	2
219	когда он	3	2
220	еще один	1	2
221	и эта	1	2
222	более или	1	2
223	является и	1	2
224	но это	2	2
225	в данном	2	2
226	и из	1	1
227	собою разумеющееся	1	1
228	и целых	1	1
229	может и	1	1
230	какой бы	1	1
231	такою же	1	1
232	каждое слово	1	1
233	не знает	1	1
234	смысл и	2	1
235	для нас	7	1
236	и обратно	1	1
237	во времени	1	1
238	и вот	1	1
239	самом же	1	1
240	бы оно	2	1
241	ситуации и	1	1
242	место в	2	1
243	друг к	1	1
244	и оно	1	1
245	нужно подчеркнуть	1	1
246	ни была	1	1
247	жизни и	4	1
248	и сейчас	1	1
249	и тем	1	1
250	можно наблюдать	1	1
251	слова как	1	1
252	но конечно	2	1
253	как на	2	1
254	интересное явление	1	1
255	в эти	1	1
256	отношению к	11	1
257	не к	3	1
258	время как	1	1
259	и является	4	1
260	существенный момент	1	1
261	но при	1	1
262	и являются	1	1
263	выходит за	1	1
264	к другим	1	1
265	современную ему	1	1
266	эпохи но	1	1
267	же мы	1	1
268	не стремится	1	1
269	яркое выражение	1	1
270	то он	1	1
271	имеет и	1	1
272	и так	2	1
273	было в	1	1
274	как нечто	1	1
275	и вообще	3	1
276	но мы	2	1
277	обстоит дело	1	1
278	независимо от	2	1
279	его и	1	1
280	включает в	1	1
281	оценки и	2	1
282	себя в	1	1
283	в поэтике	1	1
284	та же	1	1
285	от него	1	1
286	только то	1	1
287	это как	3	1
288	там же	1	1
289	пор мы	1	1
290	почти полностью	1	1
291	и внешней	1	1
292	как его	1	1
293	которой он	1	1
294	и он	1	1
295	те же	2	1
296	выражение и	2	1
297	или иным	1	1
298	одно из	1	1
299	стороны и	2	1
300	до известной	2	1
301	на протяжении	1	1
302	ее нет	1	1
303	быть только	2	1
304	др и	1	1
305	или даже	1	1
306	не можем	1	1
307	понять и	1	1
308	им в	1	1
309	деле и	1	1
310	же не	1	1
311	и только	1	1
312	нами выше	1	1
313	на что	1	1
314	классической и	1	1
315	между собой	2	1
316	большинстве своем	1	1
317	это уже	1	1
318	этом смысле	1	1
319	слова но	2	1
320	этих моментов	1	1
321	в приведенном	1	1
322	и притом	2	1
323	того что	3	1
324	из него	2	1
325	и оценки	2	1
326	они пытаются	1	1
327	мы еще	1	1
328	дело с	2	1
329	политической жизни	1	1
330	в формах	2	1
331	кажется что	1	1
332	в себя	2	1
333	неразрывное единство	1	1
334	его структуру	1	1
335	связанных с	1	1
336	это только	1	1
337	по другому	1	1
338	богатым и	1	1
339	к тому	1	1
340	и веселых	1	1
341	его значение	1	1
342	природой и	1	1
343	еще более	1	1
344	к вопросу	1	1
345	в рамки	1	1
346	какая бы	1	1
347	и мир	1	1
348	и значение	2	1
349	значение их	1	1
350	в стиле	1	1
351	на все	2	1
352	утрачивают свой	1	1
353	по отношению	11	1
354	и прежде	1	1
355	к одной	1	1
356	которые в	1	1
357	она должна	1	1
358	в современной	1	1
359	и вещами	1	1
360	как в	5	1
361	само собою	1	1
362	но этот	2	1
363	поскольку мы	1	1
364	но самый	1	1
365	из этого	3	1
366	степень его	1	1
367	самая структура	1	1
368	слово здесь	1	1
369	нет ничего	2	1
370	же самое	2	1
371	тогда когда	2	1
372	только как	1	1
373	с другими	2	1
374	если этот	1	1
375	опираться на	1	1
376	близка к	1	1
377	лицо и	1	1
378	вошли в	1	1
379	подхода к	1	1
380	тот же	1	1
381	и всего	1	1
382	здесь не	3	1
383	в чем	2	1
384	частности в	1	1
385	говорить и	1	1
386	во многих	1	1
387	тем же	1	1
388	тому же	2	1
389	автора и	2	1
390	человеческого тела	1	1
391	тесную связь	2	1
392	подчеркнуть что	2	1
393	в одной	1	1
394	мы в	2	1
395	именно и	1	1
396	характерны для	1	1
397	имеет место	2	1
398	он употребляет	1	1
399	и она	1	1
400	свое влияние	1	1
401	а с	1	1
402	разумеется эта	1	1
403	с жизнью	1	1
404	к которой	1	1
405	в пространстве	1	1
406	путем анализа	1	1
407	оно ни	1	1
408	она имеет	1	1
409	к другу	1	1
410	так можно	1	1
411	по мнению	1	1
412	автора к	1	1
413	только и	1	1
414	она могла	1	1
415	и грамматических	1	1
416	возникает из	1	1
417	не всегда	1	1
418	для этого	1	1
419	к пониманию	1	1
420	равно как	1	1
421	здесь на	1	1
422	того в	1	1
423	слово это	2	1
424	предметы и	1	1
425	точку зрения	2	1
426	и та	2	1
427	не нужно	1	1
428	нельзя было	1	1
429	могут быть	2	1
430	том же	1	1
431	именно в	1	1
432	показать что	1	1
433	чтобы не	1	1
434	этом отношении	1	1
435	в новой	1	1
436	не могут	1	1
437	оставаясь в	1	1
438	в неразрывное	1	1
439	где они	1	1
440	мы можем	2	1
441	высшую степень	1	1
442	и что	2	1
443	этот третий	1	1
444	но тот	1	1
445	для их	1	1
446	и дает	2	1
447	есть уже	2	1
448	нечто само	2	1
449	в науке	1	1
450	еще раз	2	1
451	явления в	1	1
452	на другие	1	1
453	в лице	1	1
454	не исчерпывает	1	1
455	же деле	1	1
456	ближайшего жизненного	1	1
457	что всякий	1	1
458	связь слова	1	1
459	непосредственно в	1	1
460	быть и	3	1
461	оценок это	1	1
462	тем более	1	1
463	влияние на	2	1
464	литературы и	4	1
465	именно такой	1	1
466	для других	2	1
467	самого начала	1	1
468	героев и	2	1
469	самое слово	2	1
470	подобно тому	1	1
471	стиля и	1	1
472	и иных	1	1
473	известной степени	2	1
474	с самого	1	1
475	так называемый	1	1
476	если же	2	1
477	если оно	1	1
478	со своею	1	1
479	и вся	1	1
480	важное значение	1	1
481	бы мы	3	1
482	не бывает	1	1
483	речи в	2	1
484	два человека	1	1
485	не из	1	1
486	они действительно	1	1
487	предметами и	1	1
488	жизнью и	2	1
489	все более	1	1
490	со смеющимся	2	1
491	время не	1	1
492	чтобы вскрыть	1	1
493	что оно	1	1
494	и это	1	1
495	как будто	1	1
496	и точность	1	1
497	тому как	1	1
498	жизни за	1	1
499	слово в	3	1
500	сливается с	2	1
501	в виду	5	1
502	он как	1	1
503	образом к	1	1
504	обратимся к	1	1
505	к кому	1	1
506	можно было	1	1
507	все в	1	1
508	и тогда	1	1
509	участие в	1	1
510	к одному	1	1
511	другая сторона	1	1
512	является в	1	1
513	приближается к	1	1
514	всей его	1	1
515	но если	1	1
516	все элементы	1	1
517	уже сказали	1	1
518	и такой	1	1
