N	3gram	Tiupa_Hudo_1	EvropaiE
1	с точки зрения	3	16
2	в то же	8	15
3	то же время	8	14
4	и в то	1	8
5	с одной стороны	1	8
6	одной стороны и	1	6
7	в том что	6	6
8	как нам кажется	1	5
9	с этой точки	1	5
10	этой точки зрения	1	5
11	не только в	2	4
12	и в этом	1	4
13	того или иного	2	4
14	в этом смысле	1	3
15	же как и	1	3
16	в этом отношении	3	3
17	можно было бы	4	3
18	ту или иную	2	3
19	друг с другом	1	3
20	во всяком случае	1	3
21	между тем в	1	3
22	заключает в себе	1	3
23	прежде всего в	1	2
24	а тем более	1	2
25	только в том	2	2
26	к тому чтобы	1	2
27	в данном случае	1	2
28	но в то	3	2
29	по нашему мнению	1	2
30	так и в	1	2
31	не может быть	2	2
32	в свою очередь	1	2
33	на то что	2	2
34	друг от друга	1	2
35	во второй половине	2	2
36	не может не	1	1
37	более или менее	1	1
38	что для него	1	1
39	наше внимание на	1	1
40	действительности как и	1	1
41	что же касается	2	1
42	гораздо большей степени	1	1
43	несмотря на то	1	1
44	в одной из	1	1
45	и то и	1	1
46	том случае если	1	1
47	то и другое	2	1
48	а также в	1	1
49	в отличие от	1	1
50	и та же	1	1
51	с тем что	1	1
52	в гораздо большей	1	1
53	в своем духовном	1	1
54	личности именно в	1	1
55	точки зрения развития	1	1
56	на тех кто	2	1
57	не сводится к	1	1
58	в значительной степени	2	1
59	а также и	1	1
60	стороне от основного	1	1
61	в своем прошлом	1	1
62	в том случае	1	1
63	в связи с	3	1
64	по преимуществу и	1	1
65	же время не	1	1
66	одна и та	1	1
67	большей степени чем	1	1
68	вместо того чтобы	2	1
69	в стороне от	1	1
70	только в качестве	1	1
71	не означает что	1	1
72	та или иная	3	1
73	связи с этим	2	1
74	именно к этой	1	1
75	но и для	1	1
76	к концу xix	1	1
77	речь идет о	2	1
78	к тому что	4	1
79	в том смысле	1	1
80	так и по	1	1
81	во многих отношениях	1	1
82	на то чтобы	2	1
83	так обстояло дело	1	1
84	и т д	3	1
