N	2gram	Potebnia_M_4	Otkroven
1	о человеке	3	29
2	у него	1	22
3	человеческой природы	2	20
4	и в	23	19
5	но и	11	13
6	и не	18	13
7	в этом	23	12
8	человека в	2	11
9	не в	11	11
10	не только	10	11
11	может быть	26	11
12	а не	12	11
13	человека и	3	10
14	вопрос о	2	10
15	в нем	7	10
16	и все	4	10
17	в самой	2	9
18	прежде всего	1	9
19	к человеку	1	9
20	не было	12	9
21	в человеке	1	9
22	никогда не	3	9
23	потому что	33	9
24	в его	5	7
25	человек не	2	7
26	он не	2	7
27	лишь в	3	7
28	нет ничего	3	7
29	но он	1	7
30	от него	2	7
31	человеческой души	1	6
32	как и	14	6
33	все это	5	6
34	до самого	1	5
35	отношение к	2	5
36	в том	23	5
37	в самом	3	5
38	в этой	1	5
39	для него	5	5
40	а в	5	5
41	то что	29	5
42	человеку и	1	5
43	он сам	1	4
44	все в	2	4
45	все эти	3	4
46	что не	6	4
47	не может	11	4
48	того чтобы	4	4
49	человек и	1	4
50	есть лишь	2	4
51	и мысли	2	4
52	и его	2	4
53	всегда есть	1	4
54	что в	17	4
55	и есть	3	3
56	быть может	4	3
57	о том	8	3
58	еще не	3	3
59	кроме человека	1	3
60	к нему	5	3
61	было бы	8	3
62	того что	14	3
63	что он	4	3
64	в себе	14	3
65	о природе	1	3
66	человеческого духа	6	3
67	не могут	2	3
68	для того	6	3
69	это было	2	3
70	что человек	3	3
71	это не	7	3
72	только одно	1	3
73	никто не	2	3
74	мысли и	7	3
75	природы но	1	3
76	могут быть	7	3
77	как бы	5	3
78	с ним	5	3
79	в этих	3	3
80	хотя бы	4	3
81	в своих	2	3
82	все что	2	3
83	он прежде	1	2
84	и с	4	2
85	и то	5	2
86	в ее	2	2
87	мысль о	6	2
88	что у	3	2
89	так и	6	2
90	его не	1	2
91	и о	4	2
92	по себе	11	2
93	их не	1	2
94	и на	3	2
95	природы и	2	2
96	не все	1	2
97	что и	7	2
98	в истории	4	2
99	в своем	8	2
100	и нет	1	2
101	все же	1	2
102	и к	6	2
103	и потому	10	2
104	должен был	1	2
105	в которой	6	2
106	он в	1	2
107	так что	5	2
108	ничего и	1	2
109	уже в	5	2
110	в единстве	1	2
111	в душе	1	2
112	одно из	1	2
113	же это	1	2
114	так как	14	2
115	и никогда	1	2
116	тем что	10	2
117	в других	2	2
118	даже и	3	2
119	в другом	1	2
120	и из	3	2
121	его в	4	2
122	человека а	2	2
123	в положительной	1	2
124	сказать что	8	2
125	с тем	7	2
126	было для	1	2
127	чем в	2	2
128	для человека	4	2
129	должно быть	5	2
130	том что	12	2
131	что есть	3	2
132	ко всем	3	2
133	и против	1	2
134	что же	5	2
135	человеческая природа	1	2
136	с которой	1	2
137	ничего кроме	1	2
138	не имеет	5	2
139	и для	2	2
140	ничего не	1	2
141	природы в	1	2
142	к ней	2	2
143	не есть	9	2
144	в своей	1	2
145	что все	4	2
146	свободы и	1	2
147	хотя и	5	2
148	ее в	1	2
149	но в	8	2
150	всегда в	1	1
151	обществе и	1	1
152	нет такого	1	1
153	и это	2	1
154	ясно видно	1	1
155	и самое	1	1
156	например в	3	1
157	с образом	1	1
158	от самой	1	1
159	и через	1	1
160	связана с	1	1
161	в виду	3	1
162	сам по	4	1
163	не могу	2	1
164	на самом	3	1
165	науки о	1	1
166	но тем	2	1
167	тем же	1	1
168	к другому	1	1
169	когда человек	4	1
170	лучше сказать	1	1
171	и до	3	1
172	должна быть	1	1
173	и когда	2	1
174	ключа к	1	1
175	можно было	2	1
176	не с	2	1
177	есть не	4	1
178	а человек	1	1
179	им самим	1	1
180	период когда	1	1
181	мы не	8	1
182	том как	1	1
183	ту же	3	1
184	в первый	2	1
185	если бы	13	1
186	в сущности	2	1
187	находится в	5	1
188	не вполне	2	1
189	о нем	1	1
190	а утверждается	1	1
191	себе что	1	1
192	с тою	1	1
193	о границах	1	1
194	в ней	2	1
195	высшая математика	1	1
196	и что	7	1
197	в глаза	1	1
198	необходим для	1	1
199	это потому	2	1
200	не стоит	1	1
201	после того	2	1
202	все его	1	1
203	до сумасшествия	1	1
204	любви к	1	1
205	самом деле	3	1
206	доходит до	1	1
207	которого не	1	1
208	но не	1	1
209	того чтоб	1	1
210	то он	2	1
211	в новом	1	1
212	но нет	2	1
213	иногда и	1	1
214	в форме	1	1
215	чем и	1	1
216	и можно	1	1
217	и чем	2	1
218	вообще и	3	1
219	которой все	1	1
220	и я	2	1
221	с умом	1	1
222	как в	7	1
223	и мир	1	1
224	человек для	1	1
225	друг к	1	1
226	что как	4	1
227	в частности	1	1
228	что нет	1	1
229	один из	2	1
230	мысли не	3	1
231	что только	2	1
232	и как	2	1
233	с ними	3	1
234	духа и	2	1
235	не идет	1	1
236	то в	3	1
237	духа в	1	1
238	бы и	5	1
239	что это	7	1
240	между этими	1	1
241	существует лишь	1	1
242	вопрос об	1	1
243	есть для	5	1
244	не оставляет	1	1
245	себе есть	1	1
246	человека с	1	1
247	думать что	4	1
248	но о	1	1
249	есть уже	4	1
250	только один	1	1
251	чувств и	1	1
252	уже не	3	1
253	говорят о	1	1
254	на то	7	1
255	этой природы	1	1
256	бы ни	2	1
257	что она	2	1
258	и других	3	1
259	да и	4	1
260	из них	1	1
261	но от	1	1
262	есть дело	1	1
263	ничего легче	1	1
264	они в	1	1
265	мыслей в	1	1
266	к одному	3	1
267	в силу	7	1
268	в одном	4	1
269	вовсе не	7	1
270	и сам	1	1
271	не теряет	1	1
272	математика в	1	1
273	мысли как	2	1
274	само по	5	1
275	из него	2	1
276	состоит чтобы	1	1
277	этом отношении	1	1
278	от того	4	1
279	лишь один	2	1
280	в каждом	3	1
281	ни был	3	1
282	том случае	3	1
283	его собственного	1	1
284	и даже	2	1
285	со стороны	3	1
286	к другу	1	1
287	и человека	1	1
288	как у	1	1
289	заключается в	1	1
290	в глазах	2	1
291	а именно	4	1
292	он ни	1	1
293	с той	1	1
294	и прежде	2	1
295	а это	1	1
296	истории и	1	1
297	было и	2	1
298	нет образа	1	1
299	в это	2	1
300	этого она	1	1
301	которой нет	1	1
302	в них	3	1
303	этого слова	7	1
304	она и	2	1
305	а с	1	1
306	может ли	1	1
307	на этот	2	1
308	стремится к	2	1
309	находятся и	1	1
310	всю жизнь	1	1
311	строгом смысле	1	1
312	ведет к	3	1
313	только случай	1	1
314	бога и	1	1
315	в мире	2	1
316	и тогда	1	1
317	под влиянием	1	1
318	в одно	1	1
319	веры а	1	1
320	не так	2	1
321	связь с	1	1
322	начиная с	1	1
323	его как	1	1
324	и без	2	1
325	как это	1	1
326	сам и	1	1
327	в котором	4	1
328	легче как	1	1
329	одним языком	1	1
330	он говорит	1	1
331	ее ни	1	1
332	одном из	2	1
333	смысле этого	1	1
334	мысли есть	4	1
335	это есть	3	1
336	единственная причина	1	1
337	тех которые	2	1
338	образ и	1	1
339	всяком случае	3	1
340	видно что	4	1
341	и более	4	1
342	и менее	1	1
343	а потому	1	1
344	быть не	2	1
345	и формы	1	1
346	в отношении	1	1
347	и здесь	2	1
348	но это	3	1
349	она не	2	1
350	всего для	1	1
351	всего его	1	1
352	мысли в	2	1
353	противоречие и	1	1
354	дело в	1	1
355	того как	6	1
356	на два	1	1
357	в науке	3	1
358	ее с	1	1
359	в процессе	3	1
360	не по	1	1
361	или лучше	2	1
362	связанная с	3	1
363	в нас	3	1
364	не существует	2	1
365	а что	2	1
366	в разных	3	1
367	человечество стремится	1	1
368	том только	1	1
369	к одной	1	1
370	два периода	1	1
371	ее и	1	1
372	что их	1	1
373	но еще	1	1
374	бы в	2	1
375	еще более	2	1
376	быть что	2	1
377	ни к	2	1
378	во всем	1	1
379	свою мысль	2	1
380	творчества но	1	1
381	в сознании	4	1
382	заключает в	8	1
383	отношении к	1	1
384	мысли из	1	1
385	как будто	1	1
386	но есть	4	1
387	не потому	1	1
388	перед ним	1	1
389	лишь по	1	1
390	у нас	2	1
391	и эта	1	1
392	не быть	1	1
393	состоит из	1	1
394	это два	1	1
395	была бы	1	1
396	от всех	1	1
397	но можно	1	1
