N	2gram	Voloshinov_1	Retstnzi
1	не может	8	4
2	и в	16	3
3	в центре	1	2
4	один из	2	2
5	нет и	2	1
6	и можно	1	1
7	себе все	1	1
8	смысл и	1	1
9	лучше всего	1	1
10	и не	4	1
11	вещей и	1	1
12	не только	7	1
13	ни один	1	1
14	связи с	1	1
15	точки зрения	8	1
16	конечно и	1	1
17	но и	4	1
18	не менее	2	1
19	с другими	3	1
20	тех же	3	1
21	в ней	1	1
22	с теми	1	1
23	с точки	6	1
24	и форму	1	1
25	и на	4	1
26	для него	6	1
27	и социальной	1	1
28	мы видим	2	1
29	понятно не	1	1
30	влияния на	1	1
31	к тому	1	1
32	а не	1	1
33	может быть	17	1
34	несмотря на	1	1
35	в его	4	1
36	то же	2	1
37	и все	4	1
38	из этих	2	1
39	можно назвать	2	1
40	если бы	1	1
41	к школе	1	1
