N	2gram	Bakhtin_Fr_2	Analitik
1	не только	17	22
2	и в	49	18
3	как и	11	14
4	так и	6	14
5	в этом	15	14
6	и его	17	13
7	но и	13	13
8	том что	4	12
9	в качестве	2	12
10	и не	15	12
11	в частности	1	12
12	при этом	5	11
13	то есть	32	10
14	а в	4	10
15	как бы	11	10
16	что в	2	9
17	может быть	5	9
18	а не	1	9
19	в том	3	9
20	со своей	1	8
21	с его	5	8
22	своего рода	1	8
23	и даже	2	8
24	по отношению	1	7
25	как раз	1	7
26	в его	18	7
27	с другой	4	7
28	во второй	1	7
29	но не	5	7
30	отношению к	1	7
31	и самого	1	6
32	еще не	2	6
33	в этой	10	6
34	он не	1	6
35	в их	2	6
36	не в	1	6
37	к тому	1	6
38	для него	9	6
39	о том	3	6
40	в начале	5	6
41	того же	1	5
42	той же	1	5
43	мы имеем	1	5
44	в самом	3	5
45	лишь в	4	5
46	в мире	2	5
47	в сущности	8	5
48	что и	1	5
49	в конце	2	5
50	никогда не	5	5
51	и т.п	11	5
52	в свою	1	5
53	прежде всего	19	5
54	не является	1	5
55	такого рода	2	5
56	другой стороны	3	5
57	и на	17	4
58	а и	1	4
59	что он	3	4
60	в своем	5	4
61	и как	1	4
62	что по	1	4
63	и к	4	4
64	таким образом	7	4
65	в итоге	1	4
66	в одном	3	4
67	не менее	1	4
68	в пределах	2	4
69	шекспира и	1	4
70	и сам	1	4
71	можно сказать	2	4
72	не есть	1	4
73	далеко не	3	4
74	о чем	3	4
75	все же	7	4
76	перед нами	1	4
77	здесь и	1	3
78	в целом	1	3
79	уже в	5	3
80	здесь не	2	3
81	что они	2	3
82	как в	1	3
83	что касается	2	3
84	из этих	5	3
85	с их	6	3
86	роль в	5	3
87	ключ к	2	3
88	подобно тому	2	3
89	в году	13	3
90	то же	7	3
91	его в	1	3
92	точки зрения	6	3
93	и без	2	3
94	все это	9	3
95	до известной	1	3
96	в то	6	3
97	только не	1	3
98	ничего не	2	3
99	же время	6	3
100	указывает на	1	3
101	с ее	3	3
102	в ее	3	3
103	в произведении	2	3
104	так в	3	3
105	жизнь и	2	3
106	именно в	6	3
107	было бы	3	3
108	на языке	2	3
109	во всем	3	3
110	этом отношении	3	3
111	в особенности	5	3
112	еще и	1	3
113	что не	1	3
114	не было	4	3
115	не всегда	1	3
116	он и	1	3
117	вступает в	1	3
118	известной степени	1	3
119	по поводу	2	3
120	к этому	1	3
121	отношения к	4	2
122	например в	1	2
123	самом деле	1	2
124	по преимуществу	2	2
125	в литературу	1	2
126	есть не	1	2
127	и он	1	2
128	в ней	2	2
129	во всех	6	2
130	в противовес	1	2
131	со всеми	2	2
132	в общем	1	2
133	это и	2	2
134	как к	2	2
135	и той	1	2
136	но в	4	2
137	в противоположность	2	2
138	все эти	7	2
139	в тех	2	2
140	в себе	4	2
141	не могла	1	2
142	так сказать	1	2
143	на его	2	2
144	в нем	9	2
145	видеть в	2	2
146	и вот	3	2
147	о его	1	2
148	свое время	3	2
149	одной и	1	2
150	и по	1	2
151	значительной степени	2	2
152	могла бы	1	2
153	входит в	1	2
154	это не	1	2
155	в жизни	4	2
156	в них	13	2
157	о которых	1	2
158	с тем	1	2
159	несмотря на	3	2
160	не мог	1	2
161	с точки	5	2
162	внутренняя граница	1	2
163	но они	3	2
164	лично для	1	2
165	даже в	3	2
166	вплоть до	2	2
167	все три	1	2
168	дело в	1	2
169	одна из	4	2
170	как формы	1	2
171	художественной литературы	2	2
172	могут быть	2	2
173	его за	1	2
174	в себя	6	2
175	в дальнейшем	2	2
176	в борьбе	1	2
177	поэтому в	1	2
178	об этом	1	2
179	лицо его	2	2
180	и здесь	1	2
181	и т.д	2	2
182	о своей	1	2
183	в значительной	3	2
184	в форме	4	2
185	один из	7	2
186	только в	13	2
187	который как	1	2
188	и ее	1	2
189	с одной	3	2
190	все они	1	2
191	с нею	1	2
192	в большинстве	1	2
193	с иными	1	2
194	всяком случае	2	2
195	нуждается в	2	2
196	мы можем	2	2
197	тем что	4	2
198	это по	1	2
199	одной стороны	3	2
200	и прежде	2	2
201	в романе	9	2
202	говорит о	1	2
203	одну из	2	2
204	на эту	2	2
205	там где	4	2
206	связь с	3	2
207	не может	7	2
208	о своих	1	2
209	вместе с	2	2
210	и потому	5	2
211	по своему	1	2
212	тому как	2	2
213	да и	3	2
214	и для	1	2
215	картине мира	1	2
216	и от	1	2
217	хотя и	2	2
218	и все	3	2
219	не более	1	2
220	из существеннейших	1	2
221	же в	3	2
222	то что	6	2
223	сказать что	6	2
224	совершенно не	2	2
225	в свое	4	2
226	к числу	2	2
227	во всяком	2	2
228	как известно	2	1
229	говоря о	1	1
230	мире это	1	1
231	человека и	3	1
232	связана с	3	1
233	утверждение что	1	1
234	на самом	2	1
235	и есть	1	1
236	перед лицом	2	1
237	тем же	1	1
238	сказано что	1	1
239	и до	4	1
240	традиции однако	1	1
241	кто бы	1	1
242	с таким	1	1
243	есть на	1	1
244	мы уже	6	1
245	на первом	3	1
246	и момент	1	1
247	с текстом	1	1
248	единство и	1	1
249	время от	1	1
250	я не	1	1
251	мы и	1	1
252	был еще	3	1
253	но напротив	1	1
254	литературой в	1	1
255	проявляется в	1	1
256	он был	2	1
257	на их	1	1
258	время в	1	1
259	как если	1	1
260	мы будем	1	1
261	вступают в	1	1
262	отношение к	8	1
263	должны были	1	1
264	за пределы	2	1
265	один и	1	1
266	в истории	6	1
267	что во	1	1
268	независимо от	1	1
269	первых двух	1	1
270	тех случаях	1	1
271	еще больше	1	1
272	одного текста	1	1
273	с целым	1	1
274	от этого	1	1
275	для которого	3	1
276	сливается с	1	1
277	к чему	1	1
278	та же	2	1
279	и у	1	1
280	вытесненные из	1	1
281	без учета	1	1
282	бы не	1	1
283	всего к	1	1
284	раз в	3	1
285	и тот	1	1
286	на смену	1	1
287	на то	2	1
288	вследствие этого	2	1
289	переодеваниями и	1	1
290	в свет	2	1
291	к миру	1	1
292	же году	1	1
293	и еще	2	1
294	в силу	1	1
295	стороне его	1	1
296	том чтобы	1	1
297	однозначности и	1	1
298	всех своих	1	1
299	его можно	1	1
300	в большой	1	1
301	в нее	1	1
302	могла не	1	1
303	здесь мы	1	1
304	однако все	1	1
305	выходит далеко	1	1
306	к г	1	1
307	а затем	3	1
308	с циклом	1	1
309	в другом	2	1
310	связанных с	3	1
311	а по	1	1
312	большинстве случаев	1	1
313	в художественном	2	1
314	дать ей	1	1
315	он есть	1	1
316	есть и	1	1
317	по мысли	1	1
318	рядом с	6	1
319	в самую	1	1
320	но лишь	1	1
321	мировой литературы	2	1
322	место и	1	1
323	года и	1	1
324	в один	1	1
325	со всей	1	1
326	с еще	1	1
327	всех этих	3	1
328	и становится	2	1
329	в эту	5	1
330	в г	3	1
331	этом случае	1	1
332	в своей	5	1
333	таким же	1	1
334	самый момент	1	1
335	место в	3	1
336	далеки от	1	1
337	времени не	1	1
338	субъективного сознания	1	1
339	теми же	1	1
340	в устах	2	1
341	для этого	1	1
342	он выступает	1	1
343	мог иметь	1	1
344	или иного	1	1
345	же мы	1	1
346	автора и	2	1
347	он как	2	1
348	с ним	4	1
349	как можно	1	1
350	с теми	1	1
351	как о	1	1
352	у него	2	1
353	свободы и	1	1
354	можно судить	1	1
355	с некоторой	1	1
356	того чтобы	2	1
357	к тебе	1	1
358	преимущественно на	1	1
359	у шекспира	1	1
360	прибегать к	1	1
361	потому что	1	1
362	и теперь	1	1
363	с новой	1	1
364	связи с	2	1
365	смысл этой	1	1
366	как я	1	1
367	более серьезную	1	1
368	не столь	1	1
369	достаточно напомнить	1	1
370	не нуждается	1	1
371	не слышит	1	1
372	к однозначности	1	1
373	тему в	1	1
374	и далее	1	1
375	доверие к	1	1
376	к самому	1	1
377	не могут	1	1
378	с полной	3	1
379	служить и	1	1
380	что уже	1	1
381	частной жизни	1	1
382	слова с	1	1
383	отношении он	1	1
384	для себя	1	1
385	литературного творчества	1	1
386	как мы	7	1
387	всех сторон	1	1
388	и о	4	1
389	этого целого	1	1
390	то она	1	1
391	нуждающимся в	1	1
392	для всего	1	1
393	бы действительно	1	1
394	романе в	1	1
395	в средневековой	1	1
396	него самого	1	1
397	культуры и	3	1
398	имею в	1	1
399	в одну	2	1
400	жизни на	1	1
401	особенно в	2	1
402	имени в	1	1
403	ко всему	2	1
404	учение о	2	1
405	на них	1	1
406	с этого	1	1
407	если бы	1	1
408	и внешней	1	1
409	путем перевода	1	1
410	образом в	1	1
411	в самой	2	1
412	одного из	2	1
413	свое произведение	2	1
414	должно было	1	1
415	того или	1	1
416	или как	1	1
417	отметить что	1	1
418	или напротив	1	1
419	во всей	1	1
420	на всех	1	1
421	первых же	1	1
422	статье о	2	1
423	того что	1	1
424	и одновременно	1	1
425	и дело	1	1
426	тот же	5	1
427	одной из	2	1
428	с ними	1	1
429	они могут	1	1
430	литературе и	1	1
431	теперь в	1	1
432	так что	1	1
433	есть в	2	1
434	не становится	1	1
435	литературы в	2	1
436	этом что	1	1
437	бог не	1	1
438	важнейшие события	1	1
439	характерно что	2	1
440	мы знаем	1	1
441	одно из	1	1
442	себе в	2	1
443	и их	1	1
444	слова в	1	1
445	вовсе не	10	1
446	с этими	1	1
447	к ним	1	1
448	не о	1	1
449	лишь к	1	1
450	бы это	1	1
451	для того	1	1
452	до сих	4	1
453	связаны с	2	1
454	обращении к	1	1
455	ее в	2	1
456	и вступает	1	1
457	с мотивом	1	1
458	характерная для	1	1
459	к роману	1	1
460	к которому	1	1
461	веселым и	1	1
462	в предисловии	2	1
463	наконец в	3	1
464	и др	9	1
465	целым рядом	1	1
466	себя и	1	1
467	работы по	1	1
468	превращается в	3	1
469	их можно	1	1
470	на этот	1	1
471	из наиболее	2	1
472	есть лишь	1	1
473	он становится	1	1
474	с помощью	1	1
475	на фоне	2	1
476	кладет начало	1	1
477	в старом	1	1
478	к себе	1	1
479	этого момента	2	1
480	неотделимо от	1	1
481	из которых	1	1
482	литература в	1	1
483	в течение	3	1
484	в литературе	6	1
485	далеко за	1	1
486	пределах одной	2	1
487	говорил об	1	1
488	с этой	1	1
489	затем и	2	1
490	сих пор	4	1
491	принципиальный и	1	1
492	своей жизни	1	1
493	не будем	1	1
494	но это	2	1
495	т.п все	1	1
496	под названием	2	1
497	в книге	3	1
498	это уже	1	1
499	в сферу	1	1
500	случаях когда	1	1
501	в связи	2	1
502	текстов и	1	1
503	как на	4	1
504	а все	1	1
505	ни одного	1	1
506	есть система	1	1
507	и новое	1	1
508	бы в	1	1
509	мы должны	2	1
510	правда не	1	1
511	от всего	1	1
512	хотя бы	1	1
513	будто бы	1	1
514	и позволило	1	1
515	места в	1	1
516	но если	1	1
517	утверждал что	1	1
518	в стихах	1	1
519	жизни в	3	1
520	а о	1	1
521	только как	1	1
522	свободой и	1	1
523	их с	1	1
524	оно не	1	1
525	занимает в	1	1
526	аллюзия на	2	1
527	чем свидетельствует	1	1
528	матери в	1	1
529	жизни и	7	1
530	и другие	2	1
531	в своих	4	1
532	все что	2	1
