N	2gram	Tiupa_Disk_2	Mirosoze
1	может быть	16	30
2	не только	10	29
3	и в	16	28
4	не может	9	28
5	но и	11	25
6	а не	14	25
7	он не	3	24
8	в этом	16	20
9	не было	3	18
10	не в	3	16
11	потому что	4	16
12	в ней	2	15
13	в своей	6	15
14	и есть	1	14
15	он был	1	14
16	никогда не	2	14
17	до конца	1	14
18	человека в	4	13
19	в нем	7	13
20	и это	2	12
21	в самом	1	11
22	для него	5	11
23	и не	15	11
24	в своем	5	10
25	в творчестве	3	10
26	человек не	1	10
27	что в	5	10
28	в мире	11	10
29	прежде всего	7	10
30	что он	2	10
31	и все	3	10
32	достоевского в	1	9
33	и его	3	9
34	не есть	1	9
35	в его	3	9
36	к человеку	1	9
37	человек в	1	9
38	человеке и	1	8
39	в котором	3	8
40	но не	7	8
41	не был	1	7
42	но в	11	7
43	в себе	19	7
44	того что	1	7
45	образ человека	2	7
46	должна быть	2	6
47	и на	5	6
48	он сам	1	6
49	в которой	1	6
50	лишь в	1	6
51	в этой	4	6
52	ведет к	3	6
53	только в	3	6
54	вместе с	2	6
55	все это	2	6
56	в том	8	6
57	это не	3	5
58	как и	16	5
59	не могут	1	5
60	добра и	1	5
61	то что	5	5
62	русской литературы	1	5
63	мира и	4	5
64	и зла	1	5
65	это и	1	4
66	есть не	1	4
67	обращен к	1	4
68	xix века	1	4
69	отношение к	2	4
70	за пределы	1	4
71	чем у	1	4
72	не к	2	4
73	не как	1	4
74	в них	3	4
75	в этих	3	4
76	точки зрения	4	4
77	в которых	1	4
78	к ней	1	4
79	она не	1	4
80	что и	2	4
81	один из	1	4
82	человеческой личности	1	4
83	уже не	3	4
84	а в	2	4
85	тем что	1	4
86	в любви	1	4
87	и там	1	4
88	с этой	1	4
89	на пути	1	4
90	человека не	1	4
91	не знает	3	4
92	его не	1	3
93	не была	1	3
94	не знают	3	3
95	с его	6	3
96	к богу	1	3
97	когда он	1	3
98	и еще	1	3
99	на этом	1	3
100	заключает в	2	3
101	и с	2	3
