N	3gram	Tiupa_Narr_1	VrazhdaK
1	и все же	2	5
2	то же время	4	4
3	в то же	4	4
4	как и у	1	3
5	в связи с	2	3
6	в русской литературе	1	3
7	с точки зрения	1	2
8	как раз в	2	2
9	не может быть	4	2
10	в том что	5	2
11	о себе знать	1	1
12	в е годы	1	1
13	это то что	1	1
14	в ответ на	1	1
15	в соответствии с	4	1
16	что это за	1	1
17	это за человек	1	1
18	до сих пор	2	1
19	и не может	1	1
20	в той же	1	1
21	он и не	1	1
22	в этом отношении	3	1
23	точно так же	1	1
24	как он сам	1	1
25	по крайней мере	1	1
26	и то что	1	1
27	может быть и	1	1
28	и в то	1	1
29	одно и то	2	1
30	войне и мире	2	1
31	едва ли не	1	1
32	и то же	2	1
33	но при этом	1	1
34	в известном смысле	2	1
35	а с другой	1	1
36	что к этому	1	1
37	во всяком случае	2	1
38	что у него	1	1
39	с другой стороны	1	1
40	связи с этим	1	1
41	тем не менее	3	1
42	преступление и наказание	1	1
43	в войне и	2	1
44	в свою очередь	2	1
45	о том что	2	1
46	и в самом	1	1
47	на этот раз	1	1
48	но в этом	1	1
49	между тем это	1	1
50	но и от	2	1
51	на то что	2	1
52	не только от	2	1
53	речь идет о	3	1
