N	3gram	Tiupa_Anal_3	EvropaiC
1	в том что	7	16
2	до сих пор	1	12
3	по отношению к	7	10
4	с точки зрения	2	8
5	а между тем	1	7
6	на самом деле	1	7
7	друг от друга	1	6
8	для того чтобы	1	6
9	в самом деле	1	5
10	лишь в том	1	5
11	в этом случае	1	4
12	к тому же	3	4
13	с другой стороны	5	4
14	не может быть	1	4
15	о том что	5	4
16	тот факт что	1	4
17	тем не менее	2	4
18	и того же	3	3
19	одного и того	3	3
20	в данном случае	3	3
21	так или иначе	1	3
22	в связи с	1	3
23	таким образом в	1	3
24	заключается в том	1	3
25	и может быть	1	2
26	том что он	2	2
27	при этом что	1	2
28	то же время	3	2
29	именно потому что	1	2
30	с одной стороны	2	2
31	а с другой	1	2
32	таким же образом	1	2
33	во всяком случае	2	2
34	что несмотря на	2	2
35	как и в	4	2
36	в свою очередь	4	2
37	в то же	3	2
38	к тому времени	1	1
39	том что при	1	1
40	в чистом виде	1	1
41	хотя и не	1	1
42	мало или вовсе	1	1
43	по соседству с	1	1
44	судя по его	2	1
45	не только по	1	1
46	дело в том	2	1
47	а потому и	1	1
48	не говоря уже	1	1
49	и следует искать	1	1
50	между тем в	1	1
51	говоря уже о	1	1
52	в зависимости от	1	1
53	между тем как	1	1
54	в мире есть	1	1
55	тогда как у	1	1
56	по крайней мере	4	1
57	в противоречие с	1	1
58	но и его	1	1
59	не в том	1	1
60	и еще больше	1	1
61	все что мы	1	1
62	и той же	2	1
63	тогда как сам	1	1
64	ставит его в	1	1
65	в своем поведении	1	1
66	в тех случаях	1	1
67	а в том	2	1
68	и все же	1	1
69	до тех пор	1	1
70	но с другой	1	1
71	как бы ни	1	1
72	главным действующим лицом	1	1
73	состоит лишь в	1	1
74	то есть в	1	1
75	не только не	3	1
76	мысль о том	1	1
77	и приверженностью к	1	1
78	и т.д в	1	1
79	тем более что	1	1
80	тех случаях когда	1	1
81	одной и той	2	1
82	во многих отношениях	1	1
83	в борьбе за	2	1
84	тот или иной	2	1
