N	4gram	Trubetskoy_1	Myshleni
1	заключается в том что	1	4
2	в том числе и	1	3
3	дело в том что	1	1
4	только для того чтобы	1	1
5	тот факт что при	1	1
6	и с точки зрения	1	1
7	по самому своему существу	1	1
8	но на самом деле	1	1
9	указывает на то что	1	1
10	с точки зрения этой	2	1
11	несмотря на то что	1	1
12	в тот или иной	1	1
13	совершенно ином виде чем	1	1
14	и в некоторых других	1	1
15	с точки зрения этих	1	1
16	что с точки зрения	1	1
17	бы то ни было	1	1
18	и более или менее	1	1
19	в том случае если	3	1
20	в совершенно ином виде	1	1
