N	2gram	Potebnia_M_2	KFilosof
1	может быть	23	43
2	в его	2	39
3	в нем	9	31
4	не может	12	27
5	и не	19	26
6	по отношению	2	25
7	и в	24	22
8	в себе	10	21
9	в котором	4	21
10	для меня	4	20
11	не есть	6	19
12	и его	2	17
13	в ее	1	17
14	а не	18	17
15	только в	11	16
16	в этом	8	13
17	и это	2	12
18	но не	12	12
19	ни в	1	12
20	для него	10	12
21	все эти	2	11
22	не в	13	11
23	к нему	1	11
24	во всех	7	10
25	это не	3	10
26	с точки	1	10
27	от себя	2	10
28	все это	2	10
29	из себя	2	10
30	и есть	2	9
31	в их	1	9
32	в целом	3	9
33	для нее	2	9
34	но и	9	9
35	как бы	9	9
36	и для	3	9
37	и все	3	9
38	лишь в	1	8
39	было бы	13	8
40	если бы	11	8
41	со стороны	3	8
42	не было	6	8
43	жизни и	1	8
44	то что	20	7
45	во всем	2	7
46	должен быть	1	7
47	в себя	2	7
48	и здесь	2	7
49	что и	11	7
50	конечно не	1	7
51	в единстве	1	7
52	вовсе не	9	7
53	быть только	2	7
54	отношение к	1	6
55	он не	1	6
56	и только	6	6
57	и действительно	1	6
58	уже не	4	6
59	и их	5	6
60	но это	3	6
61	в том	18	6
62	но как	1	5
63	все же	5	5
64	но в	4	5
65	не только	15	5
66	то же	12	5
67	но все	2	5
68	его в	3	5
69	как и	7	5
70	должно быть	2	5
71	что я	1	5
72	но эта	1	5
73	не имеет	6	5
74	никогда не	4	5
75	для себя	1	5
76	ни одно	1	5
77	с ним	5	5
78	именно в	1	5
79	его как	1	5
80	там где	4	5
81	хотя бы	2	5
82	я могу	1	5
83	быть в	1	4
84	в чем	7	4
85	при этом	13	4
86	время и	2	4
87	не как	3	4
88	бы быть	3	4
89	входит в	1	4
90	место в	4	4
91	бытие как	1	4
92	тем самым	4	4
93	к ним	1	4
94	в каком	3	4
95	с ними	3	4
96	времени и	1	4
97	между тем	6	4
98	могло бы	1	4
99	ни было	3	4
100	в одном	6	4
101	том что	8	4
102	для нас	31	4
103	а в	8	4
