N	4gram	Bakhtin_Pr_1	VeschiIm
1	бы то ни было	2	9
2	не что иное как	1	8
3	есть не что иное	1	5
4	в то же время	3	4
5	и в то же	2	3
6	дело в том что	1	2
7	бы вбирает в себя	1	1
8	какие бы то ни	1	1
9	с одной стороны и	1	1
10	она не могла бы	1	1
11	что бы то ни	1	1
12	вопрос о том как	1	1
13	в данном случае со	1	1
14	о которых идет речь	1	1
15	не есть ли это	1	1
16	в том смысле что	1	1
17	как бы вбирает в	1	1
18	в первом случае мы	1	1
19	но в то же	1	1
20	чего бы то ни	1	1
21	и тем не менее	1	1
22	в то время как	1	1
