N	2gram	Medvedev_V_1	FransuaR
1	и в	2	41
2	и его	1	13
3	в этом	1	12
4	все это	1	11
5	в самом	1	10
6	так как	1	10
7	том что	2	7
8	то же	1	5
9	все то	1	5
10	самом деле	1	4
11	в другом	1	4
12	другом месте	1	4
13	все время	1	4
14	именно в	1	4
15	потому что	1	3
16	только в	1	3
17	и не	1	3
18	но это	1	3
19	в книге	3	3
20	и то	1	2
21	не будем	1	2
22	в значительной	1	2
23	тем более	1	2
24	ведь это	1	2
25	в конце	2	2
26	в частности	1	2
27	в том	2	2
28	в их	1	1
29	хотел сказать	1	1
30	время в	1	1
31	чем больше	1	1
32	говорили в	1	1
33	значительной степени	1	1
34	далеко не	1	1
35	в которых	1	1
36	о теории	1	1
37	в устах	1	1
38	и почти	1	1
39	дело в	1	1
40	сводится в	1	1
41	зависят от	1	1
42	совершенно ясно	1	1
43	ясно что	1	1
44	и т.д	1	1
45	по своим	1	1
46	под влиянием	1	1
47	да и	1	1
48	по существу	1	1
49	в сугубо	1	1
50	конце концов	2	1
51	по поводу	1	1
