N	3gram	Bakhtin_Pr_4	Otkroven
1	у него в	1	5
2	в преступлении и	2	3
3	преступлении и наказании	2	3
4	в романах достоевского	4	3
5	с разных сторон	1	2
6	и в самой	2	2
7	не может быть	8	2
8	как и все	4	2
9	в этом он	1	2
10	но и в	2	2
11	она и не	1	1
12	человека и человеческих	1	1
13	по сравнению с	1	1
14	разных сторон и	1	1
15	хотя и не	2	1
16	им для своих	1	1
17	и мысли и	1	1
18	в строгом смысле	2	1
19	он сам и	1	1
20	в эпоху возрождения	1	1
21	а вовсе не	1	1
22	прежде всего в	1	1
23	есть уже не	1	1
24	в самом деле	4	1
25	как бы в	3	1
26	и человеческих отношений	1	1
27	не было и	1	1
28	произведений достоевского в	1	1
29	между этими двумя	1	1
30	у достоевского он	1	1
31	и не может	7	1
32	во всяком случае	1	1
33	да она и	1	1
34	сам по себе	3	1
35	для своих целей	2	1
36	романов достоевского в	1	1
37	после того как	1	1
38	о том что	2	1
39	себе что он	1	1
40	и там и	1	1
41	и к нему	1	1
42	ивана карамазова в	1	1
43	в том что	2	1
44	самим собой в	1	1
45	и не в	2	1
46	в других романах	1	1
47	он никогда не	1	1
48	уже указывали на	1	1
49	в каждом из	1	1
50	друг с другом	5	1
51	в братьях карамазовых	2	1
52	не приходит в	1	1
53	вместо того чтобы	1	1
54	и все что	1	1
55	преступления и наказания	3	1
56	как и в	3	1
57	всех произведений достоевского	1	1
