N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	54
2	и не	8	27
3	а не	10	26
4	и в	14	24
5	это значит	1	24
6	не только	10	23
7	что такое	4	21
8	по себе	2	20
9	не может	7	19
10	ничего не	2	17
11	и что	1	15
12	что все	2	14
13	то что	7	14
14	в таком	1	14
15	таким образом	2	13
16	что он	2	13
17	может быть	6	13
18	и даже	1	13
19	того что	1	12
20	что же	1	11
21	отнюдь не	1	10
22	не существует	1	10
23	что она	2	9
24	но и	4	9
25	в этом	7	8
26	в виде	1	8
27	прежде всего	8	8
28	что мы	2	8
29	том что	2	8
30	в самом	2	7
31	как и	3	7
32	никогда не	1	7
33	как раз	2	7
34	в виду	1	7
35	но что	1	7
36	даже и	2	7
37	что в	1	7
38	самом деле	2	6
39	должна быть	2	6
40	то же	5	6
41	об этом	1	6
42	и с	2	6
43	превращается в	2	6
44	если бы	2	6
45	что и	2	6
46	и только	5	6
47	о том	1	6
48	даже не	1	6
49	и все	1	6
50	все это	5	6
51	но если	1	6
52	сам по	1	5
53	есть ли	1	5
54	само по	1	5
55	он не	1	5
56	по крайней	2	5
57	так и	1	5
58	было бы	3	5
59	мы не	2	5
60	в том	2	5
61	в то	3	5
62	тогда когда	1	5
63	только в	2	5
64	уже не	1	5
65	одно из	1	5
66	крайней мере	2	5
67	что для	1	5
68	но это	2	5
69	только как	1	5
70	как на	1	5
71	и то	3	4
72	мы и	2	4
73	первый план	1	4
74	нет и	1	4
75	конечно не	4	4
76	это не	3	4
77	на первый	2	4
78	если нет	1	4
79	не могут	2	4
80	и это	1	4
81	о нем	1	4
82	с другой	4	4
83	для него	3	4
84	у нас	3	4
85	ни от	2	4
86	где же	1	4
87	хотя бы	5	4
88	сказать что	1	4
89	из самых	1	3
90	той же	1	3
91	но даже	2	3
92	как таковая	1	3
93	за пределы	1	3
94	в своем	1	3
95	все же	3	3
96	как таковое	1	3
97	тем более	1	3
98	на то	1	3
99	в нем	1	3
100	не значит	1	3
101	он и	1	3
102	должно быть	1	3
103	не в	2	3
104	из которых	1	3
105	она не	1	3
106	же время	3	3
107	есть слово	1	3
108	это было	2	3
109	это же	1	3
110	с одной	1	3
111	то и	1	3
112	тем что	2	3
113	именно как	2	3
114	и прежде	1	3
115	не было	1	3
116	его как	1	3
117	одной стороны	1	3
118	он будет	1	3
119	если не	2	3
120	все что	1	3
121	же как	1	2
122	в частности	3	2
123	в ней	1	2
124	бы то	3	2
125	с его	2	2
126	но не	2	2
127	его на	1	2
128	но в	3	2
129	у тех	1	2
130	бы только	1	2
131	в себе	2	2
132	перестает быть	5	2
133	в понятии	1	2
134	есть конечно	1	2
135	говорить не	1	2
136	этого не	1	2
137	как таковой	2	2
138	в их	4	2
139	их в	1	2
140	что этот	1	2
141	а для	1	2
142	и является	2	2
143	не вполне	1	2
144	фактов и	2	2
145	могут быть	2	2
146	для себя	1	2
147	тут мы	1	2
148	и всякого	1	2
149	для этого	3	2
150	нас в	2	2
151	в его	2	2
152	что угодно	1	2
153	и у	2	2
154	же в	1	2
155	не о	3	2
156	у него	1	2
157	так или	1	2
158	или иначе	1	2
159	только к	3	2
160	и потому	1	2
161	в данном	1	2
162	по существу	2	2
163	быть не	1	2
164	и формы	3	2
165	но для	1	2
166	она должна	1	2
167	тех или	2	2
168	и для	2	2
169	бы в	1	2
170	другой стороны	3	2
171	ее в	1	2
172	в сфере	1	1
173	этом отношении	2	1
174	он может	1	1
175	на одно	1	1
176	как такового	3	1
177	и так	1	1
178	мировоззрения и	1	1
179	выдвигает на	2	1
180	по его	1	1
181	а как	2	1
182	часто бывает	1	1
183	является наиболее	1	1
184	этого термина	2	1
185	столько же	1	1
186	и этого	1	1
187	их взаимоотношении	2	1
188	конечно это	1	1
189	не то	1	1
190	конечном счете	4	1
191	бы равносильно	1	1
192	само же	1	1
193	метод и	1	1
194	независимо от	1	1
195	как таковыми	1	1
196	более или	1	1
197	в этот	1	1
198	не приходится	2	1
199	в которой	1	1
200	и как-то	1	1
201	имеем в	1	1
202	быть оправданы	1	1
203	претендует на	1	1
204	как принцип	2	1
205	мы можем	1	1
206	историзма в	1	1
207	всех этих	2	1
208	кого бы	1	1
209	случае все	1	1
210	ней не	1	1
211	находит себе	1	1
212	или иных	2	1
213	то ни	3	1
214	далеко не	1	1
215	мы имеем	1	1
216	понятий без	1	1
217	место и	1	1
218	о чем	2	1
219	они в	1	1
220	или менее	1	1
221	почти не	1	1
222	в котором	1	1
223	она в	1	1
224	все и	1	1
225	самое что	1	1
226	не как	3	1
227	признать что	1	1
228	но он	1	1
229	друг другу	1	1
230	что было	1	1
231	тому чтобы	1	1
232	и истории	1	1
233	нас самих	1	1
234	принципов и	1	1
235	что с	1	1
236	того как	1	1
237	что ему	1	1
238	сколько и	1	1
239	уж тем	1	1
240	больше чем	1	1
241	не столь	1	1
242	так то	1	1
243	исходить из	1	1
244	восприятия а	1	1
245	же самое	2	1
246	тех кто	1	1
247	как таковым	1	1
248	данном случае	1	1
249	только при	1	1
250	связанных с	1	1
251	строго говоря	1	1
252	в словах	1	1
253	на знание	1	1
254	то есть	1	1
255	вот почему	7	1
256	является предметом	1	1
257	можно сказать	1	1
258	в конечном	4	1
259	все в	1	1
260	бы и	2	1
261	он был	1	1
262	но тут	1	1
263	сюда же	1	1
264	что только	1	1
265	тот же	1	1
266	в качестве	1	1
267	в сторону	2	1
268	вопроса о	2	1
269	химии и	1	1
270	а это	1	1
271	и случилось	1	1
272	или просто	1	1
273	конечно нет	2	1
274	и глубина	1	1
275	из материальных	1	1
276	содержания и	1	1
277	очевидно не	2	1
278	и делает	1	1
279	время на	1	1
280	деле есть	1	1
281	до сих	2	1
282	в некоторых	2	1
283	уже много	1	1
284	цельного и	1	1
285	и служит	1	1
286	одно замечание	1	1
287	относятся к	1	1
288	или по	1	1
289	свой опыт	1	1
290	надо было	2	1
291	в течение	1	1
292	даны не	1	1
293	религии и	1	1
294	и всей	1	1
295	случилось с	1	1
296	сих пор	2	1
297	случае он	1	1
298	объекта и	1	1
299	в точном	1	1
300	о котором	1	1
301	то о	1	1
302	ни было	3	1
303	тезис о	1	1
304	состоит из	1	1
305	определяет собою	1	1
306	материал и	1	1
307	что под	1	1
308	в процессе	1	1
309	и эта	1	1
310	с самим	1	1
