N	2gram	Medvedev_I_1	PoTuStor
1	и в	1	16
2	в этом	2	9
3	и с	3	8
4	к отцу	1	6
5	для него	1	6
6	все эти	1	5
7	только для	1	5
8	художественного творчества	1	4
9	все это	1	4
10	так и	1	4
11	и не	2	4
12	тех же	1	3
13	в основе	1	3
14	его ученики	1	3
15	и др	1	3
16	что в	2	3
17	а в	1	3
18	жизни и	1	3
19	и о	1	2
20	говорить о	1	2
21	того же	1	2
22	он не	2	2
23	в них	1	2
24	никогда не	1	2
25	со всеми	1	2
26	ненависть к	1	2
27	и чрезвычайно	1	1
28	нам в	1	1
29	не слишком	1	1
30	а для	1	1
31	я не	1	1
32	от этого	1	1
33	от нее	1	1
34	это было	1	1
35	этим и	1	1
36	и еще	1	1
37	того чтобы	1	1
38	ничего не	2	1
39	и со	1	1
40	что при	1	1
41	и сам	1	1
42	если бы	1	1
43	о ней	1	1
44	и та	1	1
45	с любым	1	1
46	себя в	1	1
47	то и	1	1
48	не дает	1	1
49	не случайно	1	1
50	для того	1	1
51	с другой	1	1
52	а с	1	1
53	что для	1	1
54	не утверждал	2	1
55	точно и	1	1
56	в эту	1	1
57	только что	1	1
58	по поводу	1	1
