N	2gram	Tiupa_Narr_1	VrazhdaK
1	в году	1	18
2	не только	32	9
3	в этом	17	8
4	и в	19	8
5	достоевского и	1	7
6	но и	23	7
7	и все	2	7
8	то что	11	7
9	что в	3	7
10	все же	7	6
11	но в	6	6
12	в нем	4	6
13	как и	7	6
14	в котором	1	6
15	и с	4	6
16	о нем	4	6
17	в начале	1	6
18	и даже	3	6
19	то же	4	5
20	об этом	1	5
21	в то	3	5
22	же время	4	5
23	между тем	3	5
24	у него	4	5
25	не было	2	5
26	в россии	1	5
27	и не	20	5
28	х годов	1	4
29	в ней	3	4
30	что он	6	4
31	в россию	1	4
32	при этом	9	4
33	это не	2	4
34	несмотря на	2	4
35	в виду	1	4
36	с ним	1	4
37	о том	6	4
38	для нас	1	4
39	уже в	3	4
40	отцов и	1	4
41	может быть	25	4
42	как бы	4	4
43	так же	2	4
44	речь идет	4	3
45	одним из	2	3
46	в чем	1	3
47	с его	6	3
48	в своем	2	3
49	и как	5	3
50	его в	2	3
51	он не	3	3
52	далеко не	5	3
53	и уже	1	3
54	том что	14	3
55	но он	1	3
56	в русской	1	3
57	и его	5	3
58	связи с	4	3
59	человека в	2	3
60	что у	2	3
61	и во	1	3
62	русской литературе	1	3
63	в его	9	3
64	в том	18	3
65	и у	1	3
66	в конце	1	3
67	тем что	3	3
68	в связи	2	3
69	о себе	1	3
70	наряду с	2	3
71	матери и	4	3
72	отношения к	2	2
73	же как	3	2
74	и то	1	2
75	и он	3	2
76	он сам	2	2
77	столь же	3	2
78	но как	2	2
79	ответ на	1	2
80	тогда как	12	2
81	человека с	1	2
82	отнюдь не	5	2
83	в известном	2	2
84	в той	6	2
85	за границей	4	2
86	в этой	5	2
87	в себе	8	2
88	в нашей	1	2
89	их в	1	2
90	таким образом	1	2
91	в мире	9	2
92	в глазах	1	2
93	в них	1	2
94	а с	3	2
95	не мог	4	2
96	на первый	2	2
97	точки зрения	10	2
98	и ее	2	2
99	с точки	2	2
100	место в	1	2
101	людей уже	1	2
102	не менее	3	2
103	том же	1	2
104	одна из	3	2
105	никогда не	3	2
106	к себе	5	2
107	году в	1	2
108	же не	4	2
109	еще не	7	2
110	а также	7	2
111	там же	1	2
112	этот момент	1	2
113	тем более	2	2
114	после смерти	2	2
115	с нею	1	2
116	уже не	5	2
117	из них	3	2
118	его и	1	2
119	для него	2	2
120	отношение к	2	2
121	как раз	2	2
122	и т.п	8	2
123	как же	1	2
124	с которым	1	2
125	о чем	2	2
126	начиная с	1	2
127	деталей и	1	2
128	не может	10	2
129	в него	1	2
130	в это	1	2
131	но это	1	2
132	же в	4	2
133	а в	11	2
134	в свою	3	2
135	широкое распространение	1	1
136	как известно	2	1
137	через месяц	1	1
138	также и	1	1
139	того же	1	1
140	это и	3	1
141	идет о	2	1
142	и есть	1	1
143	ему не	1	1
144	ему что	1	1
145	а от	1	1
146	едва ли	1	1
147	уже по	1	1
148	в их	1	1
149	по его	1	1
150	он как	1	1
151	совпадает с	1	1
152	говорить о	2	1
153	в разные	1	1
154	ему в	2	1
155	а еще	1	1
156	на них	1	1
157	служит для	1	1
158	по своему	1	1
159	как правило	4	1
160	одним словом	1	1
161	совсем не	1	1
162	но не	5	1
163	о смерти	1	1
164	не все	5	1
165	если в	3	1
166	и т.д	7	1
167	говорилось выше	1	1
168	что они	3	1
169	как говорит	3	1
170	первый взгляд	2	1
171	независимо от	2	1
172	как в	7	1
173	дает нам	1	1
174	почувствовал что	1	1
175	как к	2	1
176	что как	1	1
177	как нам	1	1
178	такой детали	1	1
179	и наконец	1	1
180	не являются	2	1
181	себе не	2	1
182	то в	6	1
183	в самом	1	1
184	что это	3	1
185	в целом	1	1
186	рассказ о	1	1
187	тому же	5	1
188	лет тому	1	1
189	не могла	1	1
190	да и	4	1
191	одному из	1	1
192	ключ к	2	1
193	в силу	4	1
194	уже говорилось	1	1
195	эпизоду в	1	1
196	в плане	1	1
197	что ни	1	1
198	однако в	2	1
199	не будет	3	1
200	входя в	1	1
201	это было	1	1
202	было бы	4	1
203	соответствии с	1	1
204	а за	1	1
205	не всегда	2	1
206	он и	1	1
207	в развитии	1	1
208	может идти	1	1
209	старшего брата	1	1
210	одного и	1	1
211	год а	2	1
212	на свою	1	1
213	то было	1	1
214	своего рода	12	1
215	к реальному	1	1
216	тем не	3	1
217	по крайней	1	1
218	второй раз	1	1
219	не могли	1	1
220	что этот	1	1
221	времени а	1	1
222	и какая	1	1
223	вплоть до	2	1
224	тем самым	6	1
225	от нас	1	1
226	это дает	1	1
227	не имеет	2	1
228	писал он	2	1
229	в процессе	1	1
230	было не	1	1
231	как о	1	1
232	умер но	1	1
233	не достает	1	1
234	ничего не	2	1
235	это то	1	1
236	ему было	1	1
237	более что	1	1
238	по своей	3	1
239	потому что	1	1
240	в эпизоде	3	1
241	его живет	1	1
242	этом отношении	3	1
243	ли это	1	1
244	легенда о	1	1
245	могут быть	3	1
246	отличается от	4	1
247	не есть	3	1
248	у себя	1	1
249	с ее	3	1
250	свою очередь	3	1
251	у чехова	1	1
252	в ее	3	1
253	не могло	2	1
254	идет не	1	1
255	роль в	2	1
256	и сам	1	1
257	так и	9	1
258	не с	3	1
259	было в	2	1
260	живет в	1	1
261	во второй	2	1
262	с героем	1	1
263	на большую	1	1
264	быть может	2	1
265	и вообще	1	1
266	иисуса христа	1	1
267	анекдота о	1	1
268	или а	1	1
269	его жизни	2	1
270	до сих	1	1
271	нас в	1	1
272	от поэтики	2	1
273	к нему	5	1
274	во всех	1	1
275	во всей	2	1
276	в форме	5	1
277	крайней мере	1	1
278	тотчас же	1	1
279	вслед за	4	1
280	с характеристикой	1	1
281	не знаю	1	1
282	человека как	1	1
283	если это	1	1
284	в литературе	2	1
285	к которому	2	1
286	этом смысле	1	1
287	один из	3	1
288	день все	1	1
289	тому назад	1	1
290	а тут	1	1
291	он уже	2	1
292	это же	1	1
293	в качестве	21	1
294	себя в	5	1
295	вровень с	1	1
296	самую суть	1	1
297	хотя в	2	1
298	ни с	1	1
299	говорит о	2	1
300	искать в	1	1
301	никто не	1	1
302	не затрагивает	1	1
303	литературу в	1	1
304	каждый из	2	1
305	за человек	1	1
306	однако весьма	1	1
307	он отличается	1	1
308	от того	1	1
309	перед ними	1	1
310	в особенности	4	1
311	из двух	3	1
312	о своей	2	1
313	с другой	8	1
314	именно в	6	1
315	все равно	1	1
316	характерно для	1	1
317	прежде всего	4	1
318	в соответствии	1	1
319	имя которого	2	1
320	в рассказе	4	1
321	одну из	2	1
322	не об	1	1
323	нет ничего	1	1
324	в частности	14	1
325	человека к	1	1
326	я тоже	1	1
327	из которых	4	1
328	может как	1	1
329	персонажа на	1	1
330	это за	1	1
331	того что	1	1
332	в свое	1	1
333	лет назад	1	1
334	еще раз	1	1
335	известном смысле	2	1
336	сих пор	1	1
337	более того	1	1
338	которых он	1	1
339	и от	1	1
340	но на	1	1
341	людьми и	1	1
342	о котором	1	1
343	человек и	1	1
344	хотя и	3	1
345	и перед	1	1
346	в литературной	1	1
347	но зато	1	1
348	позволяет нам	1	1
349	в обоих	2	1
350	нем самом	1	1
351	а о	1	1
352	быть и	1	1
353	другой стороны	4	1
354	только о	2	1
355	героя в	8	1
356	жизни и	3	1
357	который не	1	1
358	во сне	1	1
359	в таком	2	1
360	точно так	2	1
361	они не	2	1
