N	3gram	Medvedev_F_2	UchenyiS
1	не может быть	10	4
2	с другой стороны	3	3
3	то же время	5	3
4	бы то ни	1	3
5	в то же	5	3
6	в этой области	1	3
7	не могут быть	4	2
8	и в этой	2	2
9	в художественном творчестве	1	2
10	формального метода как	1	2
11	в самом деле	5	2
12	но даже и	1	2
13	в этом смысле	2	2
14	до сих пор	1	2
15	в этом отношении	7	2
16	в художественном произведении	1	2
17	в том что	2	2
18	в противном случае	1	2
19	по крайней мере	1	2
20	в конце концов	2	2
21	правило форма создает	1	1
22	о методах изучения	1	1
23	форма создает для	1	1
24	и в конце	1	1
25	и случилось с	1	1
26	мы полагаем что	1	1
27	этом отношении очень	2	1
28	для себя содержание	1	1
29	так или иначе	1	1
30	в большей или	1	1
31	не о методах	1	1
32	о чем рассказывается	1	1
33	или меньшей степени	1	1
34	не в том	3	1
35	для формального метода	1	1
36	все же не	1	1
37	о формальном методе	3	1
38	установку на выражение	1	1
39	более или менее	1	1
40	равно как и	1	1
41	имеем в виду	1	1
42	и конструктивное значение	1	1
43	а как психологические	1	1
44	большей или меньшей	1	1
45	в сторону от	1	1
46	формальном методе и	1	1
47	в этом случае	1	1
48	произведения а как	1	1
49	в широком смысле	1	1
50	литературы а о	1	1
51	слово как таковое	1	1
52	уже не как	1	1
53	на первый план	2	1
54	литературные произведения а	1	1
55	между тем в	1	1
56	и в то	3	1
57	этом отношении статья	1	1
58	сам по себе	3	1
59	в той же	1	1
60	не входит в	2	1
61	метода он становится	1	1
62	он вводит понятие	1	1
63	создает для себя	1	1
64	склонен рассматривать не	1	1
65	является одним из	1	1
66	же время не	1	1
67	не было бы	1	1
68	пишет в шкловский	1	1
69	рассматривать не как	1	1
70	обычное правило форма	1	1
71	с тем что	5	1
72	поэтика должна быть	1	1
73	то о чем	1	1
74	в данное время	1	1
75	и прежде всего	2	1
76	поэтика и лингвистика	1	1
77	методах изучения литературы	1	1
78	не как литературные	1	1
79	мы имеем в	1	1
80	наука о литературе	1	1
81	изучения литературы а	1	1
82	поэтики на лингвистику	2	1
83	истории литературы как	1	1
84	как психологические документы	1	1
85	искусство как прием	2	1
86	формального метода в	2	1
87	к сожалению и	1	1
88	ориентации поэтики на	1	1
89	формального метода не	1	1
90	как литературные произведения	1	1
91	постулирует историческую индивидуальность	1	1
92	в данном случае	1	1
93	вопрос идет не	1	1
94	но в то	1	1
95	тем что он	1	1
96	с одной стороны	1	1
97	на лингвистику в	1	1
