N	2gram	Propp_Isto_6	EvropaiE
1	и в	26	37
2	точки зрения	1	23
3	европы и	1	22
4	что в	12	21
5	не только	10	18
6	в то	5	16
7	то же	5	15
8	в своем	2	14
9	но в	7	14
10	в качестве	3	14
11	но и	9	14
12	и не	10	14
13	в этом	12	12
14	в области	1	11
15	в том	12	11
16	так и	5	10
17	в себе	3	9
18	только в	5	9
19	прежде всего	4	9
20	не может	6	9
21	так же	2	9
22	т е	22	9
23	в ее	1	8
24	было бы	2	8
25	в своей	3	8
26	к тому	2	8
27	между тем	1	8
28	с одной	7	8
29	одной стороны	7	8
30	также и	1	7
31	нам кажется	2	7
32	а также	4	7
33	того что	2	7
34	так как	18	7
35	с другой	10	7
36	как и	5	7
37	между прочим	1	7
38	может быть	11	6
39	и на	12	6
40	во всех	1	6
41	стороны и	2	6
42	на то	2	6
43	то есть	1	6
44	том что	10	6
45	того чтобы	1	6
46	вовсе не	2	6
47	для того	1	6
48	и даже	1	6
49	как бы	4	6
50	с этой	2	6
51	то что	6	6
52	же как	3	5
53	которую мы	1	5
54	но не	2	5
55	не в	3	5
56	и по	4	5
57	но если	1	5
58	тем самым	2	5
59	как мы	4	5
60	одной из	1	5
61	в виде	6	5
62	древнего востока	1	5
63	со стороны	3	5
64	от этого	3	5
65	в частности	3	5
66	как нам	1	5
67	этой точки	1	5
68	мы не	6	4
69	вопрос о	3	4
70	в полной	1	4
71	но даже	1	4
72	в ней	5	4
73	независимо от	3	4
74	того или	1	4
75	не служит	1	4
76	несмотря на	1	4
77	чем в	1	4
78	из числа	1	4
79	даже в	2	4
80	не имеет	2	4
81	к ней	1	4
82	можно сказать	2	4
83	тем более	1	4
84	именно в	1	4
85	как это	5	4
86	для нас	2	4
87	сказать что	3	4
88	идет о	1	3
89	того же	2	3
90	как в	6	3
91	когда он	3	3
92	и к	1	3
93	себе не	1	3
94	представляет собой	2	3
95	северной америке	2	3
96	но на	1	3
97	вообще не	3	3
98	мы можем	7	3
99	страны и	2	3
100	не будет	5	3
101	и тем	4	3
102	в них	3	3
103	с тем	4	3
104	мы видели	11	3
105	и некоторые	2	3
106	она в	2	3
107	в которых	2	3
108	можно ли	1	3
109	никогда не	13	3
110	потому что	13	3
111	уже и	1	3
112	ли это	1	3
113	с другом	1	3
114	бы ни	1	3
115	можно было	2	3
116	приближается к	1	3
117	о том	7	3
118	от них	1	3
119	что и	4	3
120	отметить что	2	3
121	и только	3	3
122	всяком случае	2	3
123	себе в	4	3
124	к ним	1	3
125	тем что	5	3
126	в свою	1	3
127	связано с	4	3
128	там где	5	3
129	в данном	3	3
130	друг с	1	3
131	не является	1	3
132	и для	1	3
133	и от	3	3
134	мира и	2	3
135	обстоит дело	1	3
136	на своем	4	3
137	это так	1	3
138	ее в	6	3
139	как на	3	3
140	в таком	1	3
141	во всяком	2	3
142	и то	3	2
143	мира не	1	2
144	что эти	2	2
145	должна быть	3	2
146	и этот	1	2
147	есть не	1	2
148	что если	1	2
149	именно к	1	2
150	на них	1	2
151	но как	4	2
152	в свои	2	2
153	в истории	1	2
154	более чем	1	2
155	с этим	2	2
156	помнить что	1	2
157	хотя и	1	2
158	целый ряд	2	2
159	и как	2	2
160	есть ли	1	2
161	что это	2	2
162	чем на	1	2
163	в этой	2	2
164	в случае	1	2
165	этот процесс	1	2
166	и если	1	2
167	главным образом	3	2
168	он не	2	2
169	в силу	1	2
170	таким образом	12	2
171	это значит	1	2
172	в мире	1	2
173	и с	6	2
174	все другие	1	2
175	далеко не	3	2
176	нас к	5	2
177	в своих	3	2
178	одна и	1	2
179	такой же	3	2
180	иначе обстоит	1	2
181	в эту	2	2
182	в этих	2	2
183	и сейчас	2	2
184	в котором	1	2
185	представление о	9	2
186	или вернее	1	2
187	и более	1	2
188	только те	1	2
189	тому чтобы	1	2
190	к такой	1	2
191	она не	3	2
192	ними и	1	2
193	вопрос не	3	2
194	по своей	1	2
195	как будто	3	2
196	что на	1	2
197	если этот	1	2
198	не могут	1	2
199	могут быть	3	2
200	случаях когда	3	2
201	утверждать что	2	2
202	данном случае	3	2
203	на месте	1	2
204	наше внимание	1	2
205	если бы	3	2
206	и поэтому	1	2
207	и что	5	2
208	кажется что	2	2
209	к нему	1	2
210	в его	5	2
211	и можно	1	2
212	также в	1	2
213	мы должны	2	2
214	но с	1	2
215	этот вопрос	1	2
216	на восток	1	2
217	есть в	1	2
218	народов не	2	2
219	при помощи	3	2
220	и других	3	2
221	следует отметить	1	2
222	в одном	3	2
223	заметить что	1	2
224	в других	4	2
225	другой и	1	2
226	а именно	9	2
227	в некоторых	2	2
228	на этот	1	2
229	а не	2	2
230	не означает	2	2
231	долгое время	1	2
232	что все	1	2
233	начиная с	1	2
234	вместе с	8	2
235	относятся к	1	2
236	наряду с	3	2
237	что же	2	2
238	в стране	1	2
239	с большой	1	2
240	или в	3	2
241	то не	1	2
242	наблюдения над	1	2
243	но еще	1	2
244	бы в	1	2
245	и наконец	3	2
246	же в	1	2
247	мы видим	5	2
248	а в	3	2
249	не есть	2	2
250	между ними	1	2
251	другой стороны	8	2
252	приводит нас	2	2
253	частности в	1	2
254	жизни и	2	2
255	и эта	3	2
256	в северной	2	2
257	ту же	2	1
258	также что	1	1
259	и т	10	1
260	отдельных случаев	1	1
261	например в	7	1
262	в русских	1	1
263	связана с	3	1
264	в тех	3	1
265	и это	8	1
266	тех же	1	1
267	с природой	1	1
268	и до	2	1
269	речь идет	1	1
270	на западе	2	1
271	или наоборот	1	1
272	что между	4	1
273	большую роль	1	1
274	ответить на	1	1
275	время как	3	1
276	историческое явление	1	1
277	моря в	2	1
278	то это	5	1
279	когда мы	2	1
280	может дать	1	1
281	что его	1	1
282	с его	4	1
283	бы она	1	1
284	то мы	1	1
285	видели что	3	1
286	через некоторое	1	1
287	это вопрос	1	1
288	в китае	4	1
289	по отношению	2	1
290	и земли	1	1
291	тогда как	2	1
292	отличие от	1	1
293	от основного	1	1
294	относится к	2	1
295	которые не	1	1
296	как по	1	1
297	в одной	2	1
298	дает нам	2	1
299	воды и	3	1
300	все же	8	1
