N	2gram	Propp_Russ_1	Mirosoze
1	и в	36	46
2	в нем	2	22
3	у него	2	22
4	может быть	8	21
5	в этом	12	20
6	не только	22	18
7	и не	6	18
8	но и	16	15
9	не может	4	15
10	как и	10	13
11	а не	2	13
12	потому что	10	12
13	и он	1	11
14	не было	2	11
15	в ней	2	11
16	у нас	8	11
17	но в	2	10
18	та же	2	10
19	в себе	1	10
20	он не	1	10
21	он был	2	9
22	не знает	1	9
23	в своем	3	8
24	так как	15	8
25	она не	2	8
26	как бы	5	8
27	но это	4	8
28	как в	5	7
29	и к	3	7
30	в нашем	2	7
31	в этой	1	7
32	и потому	2	7
33	и для	2	7
34	что он	1	7
35	вопрос о	1	6
36	что это	3	6
37	и здесь	2	6
38	в народе	1	6
39	жизнь в	1	6
40	так же	3	6
41	того что	4	6
42	жизни и	1	6
43	по преимуществу	1	5
44	то же	3	5
45	друг к	2	5
46	совсем не	1	5
47	что она	2	5
48	что все	1	5
49	к другу	2	5
50	русский народ	1	5
51	и его	1	5
52	к тому	4	5
53	и это	1	5
54	те же	1	5
55	это не	10	5
56	один из	8	5
57	в его	2	5
58	него нет	1	5
59	то что	6	5
60	тот кто	1	5
61	и все	1	5
62	в духе	1	5
63	также и	1	4
64	жизни это	1	4
65	с его	1	4
66	его на	1	4
67	думать что	3	4
68	чем у	2	4
69	в жизни	2	4
70	нет в	1	4
71	том что	19	4
72	жизнь и	1	4
73	тому что	4	4
74	не имеет	6	4
75	должны быть	1	4
76	они и	2	4
77	что у	2	4
78	так и	7	4
79	на путь	1	4
80	для этого	2	4
81	означает что	2	4
82	народной жизни	1	4
83	в русском	4	4
84	уже не	6	4
85	что и	7	4
86	в свою	3	4
87	они не	1	4
88	до конца	2	4
89	т е	17	4
90	что в	19	4
91	все что	1	4
92	же как	1	3
93	чтобы не	1	3
94	к другому	2	3
95	они были	2	3
96	и на	10	3
97	иное как	2	3
98	в чем	1	3
99	как он	2	3
100	в россии	4	3
101	не бывает	1	3
102	в каждом	2	3
103	и с	2	3
104	на все	2	3
105	его в	1	3
106	на почве	1	3
107	ни в	1	3
108	в них	6	3
109	он же	3	3
110	одна и	1	3
111	что было	1	3
112	любви и	1	3
113	того как	5	3
114	что иное	2	3
115	и всегда	1	3
116	западной европы	3	3
117	только с	1	3
118	себя и	2	3
119	в образе	2	3
120	было в	1	3
121	если бы	1	3
122	с ним	2	3
123	о том	8	3
124	и во	1	3
125	что они	7	3
126	в том	17	3
127	только в	4	3
128	есть в	1	3
129	не так	1	3
130	тем что	4	3
131	от того	1	3
132	к которому	1	3
133	связано с	1	3
134	с которым	1	3
135	не раскрывает	1	3
136	на смену	1	3
137	сказать что	1	3
138	не что	2	3
139	есть и	1	3
140	в своих	2	3
141	который должен	1	2
142	не имеют	1	2
143	с таким	1	2
144	и за	1	2
145	но она	2	2
146	же что	1	2
147	не был	1	2
148	во всех	4	2
149	землю и	1	2
150	по отношению	1	2
151	себе и	1	2
152	хотя и	2	2
153	увидим что	1	2
154	от этого	1	2
155	в которой	1	2
156	и те	3	2
157	этого вопроса	1	2
158	не к	1	2
159	есть один	1	2
160	на этом	3	2
161	с собой	4	2
162	все русские	1	2
163	не всегда	1	2
164	чем в	2	2
165	не будут	1	2
166	в этих	3	2
167	точки зрения	3	2
168	нас не	2	2
169	место в	1	2
170	но эта	1	2
171	которые в	1	2
172	о русском	1	2
173	сам он	1	2
174	что есть	1	2
175	стоит в	2	2
176	у русских	8	2
177	тогда когда	1	2
178	ничего не	3	2
179	к ней	2	2
180	связи с	4	2
181	было не	1	2
182	как будто	5	2
183	не до	1	2
184	в основе	1	2
185	оно не	1	2
186	быть назван	1	2
187	революции в	1	2
188	приходит к	1	2
189	он так	2	2
190	можно было	1	2
191	еще в	4	2
192	быть может	1	2
193	после того	2	2
194	в разных	3	2
195	вот почему	1	2
196	и поэтому	2	2
197	и та	1	2
198	и что	4	2
199	нас в	1	2
200	к нему	1	2
201	чтобы получить	1	2
202	подобно тому	1	2
203	мы видим	2	2
204	тот же	1	2
205	мы увидим	8	2
206	на природу	1	2
207	он уже	1	2
208	между тем	7	2
209	это означает	1	2
210	народа на	1	2
211	одни и	1	2
212	так что	2	2
213	уже в	1	2
214	и других	7	2
215	не о	1	2
216	не случайно	2	2
217	в грядущем	1	2
218	е в	8	2
219	как у	1	2
220	интерес к	2	2
221	мы еще	1	2
222	что не	1	2
223	и своего	1	2
224	не означает	2	2
225	вместе с	10	2
226	тому как	1	2
227	последний день	2	2
228	но для	1	2
229	в более	2	2
230	его с	4	2
231	быть и	2	2
232	а в	9	2
233	к самым	1	2
234	это все	1	2
235	отношению к	1	2
236	говорят о	1	1
237	самом деле	1	1
238	только потому	1	1
239	земле но	1	1
240	другие народы	1	1
241	из самых	1	1
242	должна быть	1	1
243	а совершенно	1	1
244	мы не	6	1
245	что если	1	1
246	еще до	2	1
247	говорить о	1	1
248	и ее	1	1
249	не знают	1	1
250	явление не	1	1
251	вывод что	3	1
252	и этого	1	1
253	и много	1	1
254	на них	1	1
255	а следовательно	1	1
256	не оставляет	1	1
257	значение и	2	1
258	только тогда	1	1
259	не все	1	1
260	если в	3	1
261	христа в	2	1
262	все можно	1	1
263	которые не	3	1
264	с этим	2	1
