N	3gram	Losev_Prob_4	Morfolog
1	и т д	3	47
2	в связи с	3	8
3	то перед нами	2	5
4	а также и	2	4
5	с точки зрения	11	4
6	тем не менее	10	4
7	с другой стороны	6	4
8	как и в	1	3
9	на самом деле	3	3
10	но все же	1	3
11	далеко не все	1	3
12	с одной стороны	1	2
13	потому что его	1	2
14	для того чтобы	2	2
15	в том что	8	2
16	и в других	2	2
17	на первый взгляд	1	2
18	в то время	2	2
19	в настоящее время	1	2
20	более или менее	2	2
21	не значит что	1	2
22	точно так же	3	2
23	то время как	2	2
24	это не значит	1	2
25	случае не является	1	2
26	отсюда видно что	1	2
27	то что не	1	1
28	нечто иное чем	2	1
29	в результате победы	1	1
30	с самого начала	1	1
31	в таком случае	1	1
32	между прочим и	1	1
33	это значит что	7	1
34	в то же	2	1
35	о том как	1	1
36	бы то ни	1	1
37	ни в коем	3	1
38	в одном случае	2	1
39	они превращаются в	1	1
40	точки зрения их	1	1
41	можно сказать о	1	1
42	здесь как и	2	1
43	иметь в виду	1	1
44	о которых говорилось	1	1
45	дело не в	2	1
46	это нисколько не	1	1
47	а если мы	1	1
48	что же касается	1	1
49	к тому что	1	1
50	и независимо от	2	1
51	том или другом	1	1
52	на самого себя	1	1
53	бросается в глаза	1	1
54	о том что	3	1
55	имеет ничего общего	2	1
56	том что он	1	1
57	в коем случае	3	1
58	можно было бы	4	1
59	так же и	1	1
60	и может быть	1	1
61	а в другом	1	1
62	во всех случаях	1	1
63	на то что	1	1
64	то это значит	1	1
65	сам он не	1	1
66	не что иное	2	1
67	значит что его	1	1
68	той или иной	11	1
69	те или иные	4	1
70	мы имеем в	1	1
71	эти и подобные	1	1
72	которых говорилось выше	1	1
73	друг к другу	1	1
74	но и его	1	1
75	есть не что	2	1
76	в том или	2	1
77	в другом случае	2	1
78	коем случае не	1	1
79	здесь прежде всего	1	1
80	здесь перед нами	5	1
81	и как они	1	1
82	что иное как	2	1
83	но если бы	2	1
84	рук и ног	1	1
85	поставить вопрос как	1	1
86	но так как	1	1
87	не имеет ничего	2	1
88	одно и то	1	1
89	во всяком случае	4	1
90	если бы мы	1	1
91	настоящее время уже	1	1
92	это было бы	1	1
93	в данном случае	5	1
94	хотя и не	2	1
95	не то что	1	1
96	до сих пор	1	1
97	ни в каких	1	1
98	и ни к	1	1
