N	3gram	Nazirov_Tv_1	Literetu
1	в то же	13	9
2	то же время	12	9
3	с одной стороны	1	6
4	в том что	6	5
5	в конечном счете	4	5
6	с другой стороны	1	4
7	на наш взгляд	1	3
8	по отношению к	1	3
9	в данном случае	2	3
10	о том что	5	2
11	и т п	2	2
12	по крайней мере	2	2
13	за то что	1	2
14	в русской литературе	2	2
15	не так как	1	2
16	тем не менее	2	2
17	это прежде всего	1	2
18	такой же как	1	1
19	том что в	2	1
20	бы то ни	1	1
21	в художественном мире	1	1
22	не менее чем	1	1
23	в конце концов	1	1
24	и в то	2	1
25	является одним из	2	1
26	то ни было	1	1
27	же время он	2	1
28	по нашему мнению	5	1
29	к тому что	1	1
30	в стихах и	1	1
31	и наконец в	1	1
32	подлинного а не	1	1
33	то же самое	1	1
34	что он не	1	1
35	на самом деле	2	1
36	в свою очередь	1	1
37	в отличие от	1	1
38	он не может	1	1
39	только то что	1	1
40	не могут быть	1	1
41	так и от	1	1
42	вместе с тем	1	1
43	а нередко и	1	1
44	имел в виду	1	1
45	характерный для этой	1	1
46	что же касается	1	1
47	я не могу	1	1
48	в бою и	1	1
49	как и сам	1	1
50	литературного процесса в	1	1
51	особое место в	1	1
52	что может быть	1	1
53	в соответствии с	3	1
