N	3gram	Tiupa_Anal_3	EvropaiE
1	с точки зрения	2	16
2	в то же	3	15
3	то же время	3	14
4	с одной стороны	2	8
5	в том что	7	6
6	как нам кажется	2	5
7	для того чтобы	1	5
8	не только в	1	4
9	того или иного	1	4
10	само по себе	1	4
11	той или иной	3	4
12	в той или	1	3
13	в этом смысле	1	3
14	хотя бы и	1	3
15	в этом отношении	3	3
16	ту или иную	1	3
17	в применении к	1	3
18	в известном смысле	1	3
19	во всяком случае	2	3
20	между тем в	1	3
21	как бы ни	1	3
22	и прежде всего	2	3
23	можно сказать что	2	3
24	не говоря уже	1	2
25	в данном случае	3	2
26	в качестве таковой	1	2
27	заключается в том	1	2
28	не более чем	2	2
29	так и в	1	2
30	с другой стороны	5	2
31	не может быть	1	2
32	в свою очередь	4	2
33	прежде всего к	1	2
34	в одном из	1	2
35	друг от друга	1	2
36	в большинстве случаев	1	2
37	и того же	3	1
38	в этом мире	1	1
39	хотя и не	1	1
40	дело в том	2	1
41	мог бы дать	1	1
42	в тех случаях	1	1
43	совершенно очевидно что	2	1
44	говоря уже о	1	1
45	же время в	1	1
46	в отличие от	2	1
47	и далее в	1	1
48	тех случаях когда	1	1
49	что мы знаем	1	1
50	на этот вопрос	1	1
51	как это случается	1	1
52	не сводится к	1	1
53	и тот же	1	1
54	в значительной степени	2	1
55	не могут быть	1	1
56	принадлежат к числу	1	1
57	в связи с	1	1
58	но как бы	1	1
59	мы не станем	1	1
60	в полной мере	1	1
61	во второй его	1	1
62	один и тот	1	1
63	то есть в	1	1
64	именно потому что	1	1
65	речь идет о	1	1
66	следует оговориться что	1	1
67	одного и того	3	1
68	во многих отношениях	1	1
69	и в эту	1	1
70	в себе не	1	1
71	к тому же	3	1
