N	2gram	Bakhtin_Pr_1	Komedia
1	и в	38	22
2	и не	42	21
3	том что	3	13
4	таким образом	10	12
5	в том	8	12
6	ни в	11	10
7	в самом	7	9
8	до сих	1	9
9	вместе с	1	9
10	сих пор	1	9
11	в этом	15	8
12	его в	9	8
13	в глазах	1	8
14	в своем	5	8
15	о том	4	8
16	если бы	3	8
17	в его	43	8
18	что и	2	8
19	что он	2	8
20	едва ли	3	7
21	то же	5	7
22	при этом	5	7
23	о чем	1	7
24	только что	1	7
25	а в	6	7
26	в свою	2	7
27	самом деле	6	6
28	еще не	7	6
29	в то	4	6
30	и его	16	6
31	к тому	1	6
32	того чтобы	2	6
33	свою очередь	1	6
34	ясно что	3	6
35	и что	2	6
36	для того	2	6
37	может быть	26	6
38	к этому	2	6
39	отношение к	10	5
40	но в	4	5
41	не только	9	5
42	он не	3	5
43	в своей	7	5
44	в которых	1	5
45	не менее	4	5
46	же время	3	5
47	связи с	2	5
48	к себе	2	5
49	хотя и	3	5
50	с ним	5	5
51	к нему	10	5
52	что в	7	5
53	по отношению	21	5
54	из них	1	5
55	тем что	2	5
56	прежде всего	13	5
57	как это	2	5
58	все это	3	5
59	и т	14	4
60	на себя	1	4
61	в ней	4	4
62	с другой	7	4
63	нет и	3	4
64	отнюдь не	19	4
65	все же	6	4
66	то что	8	4
67	в себе	4	4
68	и с	17	4
69	с тем	1	4
70	несмотря на	3	4
71	точки зрения	8	4
72	не в	7	4
73	однако в	1	4
74	на него	3	4
75	и здесь	2	4
76	друг друга	1	4
77	так и	5	4
78	здесь нет	2	4
79	с помощью	7	4
80	не дает	2	4
81	т п	13	4
82	вовсе не	2	4
83	но и	9	4
84	до конца	1	4
85	а не	5	4
86	в связи	2	4
87	не является	3	4
88	и для	11	4
89	бы в	1	4
90	хотя бы	4	4
91	так же	1	4
92	идет о	1	3
93	который в	1	3
94	говорить о	3	3
95	на них	3	3
96	столь же	2	3
97	с его	2	3
98	в ее	4	3
99	и к	3	3
100	и этим	6	3
101	в которой	1	3
102	в этой	1	3
103	как он	1	3
104	на то	2	3
105	не могла	1	3
106	в нем	15	3
107	приводит к	3	3
108	от нее	1	3
109	то ни	3	3
110	было бы	8	3
111	в них	5	3
112	все равно	1	3
113	далеко не	5	3
114	как и	7	3
115	чем в	2	3
116	но если	1	3
117	том как	2	3
118	с точки	6	3
119	тем не	3	3
120	к ним	1	3
121	не имеет	9	3
122	никогда не	5	3
123	ничего не	6	3
124	же самое	2	3
125	комедии и	1	3
126	и мы	1	3
127	в двух	2	3
128	не о	1	3
129	одной из	3	3
130	нисколько не	1	3
131	с одной	3	3
132	в начале	2	3
133	что не	4	3
134	следует что	2	3
135	мы можем	6	3
136	отношению к	19	3
137	в других	4	3
138	и даже	3	3
139	на ее	3	3
140	ему не	1	3
141	на этот	1	3
142	в частности	2	3
143	не может	27	3
144	конечно не	5	3
145	по своему	1	3
146	одной стороны	3	3
147	совсем другой	1	3
