N	3gram	Losev_Vesc_1	Psycholo
1	для того чтобы	2	19
2	на то что	2	16
3	в том что	4	14
4	с одной стороны	3	12
5	заключается в том	1	6
6	к тому что	2	6
7	в зависимости от	1	6
8	о том что	4	6
9	в самом деле	4	5
10	с другой стороны	2	5
11	до сих пор	1	5
12	по сравнению с	6	4
13	и как бы	1	4
14	не только не	2	4
15	таким образом что	1	3
16	сам по себе	3	3
17	друг с другом	1	3
18	из того что	2	3
19	с тем что	1	3
20	то же самое	1	3
21	и то же	4	3
22	и т д	19	3
23	и то что	3	3
24	в этом отношении	1	3
25	вместе с тем	1	3
26	мы видим что	1	3
27	можно было бы	1	3
28	одно и то	4	3
29	так же как	1	2
30	то что оно	2	2
31	вопрос о том	1	2
32	то что мы	2	2
33	можно сказать что	3	2
34	в конце концов	2	2
35	все то что	1	2
36	что это есть	3	2
37	и того же	1	2
38	в том чтобы	1	2
39	не что иное	7	2
40	не только в	4	2
41	одного и того	1	2
42	сами по себе	3	2
43	и для ее	2	2
44	и в самом	1	2
45	что иное как	7	2
46	бы сказать что	2	2
47	с точки зрения	3	2
48	ту же самую	1	2
49	само по себе	1	2
50	в данном случае	2	2
51	не может быть	6	2
52	не то что	1	1
53	еще почти не	1	1
54	мы не можем	1	1
55	то что не	2	1
56	мы видим таким	1	1
57	одна из основных	1	1
58	только потому что	1	1
59	и не в	1	1
60	а в том	1	1
61	остановиться только на	1	1
62	уже сейчас мы	1	1
63	что они находятся	1	1
64	и в частности	1	1
65	когда она еще	1	1
66	от всех прочих	3	1
67	не есть чистая	1	1
68	привело бы к	1	1
69	о чем не	1	1
70	мы видели что	1	1
71	стороны и что	1	1
72	строго говоря и	1	1
73	когда мы говорим	1	1
74	в результате мы	1	1
75	один из самых	1	1
76	оно может быть	1	1
77	с ними в	1	1
78	этой точки зрения	1	1
79	равно как и	2	1
80	между собою и	2	1
81	не есть еще	2	1
82	вбирает в себя	3	1
83	видим таким образом	1	1
84	потому что они	3	1
85	не только то	1	1
86	мы еще не	2	1
87	в применении к	1	1
88	они находятся в	1	1
89	есть не только	2	1
90	решить вопрос о	1	1
91	ни о чем	1	1
92	в то время	1	1
93	остановиться на этом	1	1
94	это совершенно неверно	1	1
95	не мог бы	1	1
96	только в зависимости	1	1
97	в том смысле	1	1
98	что такое понимание	1	1
99	более или менее	1	1
100	как будто бы	1	1
101	если бы было	1	1
102	но уже сейчас	2	1
103	одной стороны и	1	1
104	не из чего	1	1
105	того что мы	1	1
106	на этом единстве	1	1
107	в основе своей	2	1
108	и что все	1	1
109	психологической точки зрения	1	1
110	все же не	1	1
111	в нем нет	1	1
112	с и в	1	1
113	и есть то	2	1
114	в собственном смысле	2	1
115	мы говорили о	1	1
116	но совершенно ясно	1	1
117	дело в том	2	1
118	не только это	3	1
119	что у него	1	1
120	то время как	1	1
121	не может состояться	2	1
122	мы имеем дело	2	1
123	у нее нет	1	1
124	когда мы говорили	1	1
125	только то что	2	1
126	но так как	1	1
127	потому что она	1	1
128	если мы возьмем	2	1
129	по себе совершенно	1	1
130	что у нас	1	1
131	в свою очередь	4	1
132	что мы воспринимаем	1	1
133	в том или	1	1
134	не может в	1	1
135	и что они	1	1
136	и что он	1	1
137	она еще не	1	1
138	с этой точки	1	1
139	по крайней мере	4	1
