N	2gram	Medvedev_V_1	Komedia
1	и в	2	22
2	и не	1	21
3	том что	2	13
4	в том	2	12
5	так как	1	11
6	потому что	1	10
7	в самом	1	9
8	в этом	1	8
9	в конце	2	7
10	то же	1	7
11	и его	1	6
12	ясно что	1	6
13	ничуть не	1	6
14	самом деле	1	6
15	к этому	1	6
16	все это	1	5
17	в которых	1	5
18	более чем	1	5
19	хотя бы	1	4
20	тем более	1	4
21	даже не	1	3
22	далеко не	1	3
23	столь же	1	3
24	в частности	1	3
25	в другом	1	2
26	конце концов	2	2
27	в их	1	2
28	под влиянием	1	2
29	чем к	1	2
30	все время	1	2
31	по существу	1	2
32	не одно	1	1
33	и только	1	1
34	для них	1	1
35	крайней мере	1	1
36	в устах	1	1
37	на одном	1	1
38	сводится к	1	1
39	все то	1	1
40	этом и	1	1
41	да и	1	1
42	сводится в	1	1
43	образом из	1	1
44	по поводу	1	1
45	по крайней	1	1
46	том же	1	1
47	юноши в	1	1
48	впрочем не	1	1
49	я не	1	1
50	чем больше	1	1
51	то чего	1	1
52	только в	1	1
53	ни к	1	1
