N	2gram	Savitsky_E_1	Problemy
1	и не	14	31
2	и в	37	29
3	в его	2	24
4	может быть	6	24
5	в этом	12	22
6	а не	2	22
7	т е	9	21
8	в нем	1	19
9	точки зрения	23	19
10	как бы	6	19
11	для него	1	18
12	не только	18	15
13	то что	6	15
14	то же	15	14
15	не как	1	14
16	и его	1	14
17	рядом с	1	14
18	но и	14	14
19	в пределах	25	13
20	с точки	17	13
21	уже не	1	13
22	точка зрения	2	12
23	таким образом	2	12
24	как и	7	12
25	не может	9	12
26	в самом	4	10
27	этом смысле	3	10
28	в то	16	10
29	только в	9	10
30	в одном	2	10
31	там где	3	10
32	все эти	1	9
33	с его	1	9
34	все же	1	9
35	если бы	2	9
36	же время	14	9
37	но не	5	9
38	по отношению	1	8
39	что в	21	8
40	по себе	4	8
41	как не	2	8
42	в том	11	8
43	потому что	3	8
44	в своем	14	8
45	в своей	8	8
46	и на	6	7
47	за пределы	1	7
48	и как	2	7
49	но в	14	7
50	в себе	9	7
51	входит в	1	7
52	с другими	2	7
53	том что	6	7
54	не в	5	7
55	вовсе не	6	7
56	она не	2	7
57	так и	10	7
58	прежде всего	9	7
59	мира и	3	7
60	а в	2	7
61	так же	9	6
62	в одной	1	6
63	как в	3	6
64	в мире	2	6
65	несмотря на	4	6
66	в самой	1	6
67	могут быть	2	6
68	к нему	2	6
69	этого мира	1	6
70	был бы	1	6
71	так как	7	6
72	и потому	5	6
73	не могут	2	6
74	должна быть	2	5
75	той же	1	5
76	с их	1	5
77	он не	2	5
78	но все	1	5
79	было бы	8	5
80	и это	1	5
81	и о	1	5
82	с ним	1	5
83	между тем	8	5
84	именно в	4	5
85	более того	1	5
86	мира в	4	5
87	дело идет	2	5
88	во всяком	3	5
89	и т	1	4
90	идет о	3	4
91	тем как	1	4
92	и наконец	2	4
93	бы и	3	4
94	в этой	2	4
95	не значит	1	4
96	должно быть	1	4
97	даже в	4	4
98	как мы	5	4
99	в процессе	4	4
100	в основе	1	4
101	от того	1	4
102	и с	2	4
103	в построении	1	4
104	и следовательно	1	4
105	тем что	3	4
106	что и	3	4
107	как же	2	4
108	не было	1	4
109	не на	4	4
110	что же	2	4
111	но это	1	4
112	и для	3	4
113	в результате	3	4
114	отношении к	15	3
115	например в	1	3
116	он сам	2	3
117	он в	1	3
118	кроме того	1	3
119	уже в	1	3
120	и до	1	3
121	но именно	2	3
122	лишь на	1	3
123	далеко не	2	3
124	в их	11	3
125	тому что	1	3
126	мире в	1	3
127	одна из	1	3
128	никогда не	3	3
129	как будто	2	3
130	этом отношении	3	3
131	оно не	1	3
132	с другой	7	3
133	в них	3	3
134	воспринимается как	1	3
135	в другой	2	3
136	мы должны	2	3
137	но с	2	3
138	но как	2	3
139	не из	3	3
140	мир в	1	3
141	всяком случае	3	3
142	как их	2	3
143	само по	4	3
144	в пределы	3	3
145	этот принцип	1	3
146	есть то	1	3
147	бы в	2	3
148	не дает	3	3
149	сказать что	4	3
150	другой стороны	2	3
151	время не	1	3
152	в своих	2	3
153	как на	3	3
154	все что	1	3
155	себя как	1	2
156	или к	1	2
157	нам кажется	7	2
158	в чисто	1	2
159	по преимуществу	2	2
160	оно может	1	2
161	на западе	1	2
162	вопрос о	4	2
163	на себя	3	2
164	и со	3	2
165	в ней	4	2
166	культурной традиции	2	2
167	бы то	4	2
168	в истории	2	2
169	в той	5	2
170	его на	2	2
171	с этим	2	2
172	однако не	1	2
173	могли бы	1	2
174	его к	1	2
175	и к	3	2
176	нами в	1	2
177	мира но	2	2
178	на его	1	2
179	всех этих	1	2
180	бы во	1	2
181	в россии	5	2
182	войти в	1	2
183	принципа в	1	2
184	то ни	4	2
185	при этом	1	2
186	подходит к	2	2
187	не служит	4	2
188	в жизни	1	2
189	кажется что	2	2
190	чем в	4	2
191	как таковой	1	2
192	в отношении	32	2
193	именно и	1	2
194	в котором	2	2
195	в которых	3	2
196	является та	1	2
197	друг другу	1	2
198	но они	1	2
199	мира не	2	2
200	чтобы в	1	2
201	на себе	1	2
202	поэтому в	1	2
203	какой бы	2	2
204	правда в	1	2
205	совершенно неправильно	1	2
206	со своим	1	2
207	связи с	1	2
208	в сознании	1	2
209	е не	1	2
210	уже и	3	2
211	во все	3	2
212	что оно	1	2
213	для себя	1	2
214	данном случае	2	2
215	и что	2	2
216	в рамки	1	2
217	и сам	1	2
218	что может	1	2
219	те же	1	2
220	именно потому	2	2
221	на вопрос	1	2
222	и во	2	2
223	от них	3	2
224	во всей	2	2
225	по своим	3	2
226	к сознанию	1	2
227	в лучшем	1	2
228	звучит как	1	2
229	один из	1	2
230	мы видим	2	2
231	тот же	1	2
232	сводить к	1	2
233	хотя бы	15	2
234	они могут	1	2
235	или же	1	2
236	и ее	1	2
237	конечно не	1	2
238	в большинстве	2	2
239	то и	1	2
240	ни было	4	2
241	большинстве случаев	3	2
242	одно из	1	2
243	не о	1	2
244	лишь весьма	1	2
245	имеет значение	1	2
246	и даже	6	2
247	на этот	2	2
248	она является	1	2
249	него не	1	2
250	что из	1	2
251	в данном	3	2
252	для понимания	2	2
253	друг с	3	2
254	не способны	1	2
255	с этой	6	2
256	на пути	1	2
257	лучшем случае	1	2
258	в смысле	9	2
259	можно было	3	2
260	бы как	1	2
261	и от	3	2
262	ибо в	1	2
263	и земли	1	2
264	же в	2	2
265	не есть	2	2
266	этот вопрос	2	2
267	между ними	2	2
268	жизни и	2	2
269	заметить что	2	2
270	и наиболее	2	1
271	своей совокупности	1	1
272	же как	5	1
273	до него	1	1
274	получает в	1	1
275	же по	1	1
276	сам и	1	1
277	также что	1	1
278	исходит из	1	1
279	противном случае	1	1
280	с таким	1	1
281	из всех	3	1
282	который в	1	1
283	на тех	1	1
284	мы не	4	1
285	пределы данного	1	1
286	именно к	2	1
287	есть нечто	1	1
288	время как	1	1
289	их до	1	1
290	в полной	4	1
291	на практике	1	1
292	бы ни	3	1
293	но даже	4	1
294	социальной группы	1	1
295	не способен	1	1
296	меньшей степени	2	1
297	и философские	1	1
298	и происходит	1	1
299	оценок и	1	1
300	которых может	1	1
301	во всех	6	1
302	друг к	1	1
303	к которой	1	1
304	в качестве	14	1
305	постановка проблемы	1	1
306	тогда как	1	1
307	в свои	2	1
308	и чем	2	1
309	пределы и	1	1
310	к сожалению	1	1
311	относится к	1	1
312	которые не	1	1
313	в рамках	1	1
314	независимо от	4	1
315	стороны и	6	1
316	как последняя	1	1
