N	2gram	Nazirov_Vr_1	BTomashe
1	и не	5	2
2	в ней	4	2
3	все это	4	2
4	говорить о	1	1
5	во всяком	1	1
6	первый у	1	1
7	по нашему	3	1
8	с другой	1	1
9	не все	1	1
10	нашему мнению	1	1
11	в своей	2	1
12	свою книгу	1	1
13	по крайней	1	1
14	бы больше	1	1
15	всяком случае	1	1
16	и о	3	1
17	до конца	1	1
18	и ее	2	1
19	более что	1	1
20	и в	8	1
21	так и	1	1
22	крайней мере	1	1
23	также что	1	1
24	об этом	5	1
25	же не	2	1
26	короче говоря	1	1
27	не было	5	1
28	и во	3	1
29	было бы	1	1
30	отнюдь не	2	1
31	далеко не	3	1
32	говорить об	1	1
33	все же	6	1
34	не мешало	1	1
35	говорить не	1	1
36	прежде всего	1	1
37	что в	7	1
38	таким образом	2	1
39	а о	1	1
40	еще не	2	1
41	не только	9	1
42	другой стороны	1	1
43	нельзя не	1	1
44	тем более	2	1
