N	3gram	Nazirov_Tv_2	NovoeSre
1	в высшей степени	1	6
2	не может быть	3	4
3	в наше время	2	3
4	со всех сторон	1	3
5	не значит что	1	3
6	никогда не было	2	2
7	к самой жизни	1	2
8	что в нем	1	2
9	большую роль в	1	2
10	в нем нет	1	2
11	так же как	2	2
12	и должно быть	1	2
13	это не значит	1	2
14	с другой стороны	2	2
15	это связано с	1	1
16	только потому что	1	1
17	в том числе	1	1
18	играют большую роль	1	1
19	же как и	1	1
20	до сих пор	3	1
21	и не может	2	1
22	но и потому	1	1
23	сами по себе	1	1
24	в отличие от	2	1
25	о том чтобы	1	1
26	том числе и	1	1
27	можно было бы	1	1
28	и в истории	1	1
29	и потому что	1	1
30	как будто бы	1	1
31	в известном смысле	1	1
32	не могут быть	1	1
33	во всяком случае	2	1
34	он не имел	1	1
35	о том что	2	1
36	в то время	1	1
37	ни в чем	1	1
38	это и есть	1	1
39	не в силах	2	1
40	не только потому	1	1
41	это тем что	1	1
42	и мы не	1	1
43	мы говорим о	1	1
44	в том смысле	1	1
45	в том что	2	1
46	себя на место	1	1
47	как и в	1	1
