N	3gram	Tiupa_Hudo_1	Tvorches
1	преступлении и наказании	1	10
2	в преступлении и	1	10
3	то же время	5	7
4	в то же	5	7
5	в романе достоевского	1	5
6	в творческом процессе	1	4
7	в соответствии с	1	4
8	по отношению к	9	3
9	у достоевского в	1	3
10	по сути дела	1	3
11	не может быть	3	3
12	в одной из	1	2
13	в таком случае	1	2
14	и в то	1	2
15	в отличие от	7	2
16	по крайней мере	1	2
17	именно в этом	1	2
18	едва ли не	1	2
19	так же как	1	2
20	с другой стороны	5	2
21	о том что	1	2
22	он еще не	1	2
23	в том что	7	2
24	между собой например	1	1
25	если он не	1	1
26	как уже говорилось	1	1
27	видим в нем	1	1
28	и потому что	1	1
29	в том числе	2	1
30	может быть назван	1	1
31	может быть определен	1	1
32	он ни был	1	1
33	что приводит к	1	1
34	от всех и	1	1
35	является одним из	1	1
36	мы видим в	1	1
37	в литературе в	1	1
38	точно так же	1	1
39	то или иное	1	1
40	на наших глазах	2	1
41	только то что	1	1
42	толпы так и	1	1
43	войне и мире	2	1
44	не сводится к	5	1
45	таком случае это	1	1
46	в известном смысле	1	1
47	в центр художественного	1	1
48	не могут быть	1	1
49	а с другой	2	1
50	так и не	4	1
51	в свою очередь	2	1
52	той или иной	4	1
53	в связи с	1	1
54	в виду что	1	1
55	к тому же	1	1
56	первой части романа	1	1
57	жизни то есть	1	1
58	в то время	1	1
59	того или иного	3	1
60	превращая его в	1	1
61	это и есть	1	1
62	при этом что	1	1
63	в конечном счете	5	1
64	в частности в	1	1
65	именно потому что	1	1
66	в русской литературе	2	1
67	том числе и	1	1
68	за пределами текста	1	1
69	содержит в себе	1	1
70	между автором и	1	1
71	то есть его	1	1
72	и прежде всего	1	1
73	в поле зрения	1	1
74	и в том	1	1
75	как и в	1	1
76	мы говорим о	1	1
