N	3gram	Bakhtin_Pr_1	Tvorches
1	и т д	1	11
2	то же время	3	7
3	в то же	3	7
4	в творчестве достоевского	1	4
5	по отношению к	19	3
6	до сих пор	1	3
7	не может быть	11	3
8	в самом деле	3	2
9	и не может	2	2
10	и в то	2	2
11	в отличие от	5	2
12	на этот вопрос	1	2
13	в известной мере	1	2
14	в том же	2	2
15	могут быть поняты	2	2
16	с другой стороны	4	2
17	так и в	2	2
18	и т п	13	2
19	в том что	3	2
20	в чем не	2	1
21	хотя и не	1	1
22	рядом с ними	1	1
23	как и для	2	1
24	дело в том	1	1
25	характера и не	1	1
26	о том как	1	1
27	может и не	2	1
28	в нем и	1	1
29	рядом с ним	1	1
30	может быть определен	1	1
31	в его работе	1	1
32	сами по себе	1	1
33	например в романе	1	1
34	человеческой культуры и	2	1
35	можно было бы	3	1
36	со всех сторон	2	1
37	то или иное	2	1
38	социальной и исторической	1	1
39	художественного произведения как	1	1
40	в том смысле	1	1
41	в применении к	3	1
42	но в то	1	1
43	вырождается и умирает	1	1
44	его а не	1	1
45	и должно быть	1	1
46	и в этом	1	1
47	не могут быть	2	1
48	в свою очередь	1	1
49	той или иной	2	1
50	в связи с	1	1
51	может быть понята	1	1
52	в виду что	1	1
53	по себе не	1	1
54	в то время	1	1
55	и отнюдь не	1	1
56	того или иного	2	1
57	ни в чем	2	1
58	так например в	1	1
59	в нем нет	1	1
60	том смысле что	1	1
61	это и есть	1	1
62	то что не	1	1
63	его место в	1	1
64	но отнюдь не	7	1
65	в конечном счете	4	1
66	отметим лишь что	1	1
67	тесно связан с	1	1
68	то есть его	2	1
69	и прежде всего	5	1
70	не о том	1	1
71	и в том	1	1
72	и между ними	1	1
73	что у нас	1	1
74	в высшей степени	5	1
75	как и в	1	1
76	и в другом	1	1
