N	2gram	Medvedev_B_1	Tragedij
1	и в	1	18
2	не только	1	8
3	и на	1	7
4	и не	2	7
5	все же	1	5
6	так и	1	5
7	еще не	1	4
8	об этом	1	4
9	прежде всего	1	4
10	все это	2	4
11	что в	1	4
12	отнюдь не	1	3
13	как будто	1	3
14	что все	1	2
15	вопрос о	1	2
16	и ее	1	2
17	до конца	1	2
18	в данном	1	2
19	также что	1	1
20	необходимо отметить	1	1
21	должна быть	1	1
22	не вполне	1	1
23	из ее	1	1
24	в ней	2	1
25	за пределы	1	1
26	стиля и	1	1
27	таким образом	1	1
28	же не	1	1
29	в своей	1	1
30	к ней	1	1
31	в области	1	1
32	по нашему	1	1
33	своей книге	1	1
34	и о	1	1
35	можно было	2	1
36	в эпоху	1	1
37	создает впечатление	1	1
38	всяком случае	1	1
39	не было	1	1
40	нашему мнению	1	1
41	а не	1	1
42	и потому	1	1
43	в книге	1	1
44	совершенно не	1	1
45	во всяком	1	1
