N	2gram	Vygotskiy__2	IolandNe
1	и с	4	3
2	должен быть	1	2
3	и не	10	2
4	в этом	13	2
5	он не	6	2
6	что в	20	2
7	ничего не	4	2
8	о достоевском	1	2
9	все это	5	1
10	это сам	1	1
11	и тот	2	1
12	это пушкин	1	1
13	эти произведения	1	1
14	а для	1	1
15	и в	32	1
16	только что	1	1
17	и о	1	1
18	у всех	2	1
19	в эту	1	1
20	с а	1	1
21	а по	1	1
22	бы в	1	1
23	более чем	1	1
24	как только	2	1
25	стало быть	1	1
26	того же	2	1
27	жил в	1	1
28	не остается	2	1
29	при такой	1	1
30	и со	1	1
31	с другой	3	1
32	и та	1	1
33	это было	3	1
34	человеке и	1	1
35	а в	4	1
36	вплоть до	2	1
37	доказать что	1	1
38	того что	8	1
39	стали бы	1	1
40	в художественном	6	1
41	и создавал	1	1
42	не дает	1	1
43	произведения это	1	1
44	и без	2	1
45	своего исследования	2	1
46	цель и	1	1
47	чтобы доказать	1	1
48	они любили	1	1
49	на котором	1	1
50	а с	2	1
51	другой стороны	2	1
52	и чрезвычайно	1	1
53	утверждает что	5	1
54	придется не	1	1
55	не так	2	1
56	для него	1	1
57	в основе	11	1
58	создавал эти	1	1
59	что для	7	1
60	что при	9	1
61	понятий и	1	1
62	могло бы	2	1
63	и сам	4	1
64	комплекс эдипа	2	1
65	слишком много	2	1
66	есть только	5	1
67	этом человеке	1	1
68	видит в	3	1
69	так и	3	1
70	он с	2	1
71	произведения и	1	1
72	того чтобы	14	1
73	никогда не	9	1
74	следующим образом	1	1
75	о ней	4	1
76	жизни и	4	1
77	и очень	1	1
78	и ничего	1	1
79	преступления и	1	1
80	для других	1	1
81	тем что	9	1
82	в целом	4	1
83	по поводу	1	1
84	точно и	2	1
85	комплекса эдипа	2	1
86	очевидно что	2	1
87	вечный эдип	2	1
88	в них	2	1
89	все эти	7	1
90	но когда	2	1
91	по существу	3	1
92	волшебный ключ	2	1
93	со всеми	1	1
94	если бы	6	1
95	для того	13	1
