N	3gram	Bakhtin_KF_1	Poddanst
1	в то же	2	7
2	то же время	2	7
3	в том что	2	4
4	с точки зрения	9	3
5	нужно помнить что	1	2
6	и в то	1	2
7	сводится к следующему	1	1
8	в этом мире	1	1
9	во всей полноте	1	1
10	в настоящее время	1	1
11	в этом смысле	3	1
12	и в этом	3	1
13	хотя бы и	1	1
14	и именно в	1	1
15	не было бы	3	1
16	всей полноте и	1	1
17	весь мир в	1	1
18	вместе с тем	1	1
19	и то что	1	1
20	все это в	1	1
21	нет сомнения что	1	1
22	значило бы что	1	1
23	не в том	1	1
24	бы оно ни	1	1
25	во всяком случае	1	1
26	не может быть	11	1
27	знать что и	1	1
28	само по себе	1	1
29	ни к чему	2	1
30	и тем самым	1	1
31	в своем бытии	2	1
32	но в то	1	1
33	в большинстве случаев	1	1
34	в известном смысле	1	1
35	для того чтобы	1	1
36	но в этом	1	1
37	в нем в	1	1
38	же время есть	1	1
39	с разных точек	1	1
