N	3gram	Medvedev_U_1	Psycholo
1	в том что	2	9
2	не может быть	4	8
3	на то что	1	8
4	в самом деле	2	7
5	не в том	1	5
6	само по себе	1	5
7	с другой стороны	3	5
8	с одной стороны	1	5
9	том что она	1	3
10	в художественном произведении	2	3
11	до сих пор	2	3
12	в конце концов	2	3
13	в конечном счете	4	3
14	более или менее	1	2
15	в этом смысле	2	2
16	то же самое	2	2
17	то что при	1	2
18	не было бы	1	2
19	в этом отношении	2	2
20	тех или иных	2	2
21	никогда не может	1	2
22	искусство как прием	1	2
23	и в конце	1	1
24	но прежде всего	1	1
25	художественное произведение как	1	1
26	другой стороны в	1	1
27	нельзя сводить к	1	1
28	искусства как такового	1	1
29	точном смысле этого	1	1
30	что мы можем	1	1
31	в значительной мере	1	1
32	и то что	2	1
33	метода то есть	1	1
34	она должна была	1	1
35	содержания в искусстве	1	1
36	мы полагаем что	1	1
37	в этой области	3	1
38	не только в	1	1
39	моцарт и сальери	1	1
40	не могут быть	2	1
41	то что все	1	1
42	в широком смысле	1	1
43	поэзию как искусство	1	1
44	может быть в	1	1
45	во главу угла	1	1
46	по существу то	1	1
47	можно сказать что	1	1
48	у нас в	1	1
49	и в частности	2	1
50	при таком понимании	1	1
51	и у пушкина	1	1
52	в изобразительном искусстве	1	1
53	русского искусствоведения и	1	1
54	в буквальном смысле	1	1
55	как раз обратное	1	1
