N	3gram	Berdyaev_O_1	Mirosoze
1	не может быть	2	17
2	о человеке и	5	6
3	записок из подполья	5	5
4	и его судьбе	1	5
5	человеке и его	2	5
6	у достоевского есть	1	5
7	о великом инквизиторе	6	4
8	а не в	2	4
9	в творчестве его	3	4
10	дважды два четыре	3	4
11	у достоевского нет	1	4
12	но и в	2	4
13	до самой глубины	3	4
14	в самой глубине	3	4
15	потому что в	1	3
16	загадка о человеке	2	3
17	с тем что	2	3
18	заключает в себе	1	3
19	свободы человеческого духа	1	3
20	есть не только	1	3
21	с ретроградной и	1	3
22	и в самом	1	3
23	у достоевского было	2	3
24	человеческой природы в	2	3
25	и насмешливой физиономией	1	3
26	в братьях карамазовых	1	3
27	ретроградной и насмешливой	1	3
28	к человеку у	1	2
29	полярности человеческой природы	1	2
30	и ивана карамазова	2	2
31	диалектика о человеке	1	2
32	прежде всего в	1	2
33	одно из самых	1	2
34	чтобы не иметь	1	2
35	динамично все в	1	2
36	в легенде о	3	2
37	пожелать себе даже	2	2
38	и не может	1	2
39	легенды о великом	1	2
40	настоять на своем	1	2
41	сделается чтобы не	1	2
42	достоевский прежде всего	2	2
43	случай сделается чтобы	1	2
44	к черту и	2	2
45	в гениальной диалектике	1	2
46	человеческой природы это	1	2
47	человека он не	1	2
48	и я хочу	1	2
49	не иметь рассудка	1	2
50	достоевского он не	1	2
51	может быть человек	2	2
52	единственно для того	2	2
53	из подполья достоевский	1	2
54	что человеку надо	2	2
55	он никогда не	1	2
56	у достоевского с	2	2
57	в самом последнем	1	2
58	нарочно сумасшедшим на	1	2
59	о достоевском и	1	2
60	как будто бы	1	2
61	не могут быть	2	2
62	этот случай сделается	1	2
63	сумасшедшим на этот	1	2
64	по своей глупой	1	2
65	бога и дьявола	1	2
66	человека в свободе	1	2
67	о человеческой природе	2	2
68	в дневнике писателя	2	2
69	все в движении	1	2
70	а не только	1	2
71	и настоять на	1	2
72	о человеке о	4	2
73	все вращается вокруг	1	2
74	нет ничего статического	1	2
75	в этом он	2	2
76	ты возжелал свободной	1	2
77	возжелал свободной любви	1	2
78	отношение к человеку	1	2
79	он не созерцает	2	2
80	ли может быть	1	2
81	своей глупой воле	1	2
82	иметь рассудка и	1	2
83	все герои достоевского	4	2
84	человеческой природы он	1	2
85	в самую глубину	1	2
86	рассудка и настоять	1	2
87	для того чтобы	3	2
88	свободной любви человека	1	2
89	он не только	1	2
90	глупой воле пожить	1	2
91	легенде о великом	3	2
92	на этот случай	1	2
93	достоевского нет ничего	1	2
94	поминутно доказывал себе	1	1
95	я нисколько не	1	1
96	бы достоевский раскрыл	1	1
97	самой пустейшей причины	1	1
98	и везде кто	1	1
99	чтобы иметь право	1	1
100	желать себе одного	1	1
101	чтобы все эти	1	1
102	здравым заключениям нашего	1	1
103	воля будет когда	1	1
104	различие между достоевским	1	1
105	предварительного расчета все	1	1
106	свободным сердцем должен	1	1
107	и через человека	1	1
108	в его характере	1	1
109	та самая пропущенная	1	1
110	что ведь все	1	1
111	бросается в глаза	1	1
112	устремлено на людей	1	1
113	господа а начало	1	1
114	доказывал себе что	1	1
115	будет одно только	1	1
116	против собственной выгоды	1	1
117	из самых гениальных	1	1
118	ли нам все	1	1
119	за границу достоевского	1	1
120	чтобы человек поминутно	1	1
121	чего это непременно	1	1
122	не могу что	1	1
123	не созерцает красоты	1	1
124	не было для	1	1
125	даже вредного глупого	1	1
126	в юные беспорочные	1	1
127	самостоятельного хотения чего	1	1
128	что русский человек	1	1
129	эти мудрецы что	1	1
130	их жизни их	1	1
131	я бы сузил	1	1
132	достоевского и в	1	1
133	ни с какой	1	1
134	клавиши если вы	1	1
135	страшная и ужасная	1	1
136	любил действовать так	1	1
137	о чем хлопочет	1	1
138	этот свой каприз	1	1
139	даже глупейшего а	1	1
140	и вот оказывается	1	1
141	два четыре есть	1	1
142	от настоящего страдания	1	1
143	не только страшная	1	1
144	никогда не было	2	1
145	тут все противоречия	1	1
146	говорит герой „записок	1	1
147	ужасная вещь страшная	1	1
148	что зло имея	1	1
149	все ли дозволено	1	1
150	ведь все дело-то	1	1
151	высший даже сердцем	1	1
152	настолько же любит	1	1
153	исходит от него	1	1
154	все еще люди	1	1
155	случае сохраняет нам	1	1
156	а иногда и	1	1
157	найдет так человек	1	1
158	заключается в одной	1	1
159	быть человек так	1	1
160	их чувств и	1	1
161	ни под какую	1	1
162	свой собственный хотя	1	1
163	твердого древнего закона	1	1
164	душе не отрицает	1	1
165	влечет к катастрофе	1	1
166	и он был	1	1
167	от него и	4	1
168	выгодах? ведь может	1	1
169	есть вихревая антропология	1	1
170	и почему вы	1	1
171	неблагородной или лучше	1	1
172	прахом единственно с	1	1
173	все есть лишь	1	1
174	только одно нормальное	1	1
175	в частности может	1	1
176	свободное хотение свой	1	1
177	одно благоденствие человеку	1	1
178	созерцает божественный покой	1	1
179	а вовсе не	1	1
180	беспорочные годы нет	1	1
181	доходит до таблички	1	1
182	загадки тут берега	1	1
183	ни был любил	1	1
184	и горит от	1	1
185	торжественно уверены что	1	1
186	в космосе в	1	1
187	от человека к	1	1
188	внимание его было	1	1
189	есть лишь его	1	1
190	возникнет какой-нибудь джентльмен	1	1
191	ведь может быть	1	1
192	только дважды два	1	1
193	жизненная загадка о	1	1
194	что только одно	1	1
195	таблички и до	1	1
196	это потому что	1	1
197	существа одаренного такими	1	1
198	кто бы он	1	1
199	нам всем а	1	1
200	если приносит нам	1	1
201	страстном буйном исступленном	1	1
202	что и это	1	1
203	страстным к нему	1	1
204	и теории постоянно	1	1
205	занд в гюго	1	1
206	это бы еще	1	1
207	разрушения и хаоса	1	1
208	классификацию не подходит	1	1
209	нам все это	1	1
210	всем бросается в	1	1
211	божественном миропорядке отсюда	1	1
212	выгода которая ни	1	1
213	они что человеку	1	1
214	именно от того	1	1
215	всех выгод даже	1	1
216	ивана карамазова в	1	1
217	в самом деле	1	1
218	глупейшего и не	1	1
219	то что ведь	1	1
220	разумеется должна быть	1	1
221	самой жизни а	1	1
222	между достоевским и	1	1
223	этой оси образуется	1	1
224	нам явный вред	1	1
225	в записках из	3	1
226	и до арифметики	1	1
227	и он схватывал	1	1
228	и мрак и	1	1
229	упоминать не стоит	1	1
230	тут берега сходятся	1	1
231	элемент именно свои	1	1
232	выгоднее всех выгод	1	1
233	сердцем должен был	1	1
234	господа может быть	1	1
235	себе что он	1	1
236	схватывал только их	1	1
237	чтобы самому себе	1	1
238	собственной выгоды а	1	1
239	человек а не	1	1
240	вы так твердо	1	1
241	учение о боге	1	1
242	интересовали люди исключительно	1	1
243	пожелает самого пагубного	1	1
244	эпического нет изображения	1	1
245	быть связанным обязанностью	1	1
246	так и не	1	1
247	всяком случае сохраняет	1	1
248	могу что иной	1	1
249	ли своя воля	1	1
250	это единственная причина	1	1
251	одаренного такими странными	1	1
252	не откажется страдание	1	1
253	до вечера куда	1	1
254	может быть назван	1	1
255	два периода до	1	1
256	человек нарочно сумасшедшим	1	1
257	не жизнь господа	1	1
258	прельщенный и плененный	1	1
259	потому что во	1	1
260	своем художественном творчестве	2	1
261	подтвердить что люди	1	1
262	воля бывает не	1	1
263	столкнуть ли нам	1	1
264	идеала мадонны а	1	1
265	бы он ни	1	1
266	не ошибается ли	1	1
267	случаях а в	1	1
268	о человеке после	1	1
269	страшной ужасной он	1	1
270	их душевным складом	1	1
271	еще ничего но	1	1
272	человеку надо какого-то	1	1
273	целью чтобы все	1	1
274	уж тут своя	1	1
275	глубину человеческой природы	1	1
276	даже и глупейшего	1	1
277	он до конца	1	1
278	за собой единственно	1	1
279	он человек а	1	1
280	потому ли может	1	1
281	их природу и	1	1
282	самом деле господа	1	1
283	у достоевского совсем	1	1
284	между божеским и	1	1
285	цели которая разумеется	1	1
286	в экстазе и	2	1
287	только случай только	1	1
288	каприз и в	1	1
289	одного только умного	1	1
290	филипповны и аглаи	1	1
291	и сгорают все	1	1
292	в сферу непознаваемого	1	1
293	и от которой	1	1
294	образом их жизни	1	1
295	может быть всего	1	1
296	вот оказывается что	1	1
297	исторические памятники ни	1	1
298	положительному благоразумию примешать	1	1
299	быть он равно	1	1
300	разлетаются к черту	1	1
301	все насыщено страстным	1	1
302	как и все	2	1
303	а начало смерти	1	1
304	и действительно в	1	1
305	и заключается в	1	1
306	выгодах потому что	1	1
307	было для него	1	1
308	всего двух женщин	1	1
309	человека а не	1	1
310	к достоевскому он	1	1
311	экстазе и исступлении	1	1
312	том случае если	1	1
313	только их природу	1	1
314	руководстве твой образ	1	1
315	и он не	1	1
316	иначе сказать в	1	1
317	постоянно разлетаются к	1	1
318	это глупейшее ведь	1	1
319	как дважды два	1	1
320	кажется и действительно	1	1
321	какую классификацию не	1	1
322	в том только	1	1
323	человек и в	1	1
324	а не фортепианные	1	1
325	особенно ни природа	1	1
326	в иных случаях	1	1
327	до таблички и	1	1
328	свободно пошел он	1	1
329	его природы всем	1	1
330	разум и выгода	1	1
331	к нему отношением	1	1
332	вихрь страстных человеческих	1	1
333	собственный хотя бы	1	1
334	что люди все	1	1
335	возможность предварительного расчета	1	1
336	самая выгодная выгода	1	1
337	есть на земле	1	1
338	рассудка о выгодах	1	1
339	причина сознания в	1	1
340	нельзя потому что	1	1
341	действительно в том	1	1
342	был любил действовать	1	1
343	того чтобы ко	1	1
344	формы все охлажденные	1	1
345	это непременно вообразили	1	1
346	положительно должно свое	1	1
347	же можно ожидать	1	1
348	это я отвечаю	1	1
349	ничего но обидно	1	1
350	человека как от	1	1
351	в романах достоевского	3	1
352	не столкнуть ли	1	1
353	пошел он за	1	1
354	повелевали ему разум	1	1
355	у него не	2	1
356	самый дикий каприз	1	1
357	теории постоянно разлетаются	1	1
358	твердо так торжественно	1	1
359	различие между божеским	1	1
360	скажете что и	1	1
361	остается у него	1	1
362	связанным обязанностью желать	1	1
363	не стоит именно	1	1
364	с умом высоким	1	1
365	и загадочное природа	1	1
366	беспрерывности процесса достижения	1	1
367	брата из всего	1	1
368	иногда и положительно	1	1
369	юные беспорочные годы	1	1
370	ко всему этому	1	1
371	ужасной он не	1	1
372	свои антропологические исследования	1	1
373	образуется вихрь страстных	1	1
374	ли разум-то в	1	1
375	когда человек может	1	1
