N	2gram	Vinokur_St_3	Freidism
1	таким образом	10	24
2	и не	10	23
3	не может	7	20
4	точки зрения	7	19
5	прежде всего	10	18
6	в этом	24	15
7	в его	12	15
8	и пр	13	15
9	с помощью	1	14
10	может быть	19	13
11	и его	3	12
12	все эти	3	11
13	как и	4	11
14	с точки	4	11
15	как бы	6	11
16	то что	12	11
17	самом деле	2	10
18	но в	5	10
19	его в	1	10
20	с ним	1	10
21	как мы	2	10
22	так и	5	10
23	с его	3	9
24	во всех	2	9
25	и в	25	9
26	то же	5	8
27	не только	12	8
28	он не	5	8
29	в своей	4	8
30	еще не	2	8
31	что он	19	8
32	только в	6	8
33	так как	3	8
34	все это	8	8
35	и все	1	8
36	все что	1	8
37	в самом	2	7
38	отношение к	4	7
39	и наконец	3	7
40	ни в	5	7
41	мы видели	1	7
42	те же	1	7
43	к нему	4	7
44	один из	2	7
45	мы знаем	1	7
46	всяком случае	4	7
47	что же	1	7
48	сказать что	4	7
49	во всяком	4	7
50	в ней	4	6
51	за пределы	1	6
52	так сказать	2	6
53	и с	4	6
54	на протяжении	4	6
55	и ее	2	6
56	точку зрения	2	6
57	того что	5	6
58	для него	3	6
59	вовсе не	2	6
60	никогда не	2	6
61	протяжении всей	1	6
62	хотя бы	1	6
63	я и	3	5
64	на самом	1	5
65	и на	6	5
66	в чем	4	5
67	и к	4	5
68	в этой	14	5
69	что такое	7	5
70	не в	6	5
71	в то	7	5
72	в каком	4	5
73	могут быть	2	5
74	для этого	2	5
75	можно сказать	4	5
76	для того	2	5
77	по мнению	3	5
78	а в	6	5
79	но и	9	5
80	связь с	4	5
81	с этим	7	5
82	его жизни	1	5
83	в период	1	5
84	в свою	2	5
85	что в	19	5
86	смысле слова	1	4
87	и за	2	4
88	той же	2	4
89	мы не	2	4
90	в которой	4	4
91	говорить о	3	4
92	но не	2	4
93	в собственном	1	4
94	все же	4	4
95	не было	4	4
96	из этих	6	4
97	в пределах	1	4
98	в нем	1	4
99	всех этих	3	4
100	на этом	3	4
101	связанные с	1	4
102	об этом	5	4
103	в жизни	4	4
104	во время	3	4
105	не менее	2	4
106	же время	3	4
107	всей жизни	1	4
108	потому что	5	4
109	и для	4	4
110	к тому	2	4
111	т.е в	1	4
112	того чтобы	1	4
113	с самого	2	4
114	не имеющие	1	4
115	конечно не	1	4
116	уже не	3	4
117	не дает	1	4
118	в котором	5	4
119	мы находим	2	4
120	как раз	3	4
121	от того	2	4
122	на которые	1	4
123	и др	4	4
124	себя и	2	4
125	в данном	1	4
126	и о	1	4
127	в этих	11	4
128	в последнем	2	4
129	он хотел	3	3
130	подхода к	1	3
131	собственном смысле	1	3
132	при анализе	1	3
133	на себя	1	3
134	он был	3	3
135	в общем	4	3
136	как в	6	3
137	и той	1	3
138	и как	1	3
139	и тот	2	3
140	о которой	2	3
141	одной и	1	3
142	и по	2	3
143	что все	3	3
144	и может	2	3
145	конечно в	1	3
146	зрения на	1	3
147	было бы	7	3
148	мы имеем	5	3
149	такой же	2	3
150	нисколько не	1	3
151	тому что	3	3
152	этой области	2	3
153	нет никакого	3	3
154	самого начала	2	3
155	одна из	2	3
156	на него	1	3
157	мыслей и	1	3
158	бы он	1	3
159	с ее	2	3
160	свою очередь	1	3
161	и этим	1	3
162	приводит к	1	3
163	если бы	4	3
164	развития как	1	3
165	вражда к	1	3
166	и что	3	3
167	во втором	2	3
168	и она	1	3
169	со всеми	1	3
170	у него	9	3
171	в них	5	3
172	со стороны	3	3
173	и оно	1	3
174	вместе с	2	3
175	но это	4	3
176	не является	3	3
177	это как	1	3
178	когда он	1	3
179	не знает	1	3
180	жизни и	1	3
181	ни на	2	3
182	ее в	2	3
183	отношения к	1	2
184	в такой	2	2
185	и то	1	2
186	сил и	1	2
187	тех же	1	2
188	тем же	1	2
189	в первом	1	2
190	и до	1	2
191	объясняется и	1	2
192	для своего	1	2
