N	3gram	Losev_Prob_5	Otkroven
1	в легенде о	1	3
2	для того чтобы	2	3
3	и в этом	1	2
4	у него не	1	2
5	что у него	1	2
6	не может быть	2	2
7	но и в	2	2
8	и никогда не	2	2
9	как будто бы	3	1
10	хотя и не	1	1
11	все еще не	1	1
12	в виду не	1	1
13	в силу чего	1	1
14	а вовсе не	1	1
15	человека вообще и	1	1
16	только и состоит	1	1
17	в самом деле	1	1
18	и в том	1	1
19	о том как	1	1
20	бросается в глаза	1	1
21	приходит в голову	1	1
22	да и то	1	1
23	и все же	1	1
24	не было и	1	1
25	людей но и	1	1
26	во всяком случае	2	1
27	человека а не	1	1
28	сам по себе	1	1
29	потому что у	1	1
30	не в силах	1	1
31	после того как	3	1
32	о том что	9	1
33	в этом отношении	1	1
34	но никогда не	1	1
35	в том что	8	1
36	нет у него	1	1
37	на то что	2	1
38	и не в	2	1
39	и то что	3	1
40	что не все	1	1
41	и он не	1	1
42	не приходит в	1	1
43	как бы и	1	1
44	от того что	1	1
45	и в его	1	1
