N	2gram	Potebnia_M_4	Russkaja
1	не может	11	22
2	и не	18	19
3	в том	23	17
4	в этом	23	17
5	и в	23	14
6	то что	29	13
7	то же	14	11
8	точки зрения	4	11
9	таким образом	24	11
10	в то	4	10
11	же время	3	10
12	но и	11	10
13	в себе	14	9
14	не только	10	9
15	том что	12	9
16	с точки	3	9
17	может быть	26	9
18	во всяком	5	9
19	того чтобы	4	8
20	прежде всего	1	8
21	как на	1	8
22	самом деле	3	7
23	и если	3	7
24	и с	4	7
25	в данном	4	7
26	к тому	3	7
27	не будет	3	7
28	о том	8	7
29	мы должны	2	7
30	ни к	2	7
31	в своем	8	6
32	и к	6	6
33	с тем	7	6
34	в своих	2	6
35	и при	2	6
36	признать что	2	6
37	если бы	13	6
38	все это	5	6
39	и для	2	6
40	для того	6	6
41	что он	4	6
42	всяком случае	3	6
43	для него	5	6
44	на самом	3	6
45	своего народа	1	6
46	а между	4	5
47	вопрос о	2	5
48	и на	3	5
49	во всех	1	5
50	на то	7	5
51	в нем	7	5
52	при этом	15	5
53	он не	2	5
54	было бы	8	5
55	в своей	1	5
56	никогда не	3	5
57	потому что	33	5
58	между тем	9	5
59	а потому	1	5
60	и только	3	5
61	только в	15	5
62	хотя бы	4	5
63	конечно не	2	5
64	до сих	4	5
65	из которых	2	5
66	сих пор	4	5
67	а в	5	5
68	и то	5	4
69	но не	1	4
70	все же	1	4
71	не в	11	4
72	в этой	1	4
73	быть самим	1	4
74	тому чтобы	1	4
75	что такой	1	4
76	том случае	3	4
77	его в	4	4
78	как и	14	4
79	в их	1	4
80	тогда когда	8	4
81	во всем	1	4
82	от того	4	4
83	не могут	2	4
84	в мире	2	4
85	можно было	2	4
86	в его	5	4
87	так как	14	4
88	со стороны	3	4
89	вместе с	6	4
90	что же	5	4
91	как бы	5	4
92	отказаться от	1	4
93	жизни и	1	4
94	что в	17	4
95	все что	2	4
96	вряд ли	1	3
97	и т	7	3
98	то в	3	3
99	говорить о	5	3
100	еще не	3	3
101	он сам	1	3
102	из этих	2	3
103	в самом	3	3
104	что это	7	3
105	главным образом	1	3
106	на том	2	3
107	и по	3	3
108	в другом	1	3
109	лишь в	3	3
110	должно быть	5	3
111	но если	1	3
112	таким же	5	3
113	том чтобы	1	3
114	связи с	3	3
115	в сознании	4	3
116	то это	8	3
117	той или	1	3
118	что все	4	3
119	данном случае	2	3
120	что может	2	3
121	может не	1	3
122	при котором	1	3
123	но мы	2	3
124	и во	1	3
125	что и	7	3
126	а следовательно	1	3
127	что бы	1	3
128	того что	14	3
129	одной из	1	3
130	в качестве	1	3
131	с нею	3	3
132	в большинстве	2	3
133	в виде	2	3
134	из них	1	3
135	друг друга	2	3
136	тем что	10	3
137	именно в	3	3
138	только к	1	3
139	не было	12	3
140	ко всем	3	3
141	и потому	10	3
142	в положении	1	3
143	да и	4	3
144	этом случае	5	3
145	и будут	1	3
146	или в	1	3
147	о котором	1	3
148	и как	2	3
149	ибо в	1	3
150	не есть	9	3
151	из этого	2	3
152	случае если	1	3
153	себя как	1	2
154	речь идет	1	2
155	бы для	1	2
156	и есть	3	2
157	должна быть	1	2
158	но даже	2	2
159	в ней	2	2
160	в таком	4	2
161	или от	3	2
162	именно на	2	2
163	по отношению	10	2
164	тогда как	4	2
165	друг от	1	2
166	с этим	7	2
167	что действительно	1	2
168	помнить что	1	2
169	но в	8	2
170	не можем	5	2
171	это есть	3	2
172	а во-вторых	1	2
173	все эти	3	2
174	и тот	3	2
175	во многих	2	2
176	и те	1	2
177	состоит в	2	2
178	касается до	1	2
179	мы уже	3	2
180	в глазах	2	2
181	этот человек	1	2
182	по себе	11	2
183	и тем	4	2
