N	2gram	Propp_Russ_1	formyVre
1	и в	36	50
2	то есть	3	33
3	в этом	12	25
4	в нем	2	24
5	и его	1	16
6	как мы	10	14
7	и не	6	14
8	в его	2	13
9	по существу	4	12
10	так и	7	12
11	то же	3	11
12	мы уже	1	11
13	таким образом	6	11
14	может быть	8	11
15	и как	2	10
16	но в	2	10
17	с его	1	9
18	все эти	2	9
19	не только	22	9
20	в то	1	9
21	ничего не	3	9
22	в том	17	9
23	в других	11	9
24	в особенности	2	9
25	и др	4	9
26	и т	10	8
27	того же	1	8
28	и на	10	8
29	ни в	1	8
30	т п	1	8
31	но и	16	8
32	и их	4	8
33	как и	10	8
34	жизни и	1	8
35	это время	2	7
36	для себя	1	7
37	и во	1	7
38	не было	2	7
39	например в	2	6
40	между двумя	2	6
41	во всех	4	6
42	как в	5	6
43	с этим	2	6
44	все же	5	6
45	не оставляет	1	6
46	это не	10	6
47	и того	1	6
48	в их	4	6
49	так как	15	6
50	в дальнейшем	2	6
51	связи с	4	6
52	в жизни	2	6
53	у него	2	6
54	то что	6	6
55	в частности	2	6
56	не может	4	6
57	так же	3	6
58	и все	1	6
59	отношению к	1	5
60	и до	2	5
61	еще не	4	5
62	но не	2	5
63	отнюдь не	2	5
64	и у	5	5
65	он не	1	5
66	всех этих	2	5
67	значение в	1	5
68	одного и	1	5
69	в основе	1	5
70	точки зрения	3	5
71	не могло	1	5
72	в разных	3	5
73	могут быть	2	5
74	но все	3	5
75	в пределах	1	5
76	в образе	2	5
77	если бы	1	5
78	до нас	1	5
79	в связи	4	5
80	наряду с	1	5
81	в основном	3	5
82	что в	19	5
83	и другие	13	5
84	и это	1	4
85	в ней	2	4
86	в своем	3	4
87	то время	1	4
88	чтобы они	2	4
89	и с	2	4
90	в них	6	4
91	том что	19	4
92	здесь на	1	4
93	не имеет	6	4
94	потому что	10	4
95	жизнь и	1	4
96	или как	1	4
97	и следовательно	1	4
98	только в	4	4
99	влияние на	1	4
100	до конца	2	4
101	на этой	2	4
102	в той	1	4
103	все это	6	4
104	между собой	2	4
105	кроме того	1	4
106	и для	2	4
107	по преимуществу	1	3
108	не имеют	1	3
109	мы не	6	3
110	в виду	1	3
111	всем этим	1	3
112	значение и	2	3
113	по отношению	1	3
114	себе и	1	3
115	хотя и	2	3
116	в себе	1	3
117	и те	3	3
118	при этом	6	3
119	его в	1	3
120	входит в	4	3
121	и других	7	3
122	для них	3	3
123	между ними	1	3
124	в этих	3	3
125	но эта	1	3
126	что было	1	3
127	их в	3	3
128	но они	3	3
129	этом отношении	1	3
130	не могут	1	3
131	к тому	4	3
132	нас в	1	3
133	что и	7	3
134	во всей	1	3
135	в форме	1	3
136	один из	8	3
137	мы видим	2	3
138	поэтому и	1	3
139	и ее	1	3
140	в качестве	3	3
141	только на	3	3
142	же в	1	3
143	в начале	1	3
144	одно из	5	3
145	в одном	3	3
146	связаны с	3	3
147	мы еще	1	3
148	себя и	2	3
149	что не	1	3
150	с тем	8	3
151	а не	2	3
152	в одно	1	3
153	вместе с	10	3
154	и потому	2	3
155	или в	2	3
156	а в	9	3
157	не знает	1	3
158	сказать что	1	3
159	имеет место	2	3
160	они не	1	3
161	к этому	4	3
162	в таком	1	3
163	во всяком	1	3
164	также и	1	2
165	обычно в	1	2
166	же как	1	2
167	тех же	1	2
168	к другому	2	2
169	их и	3	2
170	вопрос о	1	2
171	но она	2	2
172	на себя	2	2
173	они были	2	2
174	же что	1	2
175	жизни это	1	2
176	и определяется	1	2
177	на них	1	2
178	в различных	2	2
179	в чем	1	2
180	не без	1	2
181	существенного значения	2	2
182	природы и	2	2
183	на другой	1	2
184	друг к	2	2
185	совсем не	1	2
186	а только	1	2
187	в истории	1	2
188	никаких следов	1	2
189	и к	3	2
190	от этого	1	2
191	в этот	10	2
192	в целом	2	2
193	тому же	1	2
194	в нашем	2	2
195	как бы	5	2
196	как он	2	2
197	вера в	1	2
198	все другие	1	2
199	не как	1	2
200	уже не	6	2
201	его от	2	2
202	и по	8	2
203	что все	1	2
204	об этом	9	2
205	к другу	2	2
206	было бы	1	2
207	на почве	1	2
208	нет в	1	2
209	жизни то	1	2
210	чем в	2	2
211	и всей	2	2
212	он должен	1	2
213	с точки	3	2
214	место в	1	2
215	не к	1	2
216	в отличие	1	2
217	в которых	5	2
218	точку зрения	1	2
219	том же	2	2
220	необходимо чтобы	1	2
221	и время	1	2
222	тогда когда	1	2
223	дело в	1	2
224	к ней	2	2
225	так называемый	2	2
226	а мы	2	2
227	прерывается и	1	2
228	оно не	1	2
229	всего этого	1	2
230	как по	2	2
231	сочетается с	1	2
232	если они	1	2
233	те же	1	2
234	ту же	1	2
235	и вообще	1	2
236	с ним	2	2
237	в глаза	1	2
238	а также	3	2
239	на основе	1	2
240	связь между	2	2
241	во втором	1	2
242	борьбе с	1	2
243	там где	2	2
244	того что	4	2
245	разного рода	1	2
246	быть и	2	2
247	всякого рода	3	2
248	важное значение	1	2
249	есть в	1	2
250	уже в	1	2
251	его и	2	2
252	других так	1	2
253	с этими	1	2
254	к ним	3	2
255	не о	1	2
256	они с	1	2
257	отличие от	1	2
258	тем что	4	2
259	не были	2	2
260	и характер	1	2
261	далеко не	3	2
262	еще и	1	2
263	в некоторых	4	2
264	жизнь в	1	2
265	что мы	1	2
266	в эпосе	1	2
267	но оно	1	2
268	в честь	3	2
269	другой день	1	2
270	его на	1	2
271	этого момента	3	2
272	их к	2	2
273	в данном	1	2
274	к жизни	3	2
275	в течение	5	2
276	в это	3	2
277	см например	1	2
278	и носит	1	2
279	но для	1	2
280	в более	2	2
281	не является	1	2
282	одна из	4	2
283	уже на	1	2
284	для нас	6	2
285	мы должны	2	2
286	или не	1	2
287	в дом	2	2
288	этого времени	2	2
289	в свою	3	2
290	нет но	1	2
291	в которой	1	2
292	можно назвать	1	2
293	какого-то особого	1	1
294	тем же	1	1
295	из самых	1	1
296	которое могло	1	1
297	в доме	2	1
298	и за	1	1
299	по его	1	1
300	из всех	1	1
301	и литературных	1	1
302	мы имеем	4	1
303	этого нет	1	1
304	происходило в	1	1
305	такое положение	1	1
306	не вполне	1	1
307	с детства	1	1
308	не совсем	4	1
309	для наших	2	1
310	не знают	1	1
311	зависимости от	1	1
312	и он	1	1
313	полагается в	1	1
314	в xix	10	1
315	и много	1	1
316	он был	2	1
317	не оставляют	1	1
318	их так	1	1
319	самом деле	1	1
320	данном случае	1	1
321	значение имеет	1	1
322	и поэтому	2	1
323	работа в	2	1
324	независимо от	2	1
325	значение его	1	1
326	народа в	1	1
327	и различные	1	1
328	это был	1	1
329	что касается	1	1
330	однако не	1	1
331	перед нами	1	1
332	тех случаях	1	1
333	и наконец	1	1
334	и сам	1	1
335	в фольклоре	2	1
