N	4gram	Bakhtin_sl_1	Problemy
1	в то же время	12	5
2	в той или иной	9	3
3	но в то же	4	3
4	направленное на свой предмет	1	2
5	на свой предмет слово	1	2
6	оглядки на чужое слово	1	2
7	одно и то же	2	2
8	в то время как	2	2
9	сих пор совершенно не	1	2
10	о том же предмете	1	2
11	быть более или менее	1	2
12	до сих пор совершенно	1	2
13	в прямой авторской речи	1	1
14	дело далеко не исчерпывается	1	1
15	не лежит в одной	1	1
16	с чужим словом и	1	1
17	никогда не может быть	1	1
18	бы то ни было	1	1
19	и т п в	1	1
20	в нем новые стороны	1	1
21	с прямым авторским словом	1	1
22	и в том и	2	1
23	слово во всех его	1	1
24	в том и в	2	1
25	с чужим словом в	3	1
26	и в другом случае	2	1
27	в монологический контекст данного	1	1
28	и т п так	1	1
29	прямое авторское слово в	1	1
30	и всякое иное слово	1	1
31	в пределах того же	4	1
32	точек зрения и оценок	1	1
33	слово в то же	1	1
34	большей или меньшей степени	3	1
35	дело в том что	1	1
36	и не может не	1	1
37	той или иной степени	9	1
38	в одной плоскости с	1	1
39	том и в другом	2	1
40	как нейтральное слово языка	1	1
41	в большей или меньшей	3	1
42	каковы бы ни были	1	1
43	и то же слово	2	1
44	происходит преломление авторских интенций	1	1
45	на ту же тему	2	1
46	рядом друг с другом	1	1
47	лежит в одной плоскости	1	1
