N	2gram	Voloshinov_1	Vvedenie
1	и в	3	32
2	может быть	1	26
3	не только	1	22
4	не может	4	14
5	в его	1	12
6	и не	1	12
7	то же	1	9
8	не менее	1	8
9	точки зрения	1	7
10	из этих	1	6
11	в то	1	6
12	же время	1	6
13	один из	2	6
14	но и	1	6
15	а не	1	5
16	язык как	1	4
17	в каждом	1	4
18	в особенности	1	4
19	и на	1	3
20	в центре	2	3
21	если бы	1	3
22	на нее	1	3
23	связи с	1	3
24	в ней	1	3
25	во второй	1	3
26	к тому	1	3
27	культурной истории	1	3
28	так называемая	1	2
29	несмотря на	1	2
30	как искусство	1	2
31	изучение языка	1	2
32	с точки	1	2
33	тому что	1	2
34	и истории	1	2
35	с теми	1	2
36	науку о	1	2
37	и должно	1	2
38	в языке	1	2
39	поставить в	1	2
40	понятно не	1	2
41	бы в	1	2
42	исследования во	1	1
43	метода он	1	1
44	права и	1	1
45	нуждаются в	1	1
46	истории русского	1	1
47	нет и	1	1
48	он в	1	1
49	его от	1	1
50	литературного языка	1	1
51	бы на	1	1
52	вещей и	1	1
53	второй части	1	1
54	сравнении с	1	1
55	анализа и	1	1
56	можно и	1	1
57	вопрос что	1	1
58	русского литературного	1	1
59	имен вещей	1	1
60	социального общения	2	1
61	теми или	1	1
62	может не	1	1
63	русской литературы	1	1
64	или иными	1	1
65	и можно	1	1
66	видящего в	1	1
67	мы видим	1	1
68	языка как	1	1
69	для него	1	1
70	общения и	2	1
71	истории но	1	1
72	из крупнейших	1	1
73	и все	1	1
74	в системе	1	1
75	может и	1	1
76	можно назвать	1	1
