N	2gram	Medvedev_I_1	VelikijI
1	и не	2	20
2	и в	1	16
3	того что	1	5
4	все это	1	5
5	говорить о	1	4
6	в этом	2	4
7	так и	1	4
8	от этого	1	3
9	все эти	1	3
10	в них	1	3
11	никогда не	1	3
12	жизни и	1	3
13	что в	2	3
14	того чтобы	1	2
15	и сам	1	2
16	к нам	1	2
17	не так	1	2
18	для него	1	2
19	тем что	1	2
20	а с	1	2
21	более чем	1	2
22	самого себя	2	2
23	а в	1	2
24	я не	1	1
25	бы в	1	1
26	в целом	1	1
27	человеке и	1	1
28	то и	1	1
29	не случайно	1	1
30	бы все	1	1
31	в руки	1	1
32	для того	1	1
33	и с	3	1
34	было не	1	1
35	с другой	1	1
36	его личности	1	1
37	ненависть к	1	1
38	и очень	1	1
39	на котором	1	1
40	ушел от	1	1
41	ничего не	2	1
42	имя отца	1	1
43	другой стороны	1	1
