N	2gram	Bakhtin_Pr_1	Otkroven
1	о человеке	1	29
2	у него	6	22
3	и в	23	19
4	у достоевского	24	19
5	но и	11	13
6	и не	34	13
7	в этом	25	12
8	из подполья	11	11
9	человека в	5	11
10	не в	6	11
11	не только	13	11
12	может быть	21	11
13	а не	20	11
14	вопрос о	4	10
15	в нем	20	10
16	и все	3	10
17	в самой	7	9
18	прежде всего	7	9
19	к человеку	2	9
20	не было	3	9
21	в человеке	6	9
22	никогда не	5	9
23	потому что	12	9
24	и он	1	8
25	ивана карамазова	5	7
26	в его	24	7
27	он не	4	7
28	лишь в	3	7
29	достоевского он	2	7
30	до конца	5	7
31	но он	2	7
32	как и	8	6
33	все это	7	6
34	до самого	1	5
35	отношение к	1	5
36	в том	11	5
37	в самом	8	5
38	в этой	4	5
39	человеке и	1	5
40	для него	15	5
41	в россии	1	5
42	достоевского и	12	5
43	в творчестве	5	5
44	него в	2	5
45	для достоевского	6	5
46	а в	7	5
47	то что	18	5
48	записок из	3	5
49	достоевского все	1	4
50	он сам	3	4
51	с его	6	4
52	все в	6	4
53	достоевского не	11	4
54	все эти	8	4
55	герои достоевского	3	4
56	него и	1	4
57	в самую	1	4
58	что не	1	4
59	не может	11	4
60	в романах	7	4
61	достоевский не	5	4
62	того чтобы	4	4
63	человек и	2	4
64	и его	13	4
65	что в	8	4
66	и есть	5	3
67	достоевского в	19	3
68	о том	2	3
69	еще не	5	3
70	самого достоевского	6	3
71	к нему	3	3
72	человека его	1	3
73	подполья и	2	3
74	было бы	6	3
75	того что	2	3
76	раскольникова ставрогина	1	3
77	что он	10	3
78	в себе	5	3
79	человеческого духа	2	3
80	и вот	2	3
81	не могут	6	3
82	для того	2	3
83	это было	1	3
84	это не	10	3
85	достоевского было	3	3
86	достоевский был	4	3
87	мысли и	2	3
88	природы но	1	3
89	могут быть	1	3
90	как бы	28	3
91	романах достоевского	6	3
92	с ним	6	3
93	в русской	1	3
94	как художник	1	3
95	и от	1	3
96	в этих	2	3
97	более всего	1	3
98	хотя бы	2	3
99	в своих	2	3
100	все что	3	3
101	и с	4	2
102	из всего	2	2
103	и то	1	2
104	в ее	1	2
105	достоевского к	5	2
106	этого мира	4	2
107	человека достоевский	2	2
108	на западе	2	2
109	что у	1	2
110	так и	10	2
111	его не	1	2
112	его героев	5	2
113	ни у	1	2
114	и о	3	2
115	по себе	7	2
116	и на	10	2
117	совсем не	1	2
