N	3gram	Propp_Isto_3	Marksizm
1	с точки зрения	1	13
2	не может быть	1	10
3	по отношению к	2	8
4	в связи с	3	7
5	в том что	5	6
6	может быть и	1	5
7	с самого начала	1	5
8	в свою очередь	1	5
9	в большинстве случаев	1	5
10	смысле этого слова	1	4
11	как если бы	1	4
12	на самом деле	1	4
13	самом же деле	1	3
14	в таком случае	1	3
15	на самом же	1	3
16	до сих пор	5	3
17	с одной стороны	2	3
18	о том что	2	3
19	как мы видели	5	3
20	и пр но	1	2
21	но и в	1	2
22	во всяком случае	2	2
23	в соединении с	1	2
24	мы уже знаем	2	2
25	на то что	1	2
26	и прежде всего	1	2
27	к тому же	2	2
28	на том что	1	1
29	что иное как	3	1
30	с одним из	2	1
31	это одно из	1	1
32	в том числе	1	1
33	не совсем так	2	1
34	в соответствии с	1	1
35	в этом случае	5	1
36	обстоит дело с	1	1
37	еще тем что	1	1
38	сами по себе	1	1
39	как мы увидим	1	1
40	независимо от того	1	1
41	но они не	1	1
42	это далеко не	1	1
43	и в других	2	1
44	так или иначе	1	1
45	но тем не	2	1
46	это не совсем	1	1
47	не только в	1	1
48	мы здесь не	1	1
49	большинстве случаев он	1	1
50	он относится к	1	1
51	свою связь с	1	1
52	тем не менее	5	1
53	мы уже говорили	1	1
54	с другой стороны	7	1
55	свою очередь отражает	1	1
56	языка не может	1	1
57	и в том	1	1
58	соответствии с этим	1	1
59	мы видели что	3	1
60	они и не	1	1
61	с тем что	1	1
62	в пределах этого	1	1
63	не что иное	3	1
64	но все же	2	1
65	можно сказать что	1	1
66	друг от друга	1	1
67	которой мы здесь	1	1
68	дать ответ на	1	1
69	друг с другом	1	1
70	но в этом	1	1
71	если бы это	1	1
72	как и в	2	1
73	в жизни и	1	1
74	и пр или	1	1
